Gene = Lrr47
Position 692: 0.04062115389659347
Position 1220: 0.018897161998412477
Position 1712: 0.009776054856480292
Position 581: 0.0067682845529348406
Position 372: 0.005725573728736349
Position 996: 0.0031206717262369887
Position 1447: 0.001583217590644406
Position 736: 0.001112667417060106
Position 405: 0.0010324020702305596
Position 1885: 0.0009563183396978413
Position 793: 0.0008485871459533163
Position 483: 0.0007958840203384712
Position 1780: 0.0006945831398554454
Position 1464: 0.00042052178598310063
Position 486: 0.0004191067363028673
Position 1801: 0.0004173029544870723
Position 706: 0.00030119318614750486
Position 1657: 0.00029046728138320703
Position 1386: 0.0001954786799652245
Position 1471: 0.0001856645529979105
Position 96: 0.00017917283867122948
Position 585: 0.00015430762172923842
Position 1911: 0.0001492527748144442
Position 135: 0.0001469423176105318
Position 114: 0.00013962772856618513
Position 1242: 0.00011344500928797445
Position 1721: 0.00010473850183229032
Position 309: 8.279613748215185e-05
Position 414: 6.978462209266634e-05
Position 394: 6.638142329429609e-05
Position 1753: 6.276982750089076e-05
Position 1088: 6.102140938147542e-05
Position 355: 6.070531216983688e-05
Position 1888: 5.8573036365128095e-05
Position 1661: 5.8285938857706045e-05
Position 1075: 5.6279791113791116e-05
Position 1688: 4.892816543847408e-05
Position 1685: 4.7739889902578505e-05
Position 1664: 3.841913802691028e-05
Position 1341: 2.9631437375291578e-05
Position 109: 2.8397195581609792e-05
Position 1163: 2.5978356651660202e-05
Position 540: 1.9630161311293926e-05
Position 1117: 1.6800572365414357e-05
Position 1306: 1.5386386025918348e-05
Position 327: 1.2937719463285037e-05
Position 971: 1.184878257102225e-05
Position 432: 1.1368948933424809e-05
Position 633: 1.1085638062444507e-05
Position 492: 1.0424978529140309e-05
Position 245: 9.280057911031169e-06
Position 1788: 8.519751798765319e-06
Position 515: 8.028655520245937e-06
Position 1294: 7.624064157830765e-06
Position 901: 5.8113190792301965e-06
Position 1099: 5.3708196520848964e-06
Position 1273: 5.319583788849482e-06
Position 1230: 4.945815727938889e-06
Position 1327: 3.85663291808394e-06
Position 50: 3.199111325366898e-06
Position 186: 3.038579395511467e-06
Position 222: 2.5270999016620108e-06
Position 701: 1.9914917309350598e-06
Position 449: 1.8189253312733294e-06
Position 589: 1.4332515343625327e-06
Position 498: 1.4229052203895952e-06
Position 276: 1.1036496877774353e-06
Position 519: 1.0225329862585684e-06
Position 219: 8.596122760086579e-07
Position 191: 6.860825818090938e-07
Position 258: 4.0590672040196735e-07
Position 282: 3.270485290254957e-07
Position 594: 1.929760782647115e-07
Position 644: 1.6438455831430765e-07
Position 225: 5.796818430956403e-08
Position 606: 2.8400067682512912e-08
Position 197: 1.3751142992405851e-08
Position 680: 4.176584410368195e-10
