Gene = Fibp
Position 1815: 3.076432370858862e-08
Position 1310: 2.238777703255831e-08
Position 1677: 1.6167723856742444e-08
Position 671: 1.1302870850435658e-08
Position 1331: 1.1161053832147118e-08
Position 1292: 6.510662826246937e-09
Position 668: 6.324773844688202e-09
Position 980: 5.857552026730521e-09
Position 1821: 4.457275700365205e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1435: 0.9998446787480002
Position 963: 0.9970847328176662
Position 1685: 0.9926483328056694
Position 1146: 0.9742413680036534
Position 417: 0.9655132681897459
Position 799: 0.8869837574566236
Position 271: 0.8261288280285123
Position 833: 0.07849986093623652
Position 1305: 0.03127370443943614
Position 1848: 0.017403392417272186
Position 581: 0.012115732236090615
Position 421: 0.004230136138004476
Position 617: 0.0027496374374831223
Position 837: 0.0018665108006850934
Position 449: 0.0018158734317015761
Position 317: 0.0014505713481109957
Position 446: 0.001012469304672454
Position 1857: 0.000500160403354503
Position 1186: 0.0003246874478244457
Position 1725: 0.0003049072603518753
Position 1292: 0.0002863206818771716
Position 1188: 0.00025652259718324824
Position 1693: 0.00024987101265178547
Position 967: 0.0001951195890483231
Position 761: 0.00015960947213335288
Position 1287: 0.00015907438801645695
Position 1765: 0.0001063045980079087
Position 252: 0.0001059137459997448
Position 686: 0.00010232167776607278
Position 665: 7.207058319313508e-05
Position 1342: 7.15521874428471e-05
Position 1021: 6.840123402117153e-05
Position 903: 6.618008507461189e-05
Position 1096: 5.8353987873129296e-05
Position 294: 5.834891892249216e-05
Position 566: 5.326520265594744e-05
Position 81: 4.527197469387104e-05
Position 662: 4.4975068510270396e-05
Position 478: 4.3159205463032884e-05
Position 1161: 3.758097703109676e-05
Position 1209: 3.7263366098540405e-05
Position 875: 3.0321303925235717e-05
Position 328: 3.019810180852057e-05
Position 182: 1.986064918218316e-05
Position 1863: 1.549516098420274e-05
Position 1639: 1.3216687952929777e-05
Position 139: 1.1711692122293405e-05
Position 341: 1.0431411426235605e-05
Position 1230: 8.024241958727329e-06
Position 765: 6.836554120966539e-06
Position 587: 5.915060708215225e-06
Position 207: 5.3529686216446436e-06
Position 1781: 4.945335072110908e-06
Position 942: 4.580419961260154e-06
Position 1597: 3.5870428978742166e-06
Position 1107: 3.225736551302282e-06
Position 1041: 2.8335623195133164e-06
Position 1245: 2.6361097891087166e-06
Position 1700: 2.593836999969027e-06
Position 87: 2.444049693440567e-06
Position 186: 1.9246357257436382e-06
Position 1236: 1.8517648342416692e-06
Position 1797: 1.8398223398271378e-06
Position 105: 1.7572984977976745e-06
Position 772: 1.6215606011232064e-06
Position 1523: 1.2359413647191386e-06
Position 1621: 1.1786630521361354e-06
Position 770: 8.77933712648586e-07
Position 614: 6.857775634927453e-07
Position 355: 5.174998178935695e-07
Position 1544: 3.2763458070619616e-07
Position 1490: 2.696483674701938e-07
Position 425: 2.661546903014648e-07
Position 1566: 2.1375373356719632e-07
Position 1239: 1.5887477222666866e-07
Position 1248: 1.0325220868141481e-07
Position 908: 1.0016801081815255e-07
Position 1649: 8.253291866758487e-08
Position 1520: 3.565478326874516e-08
Position 191: 2.144642570079872e-08
Position 710: 1.5427039378779213e-08
Position 1276: 1.285931658766597e-08
Position 722: 5.833118896774922e-09
Position 102: 3.817639570903572e-09
Position 1379: 3.812249814435252e-09
Position 732: 1.7017686947661106e-09
Position 698: 2.5105554660768003e-10
