Gene = Spn28Dc
Position 1001: 0.0011927929905574002
Position 825: 0.0008757895980694992
Position 1797: 0.0008235429952919508
Position 947: 0.000656823079963532
Position 1231: 0.0006073669611754288
Position 2232: 0.0006060548259556024
Position 587: 0.000564171365451417
Position 973: 0.0005448030824724691
Position 2222: 0.0005189216333410477
Position 194: 0.0005009333391889432
Position 1008: 0.0004941441909271418
Position 2006: 0.00047335164780817635
Position 1749: 0.00044868209072968537
Position 1521: 0.0004077556798536916
Position 464: 0.0003790223518441732
Position 1861: 0.00032055323573750434
Position 749: 0.0003059316845581202
Position 1692: 0.0002923533114244765
Position 1197: 0.00025179292491917123
Position 1244: 0.00024158238876803012
Position 1308: 0.0002366114161468108
Position 2037: 0.00022109780217394496
Position 907: 0.00020989882261461692
Position 870: 0.0001864901882583245
Position 2126: 0.0001476906560061586
Position 642: 0.00013505573058221964
Position 154: 0.00012157650522299272
Position 2613: 0.00010145789905484515
Position 2076: 0.00010134777557763199
Position 1151: 9.293524890840238e-05
Position 673: 8.943610859346781e-05
Position 625: 8.695242248362582e-05
Position 1784: 8.541078055382105e-05
Position 2400: 7.39218501099579e-05
Position 617: 7.372254024520585e-05
Position 2196: 7.338531560252015e-05
Position 1349: 7.149603748680575e-05
Position 409: 6.581902091443586e-05
Position 1385: 6.264394205492287e-05
Position 1805: 4.341389958881381e-05
Position 2154: 4.1095002276815196e-05
Position 2188: 3.1845831112779195e-05
Position 1423: 3.166436103401281e-05
Position 2046: 3.0226136361085863e-05
Position 2617: 2.9372417423120462e-05
Position 1867: 2.9262158202133792e-05
Position 536: 2.662042896211941e-05
Position 1706: 2.5759381649518878e-05
Position 1192: 2.346687486317045e-05
Position 629: 1.460314183783904e-05
Position 1035: 1.3402467685879136e-05
Position 951: 1.2077171565872159e-05
Position 1084: 8.539921876644472e-06
Position 296: 7.877400095160765e-06
Position 440: 7.030177140615477e-06
Position 218: 4.404816586566906e-06
Position 701: 4.3379888248222995e-06
Position 206: 3.5809672963148058e-06
Position 215: 6.170031039025422e-07
Position 923: 3.566013726464817e-07
Position 883: 2.4345610933841386e-07
Position 227: 1.6723786150709997e-07
Position 791: 1.2783184137924686e-07
Position 539: 5.5590037222700915e-08
Position 112: 4.309082798903483e-08
Position 224: 1.1656741701190009e-08
Position 236: 7.302365080231596e-09
Position 670: 9.918020776199536e-10
Position 788: 3.8824720215125324e-10
Position 719: 1.0810506327531594e-10
Position 682: 4.1216923531347544e-13
Position 481: 2.79382160834449e-16
