Gene = Df31
Position 3475: 0.0001868957900530297
Position 1268: 0.0001792886273020901
Position 3349: 0.00015219661586522764
Position 2069: 0.0001496149600293547
Position 191: 0.00014724990468587733
Position 1382: 0.00014642421231456212
Position 208: 0.00014614515810318482
Position 24: 0.00014347693955187052
Position 309: 0.0001400042276093261
Position 462: 0.00012846566102549175
Position 2460: 0.00012498231531069836
Position 270: 0.0001225208510611828
Position 1108: 0.00011816213100833311
Position 2321: 0.00011750654337160004
Position 2667: 0.00011563475746181351
Position 30: 0.00010900947857819904
Position 733: 0.00010257451080566907
Position 2919: 8.368503199337692e-05
Position 651: 7.124310376537454e-05
Position 3508: 6.752284695463304e-05
Position 1799: 5.600140651278809e-05
Position 38: 5.532812994601461e-05
Position 3128: 5.4786654121789354e-05
Position 1500: 4.891372223819841e-05
Position 570: 4.194376319516249e-05
Position 1148: 4.0728480809581535e-05
Position 3372: 3.7809458387746194e-05
Position 2904: 3.330087479959579e-05
Position 3461: 3.118327477674255e-05
Position 2468: 2.9643776041633286e-05
Position 3444: 2.6297751318674222e-05
Position 3433: 2.4491895859210897e-05
Position 2783: 2.2214722558715007e-05
Position 3086: 1.9911281329258862e-05
Position 397: 1.821796826051981e-05
Position 124: 1.3828226814151608e-05
Position 2536: 8.333146052208464e-06
Position 2479: 7.661513942971714e-06
Position 2207: 6.2879877560265475e-06
Position 1924: 6.083624962821441e-06
Position 395: 5.500701469773383e-06
Position 354: 5.002203506027873e-06
Position 1722: 4.146153122017334e-06
Position 300: 3.7213905877930663e-06
Position 906: 3.0123752383340396e-06
Position 158: 2.2221515044401614e-06
Position 2767: 1.6567682138495e-06
Position 2755: 1.6448979528226097e-06
Position 2552: 1.3127806369589167e-06
Position 2752: 1.194592657539935e-06
Position 2491: 1.0733737228258022e-06
Position 183: 1.054728493132555e-06
Position 683: 6.339130103003106e-07
Position 1937: 5.775558861406519e-07
Position 3113: 4.6942732943786917e-07
Position 141: 4.5964584436618937e-07
Position 666: 4.326952403781793e-07
Position 14: 3.8606131669390857e-07
Position 653: 3.7762581028393346e-07
Position 568: 3.725937534309695e-07
Position 2943: 2.627632326044657e-07
Position 1853: 1.9209528611237563e-07
Position 2417: 1.4874274706070363e-07
Position 1833: 1.056956754888386e-07
Position 706: 1.0371444967416973e-07
Position 249: 9.423823171408647e-08
Position 32: 7.361158995157823e-08
Position 1745: 6.775836376150709e-08
Position 643: 4.47755406489048e-08
Position 720: 2.9034608605439215e-08
Position 593: 2.4353581559057455e-08
Position 2195: 1.8335004059767753e-08
Position 286: 1.76294180056764e-08
Position 2441: 6.993872179351571e-09
Position 464: 6.536055023790768e-09
Position 2967: 5.154426094919964e-09
Position 193: 4.588994237455462e-09
Position 2240: 2.067867316791516e-09
Position 588: 6.681852072493192e-10
Position 485: 5.895650427793827e-10
Position 688: 5.839502190606876e-10
Position 502: 3.989647167292631e-10
Position 418: 2.7950986162599685e-12
Position 433: 1.6903249281583299e-12
Position 441: 2.283099284611147e-13
Position 436: 1.3788022311646114e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9992930853729693
Position 1722: 0.6110842177000291
Position 1618: 0.14448842715836832
Position 2429: 0.11276167129023512
Position 3578: 0.08451057973636489
Position 453: 0.06007106142683563
Position 922: 0.03290021182370857
Position 1083: 0.026472411053398873
Position 1198: 0.023490460364427472
Position 3431: 0.01298274548705151
Position 3394: 0.011719030175929714
Position 1439: 0.010048994535289964
Position 3136: 0.008651988358467522
Position 1044: 0.006354074160875356
Position 785: 0.004859754301428188
Position 987: 0.0048285159246621995
Position 1635: 0.004107833017792749
Position 329: 0.003764329474793781
Position 3196: 0.003613335773388136
Position 3184: 0.0031070956928551914
Position 2960: 0.002649361792657042
Position 958: 0.002593832669473273
Position 1620: 0.0021363433832588138
Position 2408: 0.001794067624429995
Position 2943: 0.0017255023100210757
Position 1579: 0.0017150369327792866
Position 1744: 0.0016653973942810476
Position 315: 0.0016089239310746763
Position 1275: 0.0015959500709822833
Position 2662: 0.0015789861854792926
Position 981: 0.0014363415176635932
Position 433: 0.0014306462728718556
Position 1100: 0.0013991008742540144
Position 1585: 0.0013033031648415501
Position 3494: 0.0012871309743683703
Position 369: 0.001239541496379549
Position 906: 0.0009521565475758269
Position 3474: 0.0007687580636323826
Position 3407: 0.0007247833068877779
Position 2977: 0.000676264714673218
Position 1372: 0.0006365737057688908
Position 155: 0.0006105584044026523
Position 3250: 0.0005987451493178681
Position 3071: 0.0005833766677459333
Position 903: 0.0005119925367596176
Position 1658: 0.0004978471679108755
Position 1653: 0.0003726399554539186
Position 1774: 0.00034168798573441724
Position 1957: 0.00030362691683612735
Position 744: 0.0002889022467523415
Position 183: 0.00028008536730677106
Position 1414: 0.00026937595787306686
Position 1321: 0.0002321656855439567
Position 2744: 0.00020128803033892686
Position 1632: 0.00019572866017792572
Position 1778: 0.00018502423521828213
Position 2667: 0.0001375861753803412
Position 813: 0.00012976596170735568
Position 2398: 0.00011230266965040527
Position 573: 0.00010312425029559809
Position 230: 9.043705254298869e-05
Position 2919: 8.659170182549273e-05
Position 1237: 8.409018002893847e-05
Position 2684: 6.742226709593104e-05
Position 1686: 6.713010875545298e-05
Position 3037: 6.556323878971403e-05
Position 658: 6.538562813051689e-05
Position 541: 5.2375088007891216e-05
Position 2544: 5.014458731161343e-05
Position 2689: 3.91647490499986e-05
Position 2536: 3.072521518969161e-05
Position 3410: 2.8417941905508907e-05
Position 2200: 2.2793007253910512e-05
Position 2765: 2.2400770478087058e-05
Position 2720: 2.178923800770245e-05
Position 609: 1.6326119920135683e-05
Position 85: 1.4981607459929144e-05
Position 2996: 1.2769748039691105e-05
Position 3347: 9.563056835978154e-06
Position 1121: 9.03501637422621e-06
Position 792: 7.689984403539917e-06
Position 101: 5.119732454689695e-06
Position 217: 6.70988597806318e-07
Position 2833: 4.876996631313043e-07
Position 2710: 3.3922876975618637e-07
Position 625: 1.245690503628848e-07
Position 90: 1.2121683690817304e-07
Position 2206: 9.971289286347782e-08
Position 99: 7.129073282045945e-08
Position 632: 6.87798462009088e-08
Position 263: 1.4454045443948526e-08
Position 266: 5.647287374675355e-09
Position 593: 2.7486241461344453e-09
Position 65: 1.1197326135580395e-09
Position 73: 6.37836523782957e-11
Position 257: 5.64034638333062e-13
Position 270: 2.7808429348544e-16
