Gene = eIF2beta
Position 519: 1.0688234303058809e-05
Position 919: 1.0565689033649928e-05
Position 663: 1.0529975369776408e-05
Position 76: 1.0477060095567123e-05
Position 522: 9.170738242286965e-06
Position 982: 9.002455111774753e-06
Position 67: 8.217018225822962e-06
Position 450: 6.786838128168395e-06
Position 666: 6.594709267840661e-06
Position 1010: 6.165814826662947e-06
Position 605: 5.620474580885848e-06
Position 1178: 5.519988887726941e-06
Position 1223: 5.107063986651463e-06
Position 98: 4.507230106816583e-06
Position 764: 4.444089674153135e-06
Position 927: 4.299887462712799e-06
Position 540: 3.4533086648022843e-06
Position 537: 3.2268809200517946e-06
Position 937: 2.927953049981324e-06
Position 122: 2.7721958919055815e-06
Position 941: 2.6779237406699835e-06
Position 1403: 2.474034765176102e-06
Position 1172: 2.3266547615980063e-06
Position 1513: 2.224239430892931e-06
Position 1118: 2.051753310854289e-06
Position 1379: 1.9255183867946313e-06
Position 1532: 1.7510349432875409e-06
Position 438: 1.691446737276903e-06
Position 531: 1.6873936128685334e-06
Position 1220: 1.6528325688601807e-06
Position 534: 1.263346513869853e-06
Position 1352: 1.2107788861146124e-06
Position 1406: 7.114580941244385e-07
Position 1109: 6.210122745609029e-07
Position 435: 6.03651733234469e-07
Position 609: 5.954674163583529e-07
Position 669: 4.063755346195626e-07
Position 106: 3.527350956951185e-07
Position 423: 3.214221797107733e-07
Position 672: 3.20004253101134e-07
Position 140: 2.871904874307426e-07
Position 1058: 2.542254882387524e-07
Position 949: 2.4610004501701416e-07
Position 618: 2.037029473571951e-07
Position 712: 1.0825612863406793e-07
Position 621: 7.998630926745832e-08
Position 289: 7.59160164256977e-08
Position 612: 4.2624052409738035e-08
Position 726: 3.42988541708229e-08
Position 166: 3.3237401315813336e-08
Position 509: 3.069746677022472e-08
Position 441: 2.109156601690986e-08
Position 499: 1.824527727562647e-08
Position 624: 4.3583472736383837e-10
Position 147: 3.8089607276544384e-10
Position 472: 3.3020524066942696e-10
Position 469: 2.713543936457804e-10
Position 678: 1.7952959522620412e-10
Position 684: 1.3017304459434276e-10
Position 507: 1.0340835194641792e-10
Position 489: 9.874223191795858e-11
Position 486: 8.695401093623477e-11
Position 739: 3.518428052071023e-11
Position 456: 2.375623452974297e-11
Position 627: 2.2429601613061023e-11
Position 733: 2.0118854806302827e-11
Position 769: 4.947533994691097e-12
