Gene = Aatf
Position 1530: 5.120847809715233e-05
Position 424: 4.9493079483540127e-05
Position 605: 3.836540822902494e-05
Position 1638: 3.521715670437147e-05
Position 583: 3.50444012863312e-05
Position 612: 3.468012727902853e-05
Position 547: 2.3698899244222026e-05
Position 430: 2.261012586291933e-05
Position 295: 2.1931608579016063e-05
Position 1230: 2.046661181099964e-05
Position 327: 1.951041644240742e-05
Position 904: 1.6329981992109636e-05
Position 647: 1.6079252750428886e-05
Position 554: 1.5390748370462094e-05
Position 814: 1.1589137051405852e-05
Position 168: 1.0357903176673688e-05
Position 1369: 9.024166551713405e-06
Position 267: 8.15274969680944e-06
Position 855: 7.618899499191473e-06
Position 319: 7.442564521438711e-06
Position 602: 7.035213542720018e-06
Position 1614: 5.922603619237015e-06
Position 806: 5.029797211524705e-06
Position 889: 4.2570512967939975e-06
Position 314: 2.4124732432122277e-06
Position 868: 1.5947477992154947e-06
Position 598: 1.4599961422154883e-06
Position 659: 1.033099635738214e-06
Position 616: 9.848459204178219e-07
Position 497: 4.742178982256488e-07
Position 1562: 4.591719599695468e-07
Position 373: 1.5459389994905327e-07
Position 386: 9.518663337175172e-08
Position 324: 8.409878845320433e-08
Position 232: 8.230453820009649e-08
Position 173: 7.65056010169045e-08
Position 626: 2.7124288010948868e-08
Position 283: 3.887283376800712e-09
Position 135: 2.397865406738568e-09
Position 397: 1.8695172441501195e-09
Position 358: 1.6939651774684647e-09
Position 229: 1.6618264731068906e-09
Position 390: 8.12150037527847e-10
Position 352: 8.065388422939198e-10
Position 175: 7.71991282730768e-10
Position 1479: 4.2563825759391574e-10
Position 223: 2.0025323455005536e-10
Position 139: 1.3934656993387413e-10
Position 226: 4.437722540142638e-11
Position 452: 3.750533128677803e-11
Position 406: 2.9752317886969635e-11
Position 255: 2.1301707825520122e-11
Position 371: 1.9223732883441972e-11
Position 127: 1.3319292573894583e-11
Position 271: 8.319279926941915e-12
Position 446: 8.313506091708986e-12
Position 300: 4.626355708941197e-12
Position 443: 3.1125795201731537e-12
Position 334: 6.99778831004365e-13
Position 337: 6.662263218564208e-13
Position 162: 1.3427186030089956e-13
Position 273: 2.2877609539540305e-20
