Gene = mtDNA-helicase
Position 1147: 4.206208319886907e-08
Position 1294: 3.124902595629673e-08
Position 1120: 2.41440294835367e-08
Position 441: 1.2952809950588359e-08
Position 992: 7.453476372783027e-09
Position 229: 6.595360058300108e-09
Position 1585: 4.4911395715716496e-09
Position 989: 1.726401894636391e-09
Position 1381: 1.686525954782871e-09
Position 1032: 1.3493119163108874e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9031881403799714
Position 983: 0.6792622285538853
Position 859: 0.1720019548796139
Position 441: 0.06442734170922776
Position 801: 0.05143945680852321
Position 1397: 0.006043819385978897
Position 422: 0.005800979502243234
Position 1015: 0.005618308194189584
Position 1772: 0.005307337293386379
Position 878: 0.003953977015534512
Position 2150: 0.003804715161774178
Position 1028: 0.0035795297942799154
Position 221: 0.002748962398229053
Position 1630: 0.0021512565482152963
Position 1837: 0.0016184264896905434
Position 1798: 0.001430469951004994
Position 1627: 0.0011237040525928193
Position 1759: 0.00098920280983928
Position 1459: 0.0009891963187438277
Position 1126: 0.0009890205006165976
Position 864: 0.0009476306855702805
Position 922: 0.0005366559315111246
Position 1580: 0.0004808246410853272
Position 2155: 0.0004787653702162439
Position 477: 0.00042119437045107455
Position 627: 0.00040676670849537996
Position 1058: 0.0004037436898535662
Position 663: 0.0003576691501915408
Position 201: 0.00033795002483180117
Position 450: 0.0002991117035799352
Position 1343: 0.00028727348728982687
Position 586: 0.00022709918254675777
Position 1095: 0.00021614540088010515
Position 1364: 0.0002160809101005638
Position 1290: 0.00020848254219938648
Position 1883: 0.00018659466077546898
Position 948: 0.00017811352549340525
Position 541: 0.00016914706506752973
Position 1089: 0.0001386335816307023
Position 1840: 0.0001322020113540785
Position 893: 0.00012024412073960098
Position 356: 9.570505080190906e-05
Position 465: 8.746004828948421e-05
Position 250: 7.947918156434657e-05
Position 1528: 7.067686418807692e-05
Position 2121: 3.6915625495752776e-05
Position 111: 3.322986907552411e-05
Position 1354: 3.132907845082311e-05
Position 227: 2.9977562253360465e-05
Position 651: 2.814384488039387e-05
Position 936: 2.717609654557057e-05
Position 932: 2.485395968184962e-05
Position 2162: 2.4635811013392467e-05
Position 1975: 2.3806738466087774e-05
Position 2047: 1.945858952520562e-05
Position 1739: 1.871140375540869e-05
Position 1106: 1.6995366361226467e-05
Position 830: 1.63780572442773e-05
Position 1846: 1.618149416718148e-05
Position 1957: 1.6121147554429192e-05
Position 1954: 1.4040699562885885e-05
Position 837: 1.382083314038326e-05
Position 1925: 1.156264161042204e-05
Position 1243: 1.1528024648029362e-05
Position 646: 9.05900864761137e-06
Position 128: 8.628317181479374e-06
Position 594: 6.192124396993121e-06
Position 1747: 6.123545192005861e-06
Position 483: 6.0820280008664295e-06
Position 379: 5.99666393776132e-06
Position 707: 5.370994490467518e-06
Position 564: 5.335360422543106e-06
Position 2024: 5.3328202896798534e-06
Position 1652: 5.2110719219157824e-06
Position 141: 5.129148923800079e-06
Position 1030: 4.887828467484915e-06
Position 1137: 4.693046805151363e-06
Position 606: 4.168014980847673e-06
Position 173: 4.060171567662834e-06
Position 275: 3.85987150895973e-06
Position 713: 3.4988894974560442e-06
Position 254: 2.99305283958698e-06
Position 702: 2.8420617810295136e-06
Position 555: 2.7316312285229323e-06
Position 167: 1.3776245404576593e-06
Position 531: 1.2995705526271569e-06
Position 763: 9.240349881983971e-07
Position 589: 8.487515047511271e-07
Position 612: 7.131053592388968e-07
Position 754: 6.28584343559398e-07
Position 149: 5.010940767325418e-07
Position 152: 3.6078487292072404e-07
Position 690: 3.433757928027773e-07
Position 567: 1.7002802029466528e-07
Position 479: 1.1818125541758277e-07
Position 91: 3.434540880036643e-08
Position 819: 2.187605903283544e-08
Position 182: 1.994793522147003e-08
Position 704: 1.599733578236484e-08
Position 311: 8.25959751950908e-09
Position 767: 1.65268603620968e-09
Position 131: 1.4186353623748916e-09
Position 323: 1.1944428099681344e-12
Position 869: 8.020300379767666e-15
Position 325: 2.0571328162727137e-18
