Gene = eIF3l
Position 543: 8.20414072534637e-07
Position 2299: 6.752147027280848e-07
Position 2301: 1.9040565001021966e-07
Position 1989: 1.3323292922103538e-07
Position 1977: 1.0679576350837755e-07
Position 1426: 9.922775604633373e-08
Position 2504: 6.368594079374148e-08
Position 37: 4.642945708388206e-08
Position 2558: 2.661311673579381e-08
Position 821: 9.444247962097289e-09
Position 79: 9.171347943308945e-09
Position 1191: 9.088803734602753e-09
Position 1163: 6.152846204918457e-09
Position 72: 1.3671844033724737e-09
Position 1546: 8.574113988533046e-10
Position 1618: 4.193299734212988e-11
Position 2013: 1.5740045889342178e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2411: 0.9892757478034542
Position 1379: 0.9842740908184264
Position 846: 0.9429123631822707
Position 523: 0.046071064685680625
Position 480: 0.029466292889704298
Position 1026: 0.008641594073756134
Position 535: 0.006062619486289783
Position 2178: 0.005679033835083482
Position 1812: 0.004598394962823068
Position 1920: 0.00432056368161601
Position 765: 0.004079227121257675
Position 284: 0.0037371712880794553
Position 263: 0.0025411239206830586
Position 588: 0.0019832935831464115
Position 2280: 0.0018581244048744667
Position 1122: 0.0014897648223677455
Position 295: 0.0013056566298909722
Position 778: 0.0012550761075356526
Position 2234: 0.0012472436120033723
Position 1581: 0.0012260903027380063
Position 821: 0.001176769609119192
Position 305: 0.0011277273309693101
Position 1236: 0.0010559518991024037
Position 2118: 0.0010365655938809723
Position 2062: 0.0009686904713110625
Position 378: 0.0009262061709197141
Position 966: 0.0009033979673758251
Position 608: 0.0007849906727457432
Position 503: 0.000642789518274363
Position 1869: 0.0005304381782938483
Position 2448: 0.00048208387918469473
Position 1050: 0.0004637473745821881
Position 2531: 0.00038161147442824925
Position 1824: 0.0003613948072941063
Position 1647: 0.0003345185811754333
Position 1170: 0.00029599298682858485
Position 745: 0.0002652760081783189
Position 1179: 0.00025355203832411253
Position 1866: 0.00018513695075357594
Position 1031: 0.00017944864301329926
Position 2547: 0.00017336658836233305
Position 2068: 0.00017164107047337179
Position 1686: 0.0001589323914640359
Position 2299: 0.00012763015395561667
Position 1074: 0.00012093418313379298
Position 1404: 9.621479986919141e-05
Position 1243: 8.944287522114128e-05
Position 1989: 8.837920155413738e-05
Position 1983: 8.69694194584302e-05
Position 614: 7.214536397921997e-05
Position 1011: 5.870080490737501e-05
Position 1090: 5.178077694842417e-05
Position 1506: 5.1254272854664096e-05
Position 2112: 5.0424483817960654e-05
Position 1944: 4.6045197680557366e-05
Position 1068: 4.277151459582052e-05
Position 1101: 4.267876729696663e-05
Position 2459: 3.159906046669421e-05
Position 1436: 2.264636089861972e-05
Position 1345: 2.07075244544473e-05
Position 1503: 1.930862071428281e-05
Position 314: 1.732538832463779e-05
Position 2641: 1.6360103926517453e-05
Position 877: 1.626326034830027e-05
Position 1656: 1.159772448440183e-05
Position 2504: 1.1434081654473523e-05
Position 704: 1.137369879701451e-05
Position 1308: 9.754514210382306e-06
Position 1071: 9.638768770684613e-06
Position 2013: 9.514841235885018e-06
Position 687: 8.98169370629926e-06
Position 1509: 6.49456927248412e-06
Position 1683: 6.278106500141888e-06
Position 1065: 5.978818622358629e-06
Position 652: 4.119506571424434e-06
Position 1875: 3.929466002021194e-06
Position 1125: 3.7613566657740936e-06
Position 1878: 3.425579158471536e-06
Position 151: 2.259137860359107e-06
Position 565: 1.0278408961407405e-06
Position 439: 6.912030035212698e-07
Position 553: 4.888724052639012e-08
Position 658: 4.1990460503458744e-08
Position 103: 2.7909143214779882e-08
Position 146: 1.3759800333307162e-08
Position 788: 1.2799856318386434e-08
Position 155: 1.0731191451200513e-09
Position 121: 5.627380575542995e-10
Position 91: 1.5129460951471698e-10
Position 93: 1.1043780730756955e-10
Position 550: 1.4731692960913547e-11
Position 159: 5.590411639645739e-12
Position 537: 1.2432591265620225e-12
