Gene = Culd
Position 789: 7.343396252793842e-05
Position 3194: 6.878058643645733e-05
Position 503: 6.64566721306313e-05
Position 575: 5.9923892081636245e-05
Position 2393: 5.9776018162516106e-05
Position 657: 4.918469823696499e-05
Position 2980: 4.898048797774127e-05
Position 623: 4.6809149152190746e-05
Position 2030: 4.2783830971045195e-05
Position 496: 4.275677016603131e-05
Position 3529: 4.141946923267677e-05
Position 3824: 3.412385059486053e-05
Position 2041: 3.265020879768676e-05
Position 1165: 3.1833077894230594e-05
Position 1835: 3.076689600355425e-05
Position 2039: 2.2640767083354993e-05
Position 40: 2.2344943972250212e-05
Position 1465: 2.186765490883682e-05
Position 1345: 2.1683090047675973e-05
Position 162: 2.0908541306790465e-05
Position 2535: 2.0296380887145334e-05
Position 3606: 1.46455095359897e-05
Position 1484: 1.3390474865522833e-05
Position 1140: 1.186569266361293e-05
Position 753: 1.1587550134268595e-05
Position 67: 1.09986217514423e-05
Position 441: 1.0613185194957858e-05
Position 2365: 9.98376963601824e-06
Position 809: 9.599332034769878e-06
Position 328: 8.271911274059131e-06
Position 2655: 7.510741700075036e-06
Position 1919: 7.309193971333826e-06
Position 130: 6.9140706177483215e-06
Position 2306: 6.009290266524998e-06
Position 580: 5.937875200435564e-06
Position 396: 4.984960786830697e-06
Position 2257: 4.887102238149808e-06
Position 1995: 3.109855539785149e-06
Position 398: 2.86661674007462e-06
Position 659: 2.0727036469772596e-06
Position 430: 1.8384105980097076e-06
Position 1040: 1.7696475233187744e-06
Position 3: 1.5734441263775298e-06
Position 2829: 1.0008883731602687e-06
Position 514: 9.162269770469747e-07
Position 2194: 8.301350050700061e-07
Position 596: 7.274169179737035e-07
Position 242: 5.4212307160458e-07
Position 176: 5.214741709595334e-07
Position 423: 4.7580512896487607e-07
Position 450: 4.337883080162746e-07
Position 221: 1.957714496893373e-07
Position 407: 1.8691851862569409e-07
Position 1171: 1.5267258056513667e-07
Position 366: 1.4464091318292289e-07
Position 512: 1.3755773935488986e-07
Position 913: 3.0226964043031006e-08
Position 8: 2.432024250060473e-08
Position 782: 1.9141380195464735e-08
Position 766: 1.566792147619758e-08
Position 1953: 1.4889934270380608e-08
Position 384: 4.154404561822878e-09
Position 1765: 3.4445478532020643e-09
Position 533: 3.284792831079656e-09
Position 1330: 2.3788225813822173e-09
Position 6: 1.942829539456352e-09
Position 1012: 1.4447257982803808e-09
Position 1478: 8.823874827640431e-10
Position 3142: 7.438034139594048e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2112: 0.9810278746200847
Position 1685: 0.950938233461362
Position 353: 0.9449385342363404
Position 2883: 0.6441120135404621
Position 1348: 0.5797063898031686
Position 747: 0.3723939550971094
Position 3078: 0.30404606774864584
Position 980: 0.22130877258611223
Position 2869: 0.22051679525526424
Position 1295: 0.1526981552574199
Position 2674: 0.13030152166265446
Position 1055: 0.12973182933681937
Position 935: 0.08642192338604855
Position 3273: 0.07001530358069766
Position 3134: 0.057432979476381395
Position 2892: 0.05545898329918856
Position 1238: 0.04757381025651564
Position 957: 0.038147392722132044
Position 1354: 0.03474788099076823
Position 2910: 0.022397696835466538
Position 2347: 0.01913444408650847
Position 1429: 0.017091642594940906
Position 3212: 0.016651571342161015
Position 1380: 0.01438001990379701
Position 374: 0.011787323842069172
Position 1614: 0.010994063988442387
Position 3099: 0.009424415148512057
Position 3933: 0.00854694631940072
Position 782: 0.006620418643257069
Position 1553: 0.005487026442579959
Position 762: 0.004435449002206408
Position 2608: 0.004092179187396632
Position 1121: 0.004012194933938693
Position 2398: 0.0033035462955746174
Position 1885: 0.003130233641821955
Position 3122: 0.002841696229138256
Position 2447: 0.0028230048164853807
Position 1208: 0.002777822003306544
Position 481: 0.0026650046089306007
Position 2697: 0.0022419212386895616
Position 1304: 0.0021357377512924935
Position 1330: 0.0020750870946368827
Position 3523: 0.0018359168456880382
Position 2851: 0.0018245435342887412
Position 640: 0.0016065219608172967
Position 3889: 0.0015616287758861373
Position 2132: 0.001546384051599363
Position 1863: 0.0012429474733723744
Position 3226: 0.0011329821775523008
Position 384: 0.0010650398901131735
Position 3152: 0.0010030790467795234
Position 533: 0.0009848272041271132
Position 3458: 0.0009096251390774473
Position 3061: 0.0009056348512249198
Position 2474: 0.0008508593193525075
Position 2206: 0.000821031559652062
Position 3352: 0.0007988189354163936
Position 412: 0.0006990284549717806
Position 779: 0.0006619421036966032
Position 355: 0.0006559154555796847
Position 2321: 0.0006402221640130577
Position 1215: 0.0006284528689300686
Position 1033: 0.0006259876589804535
Position 3501: 0.0006101038224781185
Position 2702: 0.0005554981640143978
Position 3479: 0.0005458030452442865
Position 695: 0.0005341143320325015
Position 3283: 0.000531565646506035
Position 689: 0.0005246075861457677
Position 3397: 0.0004874299244199472
Position 573: 0.0004788752440790227
Position 2297: 0.00045808725725141324
Position 1789: 0.00039270199230365615
Position 3142: 0.0003887855779654228
Position 1395: 0.0003554391259836843
Position 3573: 0.0003404307610731241
Position 3428: 0.00033144465031143596
Position 1402: 0.00031328420772076625
Position 3673: 0.0002913003538433255
Position 815: 0.0002586936284359134
Position 3488: 0.0002309004222938607
Position 2301: 0.00023031067223126014
Position 1118: 0.00022648637173372562
Position 2915: 0.00021869269684614002
Position 717: 0.00019145201359852223
Position 1097: 0.0001873571816666203
Position 2617: 0.00015099745064409264
Position 1833: 0.00014371093316865565
Position 3188: 0.0001331151109848857
Position 1062: 0.00013181302151559637
Position 2437: 0.00012854520021256626
Position 701: 0.00012559317190583626
Position 2994: 0.00012374934778565074
Position 407: 0.00011918189052381988
Position 959: 0.00011811746930725455
Position 3048: 0.00011262736661683695
Position 1270: 0.00010041256273266011
Position 1433: 9.909835932113036e-05
Position 3625: 9.589426150249586e-05
Position 3355: 7.666228300834475e-05
Position 1102: 7.619168602010569e-05
Position 802: 6.569218990958673e-05
Position 508: 6.470518476578252e-05
Position 1265: 5.922325628475632e-05
Position 2410: 5.711927435806476e-05
Position 2313: 5.395217586569797e-05
Position 766: 4.7996728518757045e-05
Position 1475: 4.330449780634788e-05
Position 2997: 4.179021719443838e-05
Position 2506: 3.830502107683105e-05
Position 317: 3.6625479452129246e-05
Position 2635: 3.652009171083967e-05
Position 2689: 3.600572913076575e-05
Position 908: 3.5362950720829466e-05
Position 3545: 2.89959506663387e-05
Position 3349: 2.3908094765760352e-05
Position 94: 2.108529473094414e-05
Position 542: 2.0099211848215794e-05
Position 2623: 1.7890634422893648e-05
Position 2777: 1.7672269535439615e-05
Position 822: 1.5196895758035966e-05
Position 809: 1.49990916774764e-05
Position 646: 1.3537879395858785e-05
Position 613: 1.2734855144884861e-05
Position 176: 7.907919071611387e-06
Position 708: 7.162528098711677e-06
Position 593: 5.9389525563584276e-06
Position 1639: 5.809278404713748e-06
Position 1152: 5.64969130571141e-06
Position 2821: 5.418730630840266e-06
Position 154: 5.0563661966142e-06
Position 1127: 5.038992892708493e-06
Position 1171: 4.636614159442474e-06
Position 575: 3.9379515180607525e-06
Position 642: 3.601762311120216e-06
Position 2480: 3.3329050707739156e-06
Position 218: 2.6334113544744443e-06
Position 503: 2.3658069291624447e-06
Position 2871: 1.2237218376642605e-06
Position 332: 1.1563724513891534e-06
Position 100: 8.728705005988222e-07
Position 308: 8.419055091874669e-07
Position 179: 8.293914669959176e-07
Position 623: 8.166749476744579e-07
Position 437: 5.03145811504343e-07
Position 290: 4.512741404264109e-07
Position 173: 3.37565497218906e-07
Position 74: 2.6459537880258827e-07
Position 419: 2.4248804254796815e-07
Position 60: 1.6616891581848306e-07
Position 893: 7.437024666903712e-08
Position 585: 6.81089844821661e-08
Position 242: 1.8774827556742066e-08
Position 46: 1.3059082357011795e-08
Position 71: 1.1819788585931505e-08
Position 247: 1.0584185768977855e-08
Position 604: 6.946878201026755e-09
Position 157: 6.381359344522832e-09
Position 266: 1.3289071856859007e-09
Position 52: 7.578852120291905e-10
Position 253: 3.550816462247439e-10
Position 450: 2.3638096702185653e-12
Position 292: 1.8045310938562634e-12
Position 255: 8.895396848035384e-13
Position 296: 8.726320280883453e-13
Position 159: 2.5727785294898977e-13
