Gene = geko
Position 936: 0.0003967984091069106
Position 4828: 0.00033670699570606327
Position 2133: 0.0003132764703935049
Position 2940: 0.0003027704663977442
Position 4651: 0.0002994029952088191
Position 1467: 0.0002893458124292913
Position 2114: 0.0002368083572315479
Position 4367: 0.0002242693238262318
Position 350: 0.00020566308965321405
Position 104: 0.0001702693997707065
Position 4410: 0.0001617219535972521
Position 112: 0.00016169123869317636
Position 5038: 0.00015454531421267684
Position 581: 0.00014853942730443066
Position 2040: 0.00013797912567191207
Position 128: 0.00013180057785029645
Position 3459: 0.0001220010225863098
Position 1154: 0.00010865138539823343
Position 2699: 0.00010456553879195292
Position 1828: 9.792965934422958e-05
Position 4726: 9.547179975788559e-05
Position 277: 8.858074263734814e-05
Position 4515: 8.68788826614646e-05
Position 191: 5.740927468254385e-05
Position 4891: 4.5698000656237063e-05
Position 954: 3.9521877325102706e-05
Position 68: 3.676610306872678e-05
Position 5810: 3.4164464527548534e-05
Position 171: 2.6667425448332533e-05
Position 5842: 2.5885465434444607e-05
Position 5856: 2.5391336560831713e-05
Position 5158: 2.2490344564387385e-05
Position 5903: 2.136505215264581e-05
Position 5010: 2.0636227139718825e-05
Position 839: 2.061955333971791e-05
Position 453: 2.0172523663623704e-05
Position 5848: 1.891829925665521e-05
Position 5133: 1.8247755887808268e-05
Position 1246: 1.5899074808181434e-05
Position 4655: 1.4152155141181107e-05
Position 4349: 1.3950816671361949e-05
Position 222: 1.3860585297042645e-05
Position 123: 1.2531657169569338e-05
Position 4401: 1.172019960304128e-05
Position 275: 1.0261431605481874e-05
Position 1267: 1.0215855767711246e-05
Position 4955: 9.913618799253239e-06
Position 5597: 9.792093684982134e-06
Position 997: 8.318582055439463e-06
Position 81: 8.300836850697973e-06
Position 5780: 8.258454359779086e-06
Position 1983: 6.887693138893786e-06
Position 1380: 5.7810147087501804e-06
Position 1004: 5.56697383153174e-06
Position 745: 5.407378769886106e-06
Position 2402: 5.3943193030207095e-06
Position 1811: 5.251908447956497e-06
Position 1446: 4.730916843203051e-06
Position 807: 4.659705230723139e-06
Position 4744: 3.884021215955254e-06
Position 1980: 3.7414581541566944e-06
Position 4374: 3.4989225238510294e-06
Position 4359: 3.4662869333873982e-06
Position 1520: 3.442714524278062e-06
Position 364: 3.257489812573207e-06
Position 764: 3.1321852158586052e-06
Position 544: 3.1144970222304794e-06
Position 254: 2.8618594892532387e-06
Position 1648: 2.8180438330126416e-06
Position 1058: 2.595750345255572e-06
Position 2392: 2.5774978726534264e-06
Position 1576: 2.4654277006663484e-06
Position 1410: 2.441115214708303e-06
Position 556: 2.4257580849553063e-06
Position 1224: 2.3598391737468213e-06
Position 1253: 2.292153131294312e-06
Position 771: 2.1642957717023e-06
Position 623: 1.6404075705849249e-06
Position 83: 1.4918201540981687e-06
Position 541: 1.1540192343666261e-06
Position 4602: 1.106980836704163e-06
Position 534: 9.292693195332599e-07
Position 4638: 9.108296543083047e-07
Position 1112: 8.43482207796929e-07
Position 889: 5.831840121799733e-07
Position 842: 5.444299913208458e-07
Position 3: 5.250610215988829e-07
Position 940: 5.207091501956664e-07
Position 655: 4.2056642443376087e-07
Position 353: 2.916730630672382e-07
Position 678: 2.1511005775704567e-07
Position 432: 1.8406141583151453e-07
Position 648: 1.7990342004635947e-07
Position 858: 1.7561446218930263e-07
Position 377: 1.0915521191515423e-07
Position 2000: 6.435932729836087e-08
Position 488: 4.611554855585534e-08
Position 412: 4.0497096138132055e-08
Position 643: 2.6154068977973738e-08
Position 438: 2.353876715223768e-08
Position 657: 1.786858364870196e-08
Position 1038: 1.1261087604672105e-08
Position 1055: 4.707929530018176e-09
Position 690: 1.1469860112366468e-09
Position 929: 1.0178406345452011e-09
Position 797: 7.48440016715902e-10
Position 1920: 2.4486402412764468e-11
Position 415: 8.124217657244715e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5519: 0.9563397074027585
Position 4099: 0.8793295304763077
Position 5818: 0.12804781577178823
Position 4126: 0.0781374474581039
Position 1061: 0.06455444525396074
Position 4918: 0.04580995775999694
Position 4436: 0.03869453039369884
Position 1614: 0.019984111898718147
Position 4123: 0.018793901613356756
Position 4515: 0.018610431180999084
Position 4946: 0.017838620056602764
Position 1205: 0.016367161662966673
Position 377: 0.014733138052184942
Position 4569: 0.013531883273882994
Position 1400: 0.01253822967352863
Position 4546: 0.012444815528964077
Position 5485: 0.012016707896347102
Position 5466: 0.01071231773734796
Position 5021: 0.010454717676069465
Position 3307: 0.009992019876739366
Position 3858: 0.009435742930860564
Position 4566: 0.009400999354859748
Position 912: 0.008812687307465877
Position 1648: 0.008451766330685352
Position 2267: 0.007415243634303084
Position 112: 0.005256960400505658
Position 1359: 0.0051044605621796075
Position 4129: 0.004510626759854242
Position 5945: 0.0037339352404486634
Position 4799: 0.0033671555215565364
Position 889: 0.0031695903774821483
Position 5322: 0.0030570702173028878
Position 2209: 0.002976730219996012
Position 3864: 0.0028760412562535836
Position 2659: 0.0020676324877162856
Position 1415: 0.0018646903399806057
Position 5133: 0.0017627128783253257
Position 5851: 0.0017029433364656797
Position 5171: 0.0015884571748236488
Position 3375: 0.0015278220257910766
Position 5916: 0.001446514606363583
Position 3938: 0.0013757566595973489
Position 350: 0.0012058496546865157
Position 3090: 0.001054771576144069
Position 4722: 0.0010511151751205164
Position 2455: 0.0010427081784225613
Position 2541: 0.0009208829272870139
Position 2927: 0.0009118646089810546
Position 4787: 0.0006871864966079017
Position 1490: 0.0006338220854850793
Position 5240: 0.0006254655421873254
Position 1684: 0.0006218159023047408
Position 5138: 0.0005991957333235699
Position 953: 0.0005764872751136708
Position 3817: 0.0005533290027269467
Position 4635: 0.0005417550419699852
Position 4349: 0.0005074812982435452
Position 288: 0.00047622870748866063
Position 5889: 0.00045121967587040233
Position 4958: 0.00044675040833721977
Position 5218: 0.0004298784034035169
Position 202: 0.0004208916276517243
Position 1709: 0.00041275130837039345
Position 3971: 0.00034424469797200957
Position 4606: 0.00032476026000709837
Position 5789: 0.00031529700521608643
Position 1879: 0.00030698265496353634
Position 1520: 0.0003021249010632013
Position 2017: 0.0002977987114661058
Position 4359: 0.00029368371856006164
Position 4227: 0.00028682963178441157
Position 1427: 0.0002786874247069675
Position 1239: 0.00027724752825798856
Position 4770: 0.0002687434067510918
Position 4143: 0.00026375232179052545
Position 5043: 0.0002615942832660696
Position 2074: 0.0002591972764291343
Position 1210: 0.00024004613598726263
Position 517: 0.00023128132415607973
Position 4483: 0.00021773120740884838
Position 4384: 0.00021699054658140882
Position 1591: 0.00021198430888305848
Position 3404: 0.00019568989693842043
Position 5618: 0.00017922883918971102
Position 4651: 0.0001742454492807766
Position 1380: 0.0001739423848589708
Position 4524: 0.00016675214625519452
Position 4076: 0.00016510914205169566
Position 2591: 0.00016402468186158748
Position 1576: 0.0001544941258558766
Position 3911: 0.00015101590061641562
Position 2039: 0.00013660883494207468
Position 1070: 0.00013107173495189916
Position 4730: 0.00011945250545255898
Position 5957: 0.00011859173194109994
Position 275: 0.00011663120005817811
Position 3968: 0.00010923225836523288
Position 5145: 0.00010428620402808448
Position 5663: 9.571543483620678e-05
Position 175: 9.536274731458572e-05
Position 5895: 8.100754229563325e-05
Position 1436: 7.7537425424819e-05
Position 842: 7.510738110798874e-05
Position 2816: 7.045352330513127e-05
Position 5842: 6.91512533263568e-05
Position 3823: 5.817007050485372e-05
Position 5825: 5.520637169397177e-05
Position 2503: 5.4788116234663446e-05
Position 1828: 5.376720818256326e-05
Position 1552: 5.095733649779227e-05
Position 3841: 4.230507503407358e-05
Position 5156: 3.9791975986843954e-05
Position 1467: 3.863493805221872e-05
Position 5030: 3.485115132722927e-05
Position 853: 3.07750343664131e-05
Position 308: 2.9835830707590076e-05
Position 4404: 2.9681944045973985e-05
Position 2461: 2.854063806024658e-05
Position 570: 2.673419168960889e-05
Position 3338: 2.5282820778746902e-05
Position 4704: 2.4885629466137735e-05
Position 1907: 2.4386416360238448e-05
Position 2784: 2.430121393648812e-05
Position 3265: 2.2356677965369833e-05
Position 1174: 2.134485820285267e-05
Position 3545: 1.7575374549979875e-05
Position 4808: 1.6263410062566612e-05
Position 3430: 1.5825853338494883e-05
Position 3287: 1.5793072384633534e-05
Position 3595: 1.4153563158396081e-05
Position 3491: 1.2399232420062638e-05
Position 3450: 1.1347345589897218e-05
Position 4401: 1.0654101777963402e-05
Position 858: 8.879945858231305e-06
Position 5929: 8.64996669469405e-06
Position 5964: 8.343743729282754e-06
Position 5340: 7.234783816149516e-06
Position 3150: 6.576671217645768e-06
Position 2681: 5.4323364237571206e-06
Position 4455: 5.130494391139683e-06
Position 4964: 1.9886119104790337e-06
Position 1130: 1.2399824429291818e-06
Position 2100: 9.606188935908656e-07
Position 210: 7.676534034180949e-07
Position 2382: 7.091902014725101e-07
Position 1273: 6.559979320126106e-07
Position 4581: 6.468166345795062e-07
Position 4998: 6.413460718627442e-07
Position 4367: 4.907146485262456e-07
Position 2183: 3.8126338869219164e-07
Position 1010: 2.9282052390143553e-07
Position 326: 2.635230553747076e-07
Position 1983: 2.3748687556690998e-07
Position 2000: 2.1547657776677164e-07
Position 1498: 1.9841385436672468e-07
Position 305: 1.717037253596425e-07
Position 123: 1.5900326308553615e-07
Position 2684: 1.097464067114441e-07
Position 1785: 7.202909952390448e-08
Position 488: 6.427508591924007e-08
Position 1956: 4.6809608595875384e-08
Position 618: 2.0721368375338926e-08
Position 62: 1.6006514619133213e-08
Position 310: 1.2951575893700766e-08
Position 2464: 6.607641495688844e-10
Position 623: 3.80986134086331e-10
Position 2508: 2.9477630704966755e-10
Position 587: 2.6430320874446694e-10
Position 577: 1.9375947726063576e-10
Position 1720: 1.2056381365775997e-11
Position 581: 3.2416865804976335e-12
