Gene = sky
Position 117: 1.0557578329964848e-05
Position 3873: 1.0528177231229697e-05
Position 4009: 1.0000791211683142e-05
Position 41949: 9.828145852333554e-06
Position 2637: 9.33134384788422e-06
Position 1215: 8.686764572821348e-06
Position 500: 8.655764628467248e-06
Position 489: 8.463416941201066e-06
Position 1150: 8.16123412300335e-06
Position 523: 8.156552299123706e-06
Position 4290: 8.060620571072327e-06
Position 44889: 7.703052386760976e-06
Position 4308: 7.174126319307923e-06
Position 649: 6.767438642805785e-06
Position 614: 6.584718591597075e-06
Position 1060: 6.043787441839003e-06
Position 216: 6.028412073129676e-06
Position 27: 5.327071646703739e-06
Position 1054: 5.284866767282254e-06
Position 498: 5.15701982522671e-06
Position 234: 3.7392382307362594e-06
Position 2254: 3.098880177380452e-06
Position 24: 3.0026494960109e-06
Position 3552: 2.633255026606795e-06
Position 509: 2.34616181310197e-06
Position 45543: 1.9878844179469068e-06
Position 1225: 1.9130478340694726e-06
Position 41413: 1.5567854801102114e-06
Position 44879: 1.2672928214884098e-06
Position 45122: 6.739205687819669e-07
Position 42623: 3.53762099909656e-07
Position 45497: 1.7791464692716356e-07
Position 44995: 1.7786636876743154e-07
Position 45389: 1.720763733439342e-07
Position 37680: 5.5163647655791007e-08
Position 363: 1.7675996885469047e-08
Position 248: 9.652577111540016e-09
Position 1094: 5.4331188499123896e-09
Position 492: 5.000049620643734e-09
Position 41636: 6.230541705784971e-10
Position 44783: 5.303181951021893e-10
Position 365: 5.047484530929203e-10
Position 1038: 3.066315938059354e-10
Position 41648: 1.169863252481836e-10
Position 41528: 9.870690472506174e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 36466: 0.9999999999999987
Position 36739: 0.9985068050603665
Position 41253: 0.9954143450138712
Position 41847: 0.9927549308653341
Position 45040: 0.9894563619080132
Position 44753: 0.9786488294764933
Position 44498: 0.9466713291431205
Position 41453: 0.8248825553012484
Position 39479: 0.664734446118417
Position 15371: 0.5539778013550984
Position 37003: 0.5267486256390773
Position 40838: 0.474515689232492
Position 42078: 0.46935231000458066
Position 38845: 0.40537938804280954
Position 37640: 0.3589785356628023
Position 46942: 0.34277970414565795
Position 3542: 0.3241369962807107
Position 45648: 0.25909825113568347
Position 42752: 0.24117807276639466
Position 39183: 0.15989161975634758
Position 39822: 0.1316992170954563
Position 1347: 0.08689863440758128
Position 41555: 0.08040204316341072
Position 40996: 0.07199855864977092
Position 15555: 0.07166183072413365
Position 17192: 0.06961817949879963
Position 43206: 0.06714608831505818
Position 40190: 0.06278597943065967
Position 40643: 0.057281207856109434
Position 46342: 0.05186027288150518
Position 41441: 0.04333066434678779
Position 1810: 0.04043276054099203
Position 14143: 0.03861199195788418
Position 17644: 0.03772864986207551
Position 14203: 0.036014727390856975
Position 47211: 0.028206642541446426
Position 15425: 0.026643410033391053
Position 17137: 0.023849317442585352
Position 43794: 0.023597776938002583
Position 39303: 0.022366383272500116
Position 47182: 0.021169458922809567
Position 37433: 0.019662286088032225
Position 37645: 0.0191258766384457
Position 42152: 0.017255920060485052
Position 44868: 0.017187485268260864
Position 37462: 0.01694407866810925
Position 39750: 0.01632771017594771
Position 1085: 0.015757087855627603
Position 1038: 0.015454653959024643
Position 37657: 0.01240044490839187
Position 43977: 0.011983152045442761
Position 42087: 0.01187186417936185
Position 45198: 0.011605047724314116
Position 40613: 0.010674871812292383
Position 37910: 0.009791725311256204
Position 37679: 0.009316022475566612
Position 16732: 0.008288281350773058
Position 44426: 0.007855639178827362
Position 46020: 0.007786798521261743
Position 42185: 0.007551246259264286
Position 42573: 0.007494207249914654
Position 42317: 0.006930915255838729
Position 46650: 0.006192981977151417
Position 37301: 0.006017416612448725
Position 4427: 0.005930878816521918
Position 16421: 0.005509281554892791
Position 3475: 0.005507312257495536
Position 13319: 0.005392516550866433
Position 37675: 0.005086586183235222
Position 47550: 0.004824966273780133
Position 629: 0.004772490251258956
Position 37450: 0.00452094811174312
Position 42314: 0.004327358608132479
Position 4008: 0.004080447609935008
Position 46950: 0.0039006510814078234
Position 42128: 0.0038670831396345317
Position 39648: 0.0037909248039591035
Position 41502: 0.003356475378420948
Position 46253: 0.003293517643585
Position 2718: 0.0031348429673108127
Position 37325: 0.0030790353109771277
Position 42775: 0.0030303651078704007
Position 44023: 0.0029755069583460797
Position 4871: 0.0029731033853611813
Position 2873: 0.0027781579250382867
Position 42833: 0.0025761651483109725
Position 2589: 0.0024960272381729714
Position 41498: 0.0024803782058426126
Position 16144: 0.0023012640674752536
Position 44721: 0.002262655048624388
Position 4481: 0.0021815072460363884
Position 41458: 0.0020847293076287315
Position 1278: 0.002044845608224748
Position 47121: 0.0020026527105740763
Position 43672: 0.00200000267875004
Position 3504: 0.0019495168999334414
Position 2573: 0.0019101343653914677
Position 45540: 0.001856356260445623
Position 43622: 0.001781915152377138
Position 37188: 0.001759035061498882
Position 45288: 0.0016808298583534515
Position 37359: 0.0016229822604453853
Position 43229: 0.0016098925625829116
Position 1657: 0.001608849709742777
Position 46705: 0.0013870167973273255
Position 1150: 0.001347166024603874
Position 5004: 0.0013462701678587782
Position 42910: 0.0013371437635321612
Position 45853: 0.00114595613305438
Position 41878: 0.0010165219013461109
Position 44006: 0.0009785604241188553
Position 45960: 0.0009373923615624128
Position 43938: 0.0009255539077155495
Position 41865: 0.0009220628037266398
Position 41173: 0.0008681216076567502
Position 41138: 0.0008385781952830415
Position 42939: 0.0007947767533635505
Position 43348: 0.0007851950786775545
Position 42394: 0.0006684555643371366
Position 41648: 0.0006520632680988409
Position 768: 0.0006000826371786308
Position 2091: 0.0005944259159551308
Position 2311: 0.0005256010957615876
Position 2760: 0.0005160159114137886
Position 41645: 0.00047073474433585976
Position 3647: 0.00045092094023229724
Position 44791: 0.0004432872419498096
Position 41255: 0.0004309875797335158
Position 41196: 0.00042878991681086
Position 43465: 0.00040941816594274955
Position 44306: 0.00037552969626585296
Position 37127: 0.0003491410965516621
Position 37307: 0.00034572420034130116
Position 793: 0.00034502133906187
Position 41538: 0.00033603713662481993
Position 3563: 0.00033338761092743406
Position 46767: 0.0003330866252820047
Position 44041: 0.00032623944003638713
Position 37947: 0.0003153017167838794
Position 44802: 0.00030875855694281366
Position 4932: 0.00030829893754589843
Position 2816: 0.0002923316913097117
Position 1114: 0.0002614829751759693
Position 43636: 0.00025284265377160947
Position 42891: 0.00022875772623020638
Position 42096: 0.00019861119360969212
Position 44078: 0.0001813031693136385
Position 1231: 0.00017418923547047542
Position 41967: 0.00014324730753881903
Position 41898: 0.00012562923048197144
Position 44149: 0.00012003270346150796
Position 132: 0.0001159666704321289
Position 44822: 0.00011031542666997647
Position 1661: 0.00010833634564125813
Position 2523: 0.00010404030987320732
Position 3199: 0.00010336815644692504
Position 3092: 9.941932823946564e-05
Position 3152: 8.607064559318547e-05
Position 42156: 7.975285068346287e-05
Position 44872: 7.536531659201749e-05
Position 391: 7.019203438970641e-05
Position 41854: 6.684956388872195e-05
Position 41916: 6.472012446215683e-05
Position 41949: 5.5969442774720926e-05
Position 4456: 5.567586395691332e-05
Position 2416: 5.445171450058622e-05
Position 3175: 5.3128695149630686e-05
Position 3178: 5.136293331301434e-05
Position 4235: 5.0927517636223804e-05
Position 4972: 4.48886220855625e-05
Position 4580: 4.418214329342358e-05
Position 3685: 4.288356871595355e-05
Position 3736: 4.2415692749102094e-05
Position 992: 3.5460582982650316e-05
Position 2315: 3.1258931311225714e-05
Position 772: 3.0607468711402054e-05
Position 42190: 2.7069382063639482e-05
Position 1454: 2.2646075102829913e-05
Position 1710: 1.8925382795673668e-05
Position 835: 1.885921202379502e-05
Position 45389: 1.8623466295751578e-05
Position 1732: 1.8623037558103083e-05
Position 1863: 1.79158459911833e-05
Position 42110: 1.7608861176772784e-05
Position 708: 1.718677883745989e-05
Position 1584: 1.578342811357767e-05
Position 1723: 1.5090717437414022e-05
Position 1162: 1.356321522806153e-05
Position 1826: 1.2645199117551066e-05
Position 140: 1.2568808812792204e-05
Position 45364: 1.182896541673528e-05
Position 801: 1.0826789165462991e-05
Position 41977: 1.0626610891811418e-05
Position 1859: 1.0161939801073517e-05
Position 174: 8.180882656914157e-06
Position 42140: 8.166388425749572e-06
Position 644: 7.659195684127723e-06
Position 2016: 7.220375223421656e-06
Position 45044: 6.471645751535932e-06
Position 146: 4.387861535672741e-06
Position 226: 2.2935623439852207e-06
Position 42103: 1.8300074565920493e-06
Position 398: 1.597099365733036e-06
Position 143: 1.3674040169482877e-06
Position 3333: 1.082623744247228e-06
Position 3392: 1.010036833420516e-06
Position 2626: 9.485744310263749e-07
Position 42623: 1.9691806413317935e-07
Position 45050: 5.224485939989456e-08
Position 1640: 3.0149850861995586e-08
Position 1467: 2.655520374674173e-08
Position 955: 1.5504083150865486e-08
Position 45086: 1.526929463175193e-08
Position 45400: 1.3826863240113432e-08
Position 313: 1.4125170041094402e-09
