Gene = REPIN1
Position 2115: 3.619764307716266e-06
Position 472: 3.495190575125531e-06
Position 475: 3.4039979323115417e-06
Position 242: 1.9556456729702445e-06
Position 982: 1.838962147538276e-06
Position 800: 1.4505848237462498e-06
Position 327: 1.4222303182231493e-06
Position 728: 8.711983850031993e-07
Position 780: 8.533888962074462e-07
Position 788: 4.6394720382532385e-07
Position 33: 2.3335463605969048e-07
Position 778: 2.1509327925911152e-07
Position 803: 2.4394468444135876e-08
Position 36: 6.4287151940328765e-09
Position 128: 4.701338468139972e-09
Position 56: 2.7467213397986783e-09
Position 1180: 1.7137253395381347e-10
Position 571: 2.132012159274418e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 3578: 0.3893491411745816
Position 1969: 0.24625827036612538
Position 2437: 0.20769677787895965
Position 880: 0.20238601868742678
Position 602: 0.16759693096415385
Position 4919: 0.11612046282702417
Position 1949: 0.07656790108103698
Position 626: 0.04441941370915179
Position 5011: 0.04397072641220743
Position 4019: 0.04041672158310465
Position 5226: 0.03842941406139948
Position 3162: 0.029991597083652705
Position 1923: 0.025415635954699343
Position 2440: 0.025140127349794712
Position 4836: 0.024542700871253816
Position 4898: 0.02420654473019515
Position 4101: 0.023767233416121556
Position 2869: 0.02358844558316013
Position 737: 0.022368341887338546
Position 951: 0.01888339639820144
Position 3633: 0.01775254287485812
Position 1993: 0.014822169640711903
Position 2526: 0.014586474182890254
Position 656: 0.012365256226620986
Position 2752: 0.01080496888081113
Position 4865: 0.009329274962821935
Position 3777: 0.007677853439213066
Position 4717: 0.007664304528027319
Position 3462: 0.007433589801557044
Position 3139: 0.006981661552143675
Position 583: 0.0056655588711374116
Position 4777: 0.005468303779551644
Position 5195: 0.005326860652907994
Position 2788: 0.005168721620286633
Position 4056: 0.004873829852182645
Position 3101: 0.004774131783862329
Position 702: 0.004367797521372836
Position 305: 0.0042931759180101624
Position 4427: 0.004240687461759254
Position 1883: 0.0038349893456717326
Position 4360: 0.0038056335174316944
Position 4656: 0.003737258846856507
Position 1478: 0.0036060598446160056
Position 5247: 0.003403233807982589
Position 1727: 0.0030377025571658297
Position 2471: 0.0029439753663909637
Position 750: 0.0027501104574973114
Position 3383: 0.0023929174987863434
Position 4599: 0.0021450403368807147
Position 4782: 0.001771443411955766
Position 2691: 0.001765535150733736
Position 2335: 0.001704349654911894
Position 4447: 0.0016696774352469117
Position 2820: 0.001668204713445912
Position 2925: 0.001473526128508699
Position 2001: 0.0014042320039072023
Position 4862: 0.0012276449952246117
Position 836: 0.0012020727122877767
Position 3782: 0.0009980065263907644
Position 608: 0.0009085732615134928
Position 3849: 0.0008505618229483069
Position 2766: 0.0007478425622744153
Position 2218: 0.0007083834664921934
Position 754: 0.0006551724575628153
Position 4424: 0.0006162391797438661
Position 440: 0.0005824466980009675
Position 2270: 0.0005649121397141979
Position 3546: 0.0005647883545352276
Position 1782: 0.000556402130584825
Position 3510: 0.0005512285556165967
Position 1701: 0.000532240562981231
Position 3906: 0.0005312415882590515
Position 1831: 0.000509599256994142
Position 2030: 0.00047613815473672693
Position 992: 0.00047143581201818005
Position 3596: 0.00045354136776429955
Position 1340: 0.0004517913995468154
Position 1558: 0.00044097316737832745
Position 1343: 0.0004022817195926386
Position 995: 0.0003768438033394452
Position 1704: 0.00036519719758686684
Position 5228: 0.00031094879310674154
Position 5096: 0.00031063549806002635
Position 513: 0.0002942408416730953
Position 3444: 0.00027662799655663435
Position 5112: 0.0002746264038520402
Position 3535: 0.00027166119721367695
Position 4339: 0.00025246460488370745
Position 901: 0.00024118511548750735
Position 1289: 0.00023697213485370923
Position 4239: 0.00022808461967964048
Position 2642: 0.0001852806684092922
Position 2442: 0.0001832065106623515
Position 1122: 0.00017937311801926654
Position 2211: 0.00017776815087652148
Position 1355: 0.00017279037226522066
Position 4631: 0.00016731768913586895
Position 498: 0.00015782285439780149
Position 1196: 0.00014037585678319984
Position 2928: 0.00012646085624742033
Position 823: 0.00011616161067461063
Position 980: 0.00011372464721905873
Position 2718: 0.00010978538762953632
Position 4269: 0.00010937915738741343
Position 1022: 0.00010586689603726555
Position 1153: 7.520463839446446e-05
Position 1679: 6.72501673675576e-05
Position 2014: 6.724671307922936e-05
Position 1840: 6.106851461316311e-05
Position 931: 4.897705717204397e-05
Position 3246: 4.746110789200205e-05
Position 4313: 4.658733447501642e-05
Position 1237: 4.170352121869356e-05
Position 797: 3.087431881414476e-05
Position 838: 2.613953528965702e-05
Position 1658: 2.3649726960544797e-05
Position 661: 2.2682788195213003e-05
Position 1870: 1.760636439361739e-05
Position 1307: 1.7510369895310033e-05
Position 1978: 1.718174572738568e-05
Position 569: 1.606079644019905e-05
Position 1234: 1.5271506503229322e-05
Position 684: 1.4261652809369735e-05
Position 1973: 1.0394776746543422e-05
Position 484: 7.916808166561662e-06
Position 841: 7.328042650263908e-06
Position 681: 6.740016715522617e-06
Position 354: 6.657111395664468e-06
Position 1262: 6.201477041590649e-06
Position 633: 3.7224007116726834e-06
Position 537: 3.6919586383019957e-06
Position 905: 3.4853392160076596e-06
Position 814: 3.330407616840544e-06
Position 1815: 2.889015125462107e-06
Position 885: 2.8349711535894255e-06
Position 677: 2.707881974055708e-06
Position 2295: 1.2934417441676625e-06
Position 139: 8.667208074992824e-07
Position 2302: 8.629571337134578e-07
Position 2186: 7.533694250521352e-07
Position 228: 7.160042792737141e-07
Position 557: 6.810418757461972e-07
Position 613: 5.210309264585557e-07
Position 315: 4.855568212098268e-07
Position 377: 4.527434255688168e-07
Position 290: 3.2267506809341194e-07
Position 400: 3.1687752058020536e-07
Position 469: 2.624900468012953e-07
Position 560: 1.903179790930637e-07
Position 1488: 1.5796661313455822e-07
Position 665: 1.5403429717831087e-07
Position 1241: 1.4049292656047946e-07
Position 534: 1.3093039131146175e-07
Position 846: 1.2340553673939655e-07
Position 454: 1.1088093616001971e-07
Position 388: 1.1049111911634346e-07
Position 248: 1.0214312764719012e-07
Position 408: 7.173447420638925e-08
Position 2165: 4.190445017739106e-08
Position 571: 4.072611420808527e-08
Position 149: 3.423982949258243e-08
Position 1265: 3.035816597284989e-08
Position 548: 2.648439477062444e-08
Position 1505: 1.971663573640483e-08
Position 553: 1.2395383298780368e-08
Position 1004: 1.1387071304236722e-08
Position 77: 8.698774962080515e-09
Position 81: 7.584812249689197e-09
Position 848: 2.6088898526729812e-09
Position 1295: 2.2205256197605402e-09
Position 95: 2.190569801316138e-09
Position 1239: 1.9440837953686477e-09
Position 1253: 1.7245900255905145e-09
Position 151: 5.715297111231092e-10
Position 166: 4.3467209176721773e-10
Position 907: 9.3762400484668e-11
Position 83: 5.27684412318929e-11
