Gene = FRRS1L
Position 593: 1.1349216085796603e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 12149: 0.8751589416084357
Position 17570: 0.8184218203664285
Position 15212: 0.7380922349691024
Position 29663: 0.7281289189317132
Position 16430: 0.6371286167160122
Position 20101: 0.6231124089097555
Position 3363: 0.29292242565956894
Position 3036: 0.21400813126232904
Position 18723: 0.20516108623677226
Position 2302: 0.18658514111995547
Position 17229: 0.16227489954085045
Position 17880: 0.16179823170303093
Position 24491: 0.1518403092346805
Position 3395: 0.1475665948079998
Position 4357: 0.11326923683502575
Position 17900: 0.10727480618428098
Position 34551: 0.1005811874474925
Position 3318: 0.07041492800910472
Position 3059: 0.0689752320061776
Position 29961: 0.05745639950865939
Position 8304: 0.05079922297192389
Position 17271: 0.04953332962587798
Position 1246: 0.049171603221085915
Position 21973: 0.04753487163631585
Position 5972: 0.03489482845034398
Position 8146: 0.028965692091192385
Position 8180: 0.028055220922097356
Position 21121: 0.02777067128762578
Position 21100: 0.025987104802496233
Position 17113: 0.02313216029351722
Position 12800: 0.022783658373669975
Position 21951: 0.019946612665958024
Position 3400: 0.01624413173721821
Position 8283: 0.015736439527559556
Position 2357: 0.013078248946761007
Position 1473: 0.011071961174776348
Position 7640: 0.010991450834592971
Position 5841: 0.010982547701169302
Position 23812: 0.010350775615791945
Position 4220: 0.009435381522847343
Position 1022: 0.00924964532645774
Position 8177: 0.008657497946463807
Position 4398: 0.008367912919209086
Position 4443: 0.00834064232770556
Position 24487: 0.00830941871666211
Position 3223: 0.008064132860453307
Position 2327: 0.008057870845488025
Position 23828: 0.007425511561185561
Position 25774: 0.006653240284954142
Position 12502: 0.00660448902555975
Position 12361: 0.006075697969812171
Position 3930: 0.005985967569696175
Position 3897: 0.005663925448840926
Position 20638: 0.005046123375006152
Position 25450: 0.004494090923535862
Position 18699: 0.0037280668984699243
Position 18340: 0.003592184733740888
Position 12555: 0.0035911850238831426
Position 3288: 0.003558205322401894
Position 3175: 0.003325177180360169
Position 12378: 0.0033109126765405216
Position 17814: 0.0029537574185950397
Position 515: 0.0028872847831151968
Position 4260: 0.0027958211639893082
Position 18604: 0.0027257252438780033
Position 1316: 0.0026864679666964717
Position 25701: 0.0026398331006006834
Position 5959: 0.002630276573813089
Position 23142: 0.0023349585885230595
Position 3332: 0.002078652113644367
Position 12472: 0.0019423420144428205
Position 3366: 0.001916291838543169
Position 7533: 0.001467630540561984
Position 2081: 0.0012510051842112352
Position 18881: 0.001220902451710782
Position 2860: 0.0011882279691989774
Position 2261: 0.0011708667963837931
Position 985: 0.001167738255421088
Position 2291: 0.0010816467728364159
Position 2154: 0.0010178630721875423
Position 1937: 0.0010064327019941545
Position 20741: 0.0009681779240565147
Position 2120: 0.0009452452845250228
Position 618: 0.0009094891194667455
Position 4241: 0.0008937698496108992
Position 18958: 0.0008296630908919174
Position 17971: 0.0007612074393306228
Position 2183: 0.0006851690642883547
Position 20306: 0.0006405379562828022
Position 3196: 0.0006320019072520909
Position 2994: 0.0006133622897597211
Position 524: 0.0006133224088552892
Position 21157: 0.0006062976033969943
Position 20448: 0.0005701704438436098
Position 20667: 0.0005325722338189048
Position 20914: 0.00045305437333977033
Position 1164: 0.0004117360564574207
Position 3406: 0.0003657215696335965
Position 1413: 0.0003033598965417249
Position 3247: 0.00030265377160105096
Position 22205: 0.00027083555811997925
Position 1253: 0.00025528426533606875
Position 1902: 0.00023798805112252352
Position 1522: 0.00022709451246102937
Position 2048: 0.0002222419796417698
Position 21509: 0.00020139803937248735
Position 1477: 0.00020088693955204007
Position 1789: 0.00018677897316020907
Position 17747: 0.00018609241273562653
Position 2493: 0.00018278397204256344
Position 1056: 0.0001806212223013955
Position 1833: 0.0001544438159676303
Position 884: 0.00014862039887344772
Position 3870: 0.0001234054883765674
Position 2332: 0.00012199227993580068
Position 17733: 9.96608618040503e-05
Position 2034: 9.862469989879944e-05
Position 2197: 8.803781479230619e-05
Position 511: 8.318938457691315e-05
Position 234: 7.953598490388154e-05
Position 21096: 7.668134560732411e-05
Position 913: 7.573951347624892e-05
Position 575: 6.841203292347946e-05
Position 3086: 6.767112656284211e-05
Position 863: 6.70114740318522e-05
Position 2551: 6.602168029335395e-05
Position 17777: 6.382552573624467e-05
Position 499: 6.056295804192206e-05
Position 3285: 5.6666063989724776e-05
Position 1886: 5.627331858048752e-05
Position 2136: 5.536838359676569e-05
Position 2629: 4.519932868354116e-05
Position 2073: 4.3526646156846246e-05
Position 1453: 4.1362325381872116e-05
Position 1227: 2.7567529724447438e-05
Position 2267: 2.7544884461788994e-05
Position 1842: 2.7423110042671456e-05
Position 3546: 2.3648650233421375e-05
Position 3133: 2.309821875859294e-05
Position 13508: 2.281527879562459e-05
Position 1285: 2.0700262527300976e-05
Position 1372: 1.9881044655702833e-05
Position 2306: 1.8345186040419887e-05
Position 1166: 1.817391565569885e-05
Position 1985: 1.7871877977405197e-05
Position 14014: 1.724806786066354e-05
Position 3573: 1.7039446904098547e-05
Position 17837: 1.666550766171017e-05
Position 1124: 1.57867845002901e-05
Position 1184: 1.3268775819462688e-05
Position 550: 1.319900161477818e-05
Position 2055: 1.2272757803131666e-05
Position 580: 1.1264150757086828e-05
Position 3685: 1.0847996438279125e-05
Position 2188: 1.0431532137212242e-05
Position 3933: 1.0354951745155534e-05
Position 1494: 9.474659183322216e-06
Position 2801: 8.420210288503522e-06
Position 2059: 8.011453859314018e-06
Position 753: 7.777049267958566e-06
Position 1907: 6.606108029574295e-06
Position 15726: 6.294512147043229e-06
Position 238: 6.251790167771039e-06
Position 1210: 5.672024026228873e-06
Position 2304: 5.262331958797302e-06
Position 1320: 5.171689097657097e-06
Position 1595: 4.734107101090871e-06
Position 1791: 3.5836156149706595e-06
Position 557: 3.170183379819899e-06
Position 2390: 2.9493850759502505e-06
Position 1272: 2.6257526776276282e-06
Position 11160: 2.5920675874111527e-06
Position 463: 2.5582510926211388e-06
Position 1943: 2.0105727332812627e-06
Position 386: 1.918600863683794e-06
Position 173: 1.8920201909407042e-06
Position 2087: 1.8198224868258103e-06
Position 1197: 1.706980810648782e-06
Position 531: 1.5614111951454564e-06
Position 486: 1.354234821459052e-06
Position 2368: 1.324715088940227e-06
Position 123: 1.242392442087908e-06
Position 4982: 9.205386969056709e-07
Position 1058: 6.516010359609455e-07
Position 1491: 4.2435813800765876e-07
Position 1079: 3.1369684862912177e-07
Position 1140: 2.828879730546498e-07
Position 1258: 2.7987898128597923e-07
Position 536: 2.6708551459006213e-07
Position 1204: 2.610657188876265e-07
Position 3149: 2.5024965779185334e-07
Position 359: 2.481781599685437e-07
Position 526: 2.0634331890644678e-07
Position 389: 1.8321589047357277e-07
Position 4978: 1.1414361370109027e-07
Position 4729: 1.087122809798706e-07
Position 1038: 7.53236069309683e-08
Position 1043: 5.5399105615269125e-08
Position 929: 4.907010035060542e-08
Position 3901: 4.897320008117315e-08
Position 4629: 3.6013294229312605e-08
Position 468: 3.0664918908292796e-08
Position 915: 2.714602118961896e-08
Position 466: 2.2704956720836066e-08
Position 1030: 2.2379704370544738e-08
Position 448: 2.1164369018349813e-08
Position 777: 1.7931439750530386e-08
Position 782: 1.6913478530670202e-08
Position 870: 1.6135654863766648e-08
Position 714: 1.1902584438184391e-08
Position 1101: 1.0901384936890394e-08
Position 820: 1.0711041013134729e-08
Position 476: 7.457874112610035e-09
Position 1098: 6.680242055158401e-09
Position 1299: 6.60029521894354e-09
Position 1295: 5.5896714741825006e-09
Position 991: 5.560136870372074e-09
Position 814: 5.448044071983381e-09
Position 314: 4.958723443836756e-09
Position 1213: 4.553274732898654e-09
Position 1071: 4.387884301128846e-09
Position 1328: 3.0305218539965266e-09
Position 678: 2.83675846926712e-09
Position 480: 1.889328215196189e-09
Position 1302: 1.868084141603428e-09
Position 3707: 1.7830328259395286e-09
Position 1334: 1.7029022287817418e-09
Position 545: 1.682215477808541e-09
Position 1536: 6.70278645729694e-10
Position 707: 4.87806283746186e-10
Position 4228: 5.5970567043340884e-11
Position 1356: 4.14814381329185e-11
Position 588: 4.0117416877370656e-11
Position 667: 2.7546297430331714e-11
Position 658: 2.7100239755729373e-11
Position 428: 6.167306025780727e-12
Position 1501: 3.925485713772373e-12
Position 626: 3.1526498039419322e-12
Position 698: 2.828486018251485e-12
Position 632: 2.3387068901363374e-12
Position 786: 2.336773228304137e-12
Position 646: 1.747570502718857e-12
Position 761: 2.362892260900464e-16
Position 590: 1.268594737606126e-16
Position 395: 1.210399183990469e-16
