Gene = PARS2
Position 68: 0.0002252709115141935
Position 6293: 0.00013362289963890286
Position 6633: 0.00011625976882341732
Position 6300: 9.778297107255202e-05
Position 840: 6.95741328314572e-05
Position 3266: 5.565347647310391e-05
Position 421: 4.3655904504367694e-05
Position 182: 3.36876613202418e-05
Position 1053: 3.314094098470372e-05
Position 483: 3.163320713721594e-05
Position 4204: 2.5516476424946997e-05
Position 124: 2.2864721804678436e-05
Position 1997: 1.573627030324681e-05
Position 266: 1.3063870454739822e-05
Position 224: 1.10502394922609e-05
Position 21: 6.810933452454911e-06
Position 38: 6.323468311998681e-06
Position 636: 6.247309547254901e-06
Position 5913: 5.7241913063359856e-06
Position 278: 5.01664193360586e-06
Position 1107: 4.8221114290871155e-06
Position 850: 4.337400096847853e-06
Position 2287: 3.4711532280221703e-06
Position 2587: 3.4512738347846562e-06
Position 555: 3.163396544036656e-06
Position 457: 2.9043592492677217e-06
Position 409: 2.5578107522358435e-06
Position 399: 1.6512964958120057e-06
Position 402: 1.5849356112093603e-06
Position 242: 1.4623438235677567e-06
Position 487: 1.4343335004467135e-06
Position 24: 1.1601907430878455e-06
Position 604: 5.612417917617062e-07
Position 230: 4.4317447089316377e-07
Position 475: 4.3930565376609227e-07
Position 557: 4.189434129313496e-07
Position 307: 2.440724763645337e-07
Position 298: 1.2438100350774725e-07
Position 933: 1.224130362231772e-07
Position 367: 8.488359912751853e-08
Position 436: 5.224102957328682e-08
Position 232: 9.323592184166683e-09
Position 290: 3.7211584224863114e-09
Position 665: 1.272755024067762e-09
Position 281: 2.3847147858550283e-10
Position 155: 2.3003535154528154e-10
Position 910: 1.6057395058068029e-10
Position 468: 5.727834701207e-12
Position 239: 4.428556979357254e-12
Position 174: 2.1042277640405336e-12
Position 360: 2.125405058440049e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 6813: 0.8356586890033891
Position 5323: 0.5006172560900981
Position 6984: 0.4828331161175699
Position 5493: 0.379661459358845
Position 5532: 0.3013535016215276
Position 5435: 0.2460905096420463
Position 3920: 0.1707397983271951
Position 6547: 0.1391435113450268
Position 7488: 0.12018752124461879
Position 4812: 0.11231180981703535
Position 4961: 0.10843820135027678
Position 7187: 0.08793496622086293
Position 5346: 0.08593244257706435
Position 6614: 0.06843538510293871
Position 1179: 0.06000036989301284
Position 5097: 0.0513527672528492
Position 7221: 0.044641727523774474
Position 3017: 0.03804188736027466
Position 7115: 0.03408832116742773
Position 531: 0.029453232932493884
Position 478: 0.026289799903433237
Position 6182: 0.020263750665442597
Position 2539: 0.018179668574914806
Position 6001: 0.014153475066589826
Position 6486: 0.0137891646321705
Position 6412: 0.01183555880410945
Position 6424: 0.011617821238854329
Position 6790: 0.011305643446327212
Position 1120: 0.010873702045674687
Position 659: 0.009931982110214004
Position 7424: 0.009698842782238195
Position 256: 0.009621265655417374
Position 6590: 0.00922620889970523
Position 7135: 0.007948539155518004
Position 680: 0.007854753478843679
Position 2524: 0.007786644665094805
Position 4278: 0.007242350072664397
Position 5405: 0.005713709116472287
Position 5499: 0.005564780742179676
Position 6446: 0.005478583282723146
Position 5859: 0.005429314098864542
Position 7504: 0.005109258400286518
Position 587: 0.005055327673099496
Position 1034: 0.004843447698827266
Position 3847: 0.004547562149031972
Position 6324: 0.004349454192164183
Position 2716: 0.00392577839893072
Position 1330: 0.0032192733847909417
Position 6708: 0.0031784466441256167
Position 7032: 0.0031682690171309976
Position 6427: 0.003082608552606781
Position 3168: 0.0029833168614391324
Position 251: 0.002887586101064286
Position 7255: 0.0023708486053742863
Position 2674: 0.00233866353795278
Position 5652: 0.0022331315712431736
Position 699: 0.0021562255217067662
Position 6766: 0.0019409034567923875
Position 3113: 0.0017919033212556161
Position 483: 0.0017164327763895687
Position 5456: 0.0016883465849812573
Position 5862: 0.0016444413896874656
Position 7350: 0.0016311539341857457
Position 352: 0.0015013504520116636
Position 502: 0.0014872169615620886
Position 5186: 0.001484144770125223
Position 5649: 0.0014029391784002277
Position 7228: 0.0013777790706084908
Position 6081: 0.0013721289800445536
Position 7039: 0.0013683841391025665
Position 3855: 0.0013554219171620003
Position 3993: 0.0012568635228633067
Position 4517: 0.0010613316326202125
Position 1258: 0.0009954859035891583
Position 6959: 0.0009733089795404567
Position 6739: 0.0009623648034987944
Position 6489: 0.000962160944358071
Position 3902: 0.0008615908441752039
Position 5902: 0.0008409928617998493
Position 1084: 0.0007914412768542491
Position 288: 0.0007894572606550138
Position 5224: 0.0007753713754461381
Position 6466: 0.0007438439638277076
Position 5580: 0.0006927978487164169
Position 7602: 0.0006320447142169032
Position 973: 0.0006069807054607823
Position 6523: 0.0005341353141867369
Position 1183: 0.0005323680844874613
Position 1236: 0.00052278920331918
Position 6132: 0.0005094153851471493
Position 6874: 0.0005043724951470202
Position 6771: 0.0004902009422911953
Position 902: 0.0004592919223582748
Position 7460: 0.0004572593717311409
Position 5880: 0.00043353556479802836
Position 3822: 0.0003413496280210052
Position 182: 0.00032368707840953756
Position 2687: 0.000320930683200677
Position 4726: 0.00030915269999167675
Position 7312: 0.00030127139292013613
Position 5010: 0.00030067546432845083
Position 5002: 0.0002872502796398194
Position 1126: 0.0002760095558563114
Position 313: 0.00026869730730861007
Position 5877: 0.00024524585162884996
Position 6047: 0.00021612319983757976
Position 604: 0.00021405360385527356
Position 6240: 0.00018550041627186603
Position 3086: 0.0001849525289298729
Position 629: 0.00018028867142311233
Position 2542: 0.00017759228360127518
Position 1273: 0.00014467074537610232
Position 5123: 0.00014194040430318234
Position 2586: 0.00013753509841780482
Position 5961: 0.00012374067851238067
Position 298: 0.00011582990784955236
Position 1376: 0.00010913329565249366
Position 3925: 0.00010694736020540587
Position 4245: 0.00010490304448261362
Position 4281: 9.949948759005247e-05
Position 3145: 9.935051543876161e-05
Position 290: 8.090112818486282e-05
Position 1297: 6.0346897581826994e-05
Position 307: 5.968956065405025e-05
Position 373: 5.851293381436212e-05
Position 141: 5.2343599773083504e-05
Position 3174: 5.0695779673856816e-05
Position 6115: 5.0067743940933074e-05
Position 2846: 4.108218397164805e-05
Position 6696: 3.998666272671829e-05
Position 4381: 3.990262212952648e-05
Position 6003: 3.774811981949146e-05
Position 6015: 3.6212511883208236e-05
Position 1445: 3.4932895410976475e-05
Position 5815: 3.490811440403169e-05
Position 6087: 3.488325096804102e-05
Position 135: 3.4116808759074546e-05
Position 2477: 3.273009425434849e-05
Position 5599: 3.0381847818837253e-05
Position 737: 2.325911964248521e-05
Position 3064: 1.9503331034710067e-05
Position 1841: 1.7384599988673675e-05
Position 771: 1.5638674420663526e-05
Position 2808: 1.3487734321372468e-05
Position 3031: 1.0437526371463325e-05
Position 443: 9.347838859354156e-06
Position 2409: 9.073963224366546e-06
Position 1638: 7.069086709939574e-06
Position 323: 5.526499087486314e-06
Position 1820: 2.554849417928572e-06
Position 2108: 2.4287251517659397e-06
Position 1332: 1.5988465715622792e-06
Position 1777: 1.1196792170273278e-06
Position 2244: 1.1131427387491236e-06
Position 2440: 9.847987594524798e-07
Position 921: 9.530937901918012e-07
Position 1862: 9.474271905838433e-07
Position 571: 8.644985810086952e-07
Position 1891: 7.705731951156558e-07
Position 3689: 6.712443038067179e-07
Position 5459: 6.492336892907232e-07
Position 1941: 6.35701258527314e-07
Position 449: 5.218736973503595e-07
Position 1307: 4.718588756466563e-07
Position 5668: 3.5015219666715816e-07
Position 5559: 2.755458684751738e-07
Position 511: 2.701729292198055e-07
Position 640: 2.604414926533794e-07
Position 589: 2.139067900156518e-07
Position 348: 2.1371942170619543e-07
Position 776: 1.4005683811426198e-07
Position 382: 8.075948340350685e-08
Position 773: 6.990134462504135e-08
Position 751: 6.576254952876668e-08
Position 806: 6.144072711893351e-08
Position 1044: 1.7598170646000686e-08
Position 1056: 1.2286053303867192e-08
Position 395: 2.315724899110375e-09
Position 1053: 1.2067042519520605e-09
Position 760: 1.199208968296281e-09
Position 101: 8.291385544169532e-10
Position 196: 2.4879665520447946e-10
Position 407: 1.610861623619846e-10
Position 455: 9.181375099735836e-11
Position 718: 4.940180936842284e-11
Position 111: 4.3666883991726656e-11
Position 421: 4.04490408002862e-11
Position 426: 3.9444211906080404e-11
Position 399: 1.2043056292859001e-11
Position 432: 6.942394895267812e-12
Position 115: 1.2979711270548602e-12
Position 417: 9.55376597148741e-13
Position 85: 9.524267820108664e-13
