Gene = NUPR1L
Position 1512: 7.247331020238107e-05
Position 898: 7.122266462930922e-05
Position 1035: 6.752100540358428e-05
Position 1373: 6.600529873269563e-05
Position 1219: 6.246895876950121e-05
Position 831: 5.5832905887257606e-05
Position 1350: 5.459481557018705e-05
Position 813: 5.180413543323208e-05
Position 869: 4.852167186734814e-05
Position 415: 4.813086146962791e-05
Position 1028: 4.7052589221959076e-05
Position 546: 3.983809182196267e-05
Position 856: 2.9904492836340257e-05
Position 1564: 2.7931581487939865e-05
Position 834: 2.6384189485219243e-05
Position 325: 2.5355370405867986e-05
Position 307: 2.4343584029209817e-05
Position 554: 2.3478410447845113e-05
Position 1376: 2.1595213151489137e-05
Position 1703: 1.8182556327437832e-05
Position 292: 1.5354495636030236e-05
Position 228: 1.4004098633841515e-05
Position 1569: 1.386801316557943e-05
Position 1022: 1.2922141866129371e-05
Position 1301: 1.1474114988006468e-05
Position 298: 1.0847847038161204e-05
Position 675: 1.0583553369322373e-05
Position 1252: 8.885908393526873e-06
Position 697: 8.086019336853682e-06
Position 1209: 7.626870469847003e-06
Position 250: 5.984948643840508e-06
Position 1675: 5.603399040870662e-06
Position 785: 4.565037642941652e-06
Position 1686: 4.5414769928049126e-06
Position 1154: 3.3101377146469783e-06
Position 1357: 2.986054307309369e-06
Position 1389: 2.9241747549803623e-06
Position 1467: 2.8496977235903785e-06
Position 1430: 2.553466509912643e-06
Position 346: 2.4609635962846106e-06
Position 358: 2.352400607705437e-06
Position 1087: 2.347044458386102e-06
Position 1241: 2.2182932809698944e-06
Position 579: 1.9475895956595475e-06
Position 824: 1.912426545564207e-06
Position 582: 1.7216705141784484e-06
Position 160: 1.1726949472380535e-06
Position 909: 1.0848993171882412e-06
Position 310: 8.579935590224539e-07
Position 1712: 8.028859892216142e-07
Position 598: 6.6921331707278e-07
Position 1083: 6.385814384763638e-07
Position 1667: 5.562517240335138e-07
Position 873: 5.541524253360329e-07
Position 166: 4.881977669263916e-07
Position 163: 4.6668803346685186e-07
Position 340: 2.589453483467011e-07
Position 331: 2.2240454714841445e-07
Position 232: 1.9862441625802934e-07
Position 435: 8.625269384053087e-08
Position 589: 8.474359673586338e-08
Position 101: 5.3180176166529834e-08
Position 1049: 2.9975279758565656e-09
Position 1039: 9.385265920365774e-10
Position 380: 9.010113524224989e-10
Position 915: 2.2084953850574743e-10
Position 702: 6.362462563124139e-12
Position 103: 5.788539090378479e-12
Position 92: 3.41915195096732e-13
Position 705: 1.4461599265374393e-13
