Gene = SSNA1
Position 1240: 2.4963126723375667e-06
Position 1426: 2.1185604978613458e-06
Position 504: 2.077171973740651e-06
Position 520: 2.0535262228314005e-06
Position 525: 1.8837147718990886e-06
Position 471: 1.734685098433416e-06
Position 426: 1.4128012627319715e-06
Position 981: 1.2321940317706537e-06
Position 477: 1.0187551688789715e-06
Position 91: 9.756151919460722e-07
Position 356: 8.691558158182021e-07
Position 906: 7.787897951530178e-07
Position 281: 7.401666292742055e-07
Position 955: 5.646949852585044e-07
Position 447: 4.2060774518903084e-07
Position 761: 4.1722609823923013e-07
Position 240: 3.4325198019194904e-07
Position 486: 2.908922665549286e-07
Position 245: 2.520864136891079e-07
Position 489: 1.4325360437571013e-07
Position 474: 7.734291327033963e-08
Position 88: 6.590654127406106e-08
Position 429: 6.585876961993558e-08
Position 1248: 5.247464576201021e-08
Position 792: 5.195020754091091e-08
Position 1431: 4.911755912298181e-08
Position 522: 4.6851693527193677e-08
Position 130: 2.7040060588718605e-08
Position 144: 2.3735106162320134e-08
Position 106: 2.0388074529052267e-08
Position 173: 1.1028135215038117e-08
Position 450: 7.935077182646096e-09
Position 157: 5.152824064404545e-09
Position 889: 5.136033311173272e-09
Position 509: 4.591555385381308e-09
Position 665: 2.8923236402995956e-09
Position 624: 2.121631014525592e-09
Position 121: 7.141443080851754e-10
Position 136: 1.9340430977035056e-10
Position 483: 1.176198036113092e-10
Position 637: 9.890204241410571e-11
Position 165: 7.684051564121399e-11
Position 1170: 1.4165454648816546e-11
