Gene = ZC3HAV1L
Position 2438: 0.005036289330109019
Position 8899: 0.004680808785107989
Position 10221: 0.004545244481725539
Position 1065: 0.00448681804273326
Position 7757: 0.004370315386940929
Position 7203: 0.004331406184869235
Position 5066: 0.004196890436816338
Position 1012: 0.004022660900018901
Position 10089: 0.003979847010100415
Position 1462: 0.0038266999092279493
Position 6068: 0.0038123590213234807
Position 167: 0.0038075085469827597
Position 8085: 0.003679697284321283
Position 804: 0.003548404907910421
Position 8774: 0.0035349623289913264
Position 906: 0.00351990479058695
Position 7740: 0.003370894690097334
Position 9957: 0.0033247891716505474
Position 3156: 0.003170097707678194
Position 9644: 0.0029948552684627887
Position 1334: 0.002934612313606488
Position 2837: 0.002811133228346771
Position 7849: 0.0025297421635433665
Position 1214: 0.002452610361138529
Position 1664: 0.002396005447196202
Position 9855: 0.0023404602303079077
Position 7499: 0.0021592318540690617
Position 8379: 0.0021476243735763104
Position 7165: 0.0021146135275686576
Position 9664: 0.001998059569211758
Position 9595: 0.0019773821667809603
Position 607: 0.001790823572417295
Position 1484: 0.0017713282193319183
Position 585: 0.001618074905142418
Position 7090: 0.0015806333740850356
Position 9568: 0.0015306527335726512
Position 1276: 0.0014352886127668523
Position 9482: 0.0013965667061502111
Position 1105: 0.001321272285946396
Position 2411: 0.0012640912536165557
Position 5048: 0.0012390860412797155
Position 9787: 0.0010235738256203488
Position 7801: 0.0008898621886806509
Position 7941: 0.0008731876956649089
Position 9740: 0.0007061582662985859
Position 4906: 0.0006870121322323035
Position 807: 0.0006771175959298217
Position 9399: 0.0005957011051729194
Position 2988: 0.0005928425185102025
Position 2272: 0.0005920011956610784
Position 8355: 0.0005689551732416114
Position 2368: 0.0005267748693664069
Position 856: 0.0005105803826410018
Position 5751: 0.0004916012420818516
Position 4948: 0.0004779470497793717
Position 8838: 0.0004748377475134095
Position 1587: 0.0004733605816214585
Position 10239: 0.0004554265953776122
Position 311: 0.00045424312093633355
Position 7683: 0.00044394329974501107
Position 2526: 0.0004377296964503718
Position 2523: 0.00041285532151732487
Position 8549: 0.00038259055930148363
Position 9520: 0.00034442658135501415
Position 9168: 0.00032707921590245756
Position 1091: 0.000298005368237984
Position 8323: 0.0002830058799768359
Position 1441: 0.000271207087447844
Position 8173: 0.00025534276979278516
Position 5213: 0.00024075510486992185
Position 1770: 0.00023586295959704875
Position 8919: 0.000215493759883279
Position 9651: 0.0002092033677510243
Position 10132: 0.00016779950006326963
Position 863: 0.0001566761388821424
Position 2289: 0.00014499313336225356
Position 1617: 0.00014003323380049602
Position 137: 0.0001248350407814658
Position 10267: 0.00010356029395437532
Position 834: 9.713673354483867e-05
Position 2066: 9.2425438159729e-05
Position 7561: 8.991413304830555e-05
Position 441: 8.956664117436319e-05
Position 1701: 8.136345579086784e-05
Position 9978: 7.9515271982802e-05
Position 1070: 7.446678357853345e-05
Position 253: 5.5350570309774405e-05
Position 747: 5.3783692182619425e-05
Position 1789: 5.26828562573208e-05
Position 1669: 5.2494471784773645e-05
Position 9610: 5.133094693209201e-05
Position 1899: 4.961822395524392e-05
Position 562: 4.3768461104109856e-05
Position 1994: 4.236667197002484e-05
Position 9479: 4.2020137141029084e-05
Position 1991: 3.905406871859526e-05
Position 10115: 3.61417257265194e-05
Position 7045: 3.555352022337025e-05
Position 1775: 3.486564323022043e-05
Position 1978: 2.949717249797849e-05
Position 1975: 2.931641809623043e-05
Position 323: 2.7542350853616317e-05
Position 9068: 2.658170259545632e-05
Position 1810: 2.2716779475889078e-05
Position 9933: 2.1426830308338795e-05
Position 570: 2.1112882015510454e-05
Position 9995: 2.068070036932779e-05
Position 1971: 1.9389254044758944e-05
Position 3409: 1.8571364194891766e-05
Position 9605: 1.7885398039026787e-05
Position 10140: 1.779510478452748e-05
Position 9299: 1.5641536865220924e-05
Position 1062: 1.419968040985506e-05
Position 9487: 1.3846900841409905e-05
Position 612: 1.3715157341654206e-05
Position 2857: 1.266398838109896e-05
Position 1285: 1.214957701836598e-05
Position 1957: 1.1962139800840394e-05
Position 1600: 1.1796616204400738e-05
Position 8285: 1.0965326435332415e-05
Position 2625: 1.083094127484807e-05
Position 1807: 1.048971690545111e-05
Position 1756: 1.0246384421697776e-05
Position 2545: 9.85030520017019e-06
Position 2016: 8.826933824182557e-06
Position 3161: 8.681765230902885e-06
Position 305: 8.108035267248248e-06
Position 908: 7.817544118579566e-06
Position 845: 7.73593460424294e-06
Position 8065: 7.316233400035863e-06
Position 2488: 7.246720959348258e-06
Position 10314: 7.121559216461753e-06
Position 736: 5.110578348766333e-06
Position 118: 5.084048003550463e-06
Position 1410: 4.331635085251582e-06
Position 2026: 4.218439745923734e-06
Position 9123: 4.066714698787233e-06
Position 7519: 3.6770904352471096e-06
Position 1903: 3.6741299224507126e-06
Position 1076: 3.6424555657523905e-06
Position 1290: 3.021233133457109e-06
Position 713: 2.8783643653399817e-06
Position 1301: 2.7452596206851296e-06
Position 2138: 2.7214607109056863e-06
Position 8359: 2.6242518326261155e-06
Position 1737: 2.5062020112586746e-06
Position 203: 2.185480598097969e-06
Position 1959: 1.97264097222209e-06
Position 170: 1.7573908271345982e-06
Position 2292: 1.371995454395292e-06
Position 2632: 1.218744613467772e-06
Position 4446: 1.0891810072921524e-06
Position 356: 9.685272569250327e-07
Position 176: 7.26513030874586e-07
Position 1845: 7.159168451732725e-07
Position 447: 5.452992292073281e-07
Position 1812: 5.359746687541892e-07
Position 152: 4.1251159174985204e-07
Position 113: 2.3108509668886144e-07
Position 1486: 1.7671668268126147e-07
Position 384: 1.7086892644490947e-07
Position 209: 1.617670756122277e-07
Position 1133: 1.3431713167845848e-07
Position 457: 1.2528288634288149e-07
Position 683: 1.2384823996091995e-07
Position 182: 8.750667412530976e-08
Position 104: 2.085981000444981e-08
Position 185: 1.5450694910639092e-08
Position 2074: 1.3598438023752593e-08
Position 3244: 1.1954603782358388e-08
Position 3057: 5.638574338168528e-09
Position 2023: 4.489180060349253e-09
Position 1171: 1.1867092851013596e-09
Position 1752: 5.406624459978745e-10
Position 1650: 4.4138400943719557e-10
Position 381: 5.537753125290893e-11
Position 2105: 9.76353156598629e-12
