Gene = Nhej1
Position 6957: 0.022821650641223292
Position 11345: 0.02209623375210169
Position 10587: 0.02087786468934333
Position 4768: 0.020212510437013602
Position 5631: 0.01978913833824571
Position 14756: 0.01910393275981776
Position 2079: 0.014154480704017222
Position 11041: 0.013559781843168379
Position 2114: 0.013330886257659977
Position 9678: 0.012610648354847617
Position 4773: 0.012041995435708545
Position 1235: 0.010744256642284775
Position 10371: 0.010080409531683203
Position 8348: 0.009694898612315784
Position 1047: 0.009338503605017538
Position 8821: 0.00813103304211772
Position 11046: 0.007916341309596883
Position 6268: 0.007757050569148664
Position 7706: 0.0076434158646128065
Position 9899: 0.007542423634629864
Position 2819: 0.0069222085396724135
Position 7482: 0.006859910912522298
Position 11749: 0.006027708877401025
Position 2464: 0.005832224083673441
Position 7522: 0.005153752790965294
Position 1100: 0.004995752514455485
Position 1448: 0.004398042991657123
Position 2869: 0.00432897775278058
Position 1217: 0.004215391515234946
Position 8484: 0.0041126231937387925
Position 1552: 0.004018178955201351
Position 9126: 0.003903361532105078
Position 7098: 0.0036437305971444935
Position 1431: 0.0035609793983422708
Position 7655: 0.0035133861495166008
Position 7245: 0.0034221993671334594
Position 3041: 0.003322372148619655
Position 7774: 0.00312717483154778
Position 2924: 0.0027145499902504608
Position 4796: 0.0026633044375899925
Position 6491: 0.0025909065463844178
Position 4874: 0.0025590552174496687
Position 3281: 0.0024843527797482876
Position 7826: 0.0021604916485577137
Position 1673: 0.0020542827726830267
Position 4900: 0.0020150577534201416
Position 7176: 0.002000653958384635
Position 1152: 0.001962201521411865
Position 5104: 0.0019302812923433952
Position 1193: 0.0015101025512863633
Position 470: 0.0014225149778542207
Position 2277: 0.0014217174135204794
Position 1574: 0.0012935512532432343
Position 1375: 0.0012910432638988023
Position 7470: 0.0011943014335088504
Position 3742: 0.001137157202969505
Position 4895: 0.0011345788538781594
Position 3295: 0.0011269540583586487
Position 921: 0.0010685743612921944
Position 1169: 0.0010652177381418383
Position 1318: 0.0010502924430610403
Position 5821: 0.0010247678579892836
Position 1848: 0.0009962463525957138
Position 8908: 0.0009317764813525579
Position 292: 0.0009297337287801945
Position 4236: 0.0008400401739312782
Position 2789: 0.0007456173980368199
Position 1834: 0.0007377704182714967
Position 4829: 0.0007302121293185529
Position 5742: 0.0006710926261442266
Position 5435: 0.0006679090384347733
Position 7307: 0.000657571680354609
Position 2624: 0.0006553893110930805
Position 6990: 0.000637449472385211
Position 1462: 0.00061735723094282
Position 1145: 0.0006000137214361816
Position 4822: 0.000536777315976538
Position 4173: 0.0005282341448727815
Position 2526: 0.0005132626214197235
Position 5978: 0.0004898021895613938
Position 2687: 0.00044424764890368235
Position 6239: 0.0004289141534918908
Position 6094: 0.0004204931649693187
Position 211: 0.00040262192402277445
Position 2222: 0.0003991052866002875
Position 3319: 0.00039878202208824755
Position 3249: 0.0003967448795099347
Position 2047: 0.00036487490444215724
Position 1478: 0.0003382420571091537
Position 5005: 0.00033101074523304706
Position 888: 0.00032412239418159116
Position 2747: 0.00032279603263003396
Position 5937: 0.000302927010205711
Position 839: 0.0003000302096026227
Position 3350: 0.00028778707238241036
Position 3573: 0.0002869593858456302
Position 1224: 0.00025827328335860177
Position 2140: 0.0002502223489848665
Position 1060: 0.0002485942642885493
Position 2871: 0.00024752142551266677
Position 2265: 0.00020968923010409606
Position 4985: 0.00020107899269420965
Position 3043: 0.00019488510739850367
Position 3695: 0.00018837783430403064
Position 3692: 0.00018398955482976684
Position 2995: 0.0001799721089935037
Position 262: 0.00015361096330467985
Position 3648: 0.00013761224632408224
Position 1493: 0.00012954647858908077
Position 1006: 0.000124017987818202
Position 5688: 0.00012106736762232977
Position 1012: 0.00012104017263354917
Position 1743: 0.00011887898544372927
Position 1855: 9.266638546711071e-05
Position 5073: 9.131478804636872e-05
Position 3218: 8.372187426048918e-05
Position 2329: 8.338487743530733e-05
Position 2026: 7.947025469749065e-05
Position 1584: 7.89017480638582e-05
Position 3324: 7.889328873264797e-05
Position 1472: 6.99774712290372e-05
Position 1823: 6.547148631644817e-05
Position 2603: 6.510232714964544e-05
Position 791: 5.944667109135664e-05
Position 925: 5.414489662746642e-05
Position 1820: 4.766022960959967e-05
Position 474: 4.510025766016364e-05
Position 231: 4.494089505569672e-05
Position 333: 4.372296930507963e-05
Position 387: 4.212086755358315e-05
Position 743: 4.1633993309351654e-05
Position 3194: 3.789297749216584e-05
Position 695: 3.622188492625844e-05
Position 4880: 3.6066623053083874e-05
Position 552: 3.53660998063279e-05
Position 600: 3.258237122070118e-05
Position 894: 3.13149008069306e-05
Position 648: 2.9286913659747696e-05
Position 981: 2.5882453127972668e-05
Position 505: 2.3615306599443174e-05
Position 249: 1.7466138969592068e-05
Position 320: 1.6320635670739756e-05
Position 487: 1.4990667856229043e-05
Position 1488: 5.234164231168521e-06
Position 4282: 4.61727526450423e-06
Position 4862: 3.5976072222614543e-06
Position 910: 3.2454595975745547e-06
Position 1499: 2.9210212958377714e-06
Position 905: 2.912573939876679e-06
Position 1984: 2.02387890160503e-06
Position 1490: 1.0667362026231961e-06
Position 1328: 9.174510441892029e-07
Position 2122: 8.799189660854527e-07
Position 225: 7.32286997019125e-07
Position 1282: 6.248983769572327e-07
Position 1286: 5.968145647241567e-07
Position 948: 3.769170229657504e-07
Position 1288: 2.6871210357722133e-07
Position 2174: 2.45762964164703e-07
Position 1062: 2.332439062801843e-07
Position 1928: 2.2732533597552864e-07
Position 242: 1.206652524574694e-07
Position 1020: 9.693640652067725e-08
Position 1298: 8.634641849627268e-08
Position 983: 8.47327838796189e-08
Position 933: 7.47143487304777e-08
Position 1506: 5.8069059516332284e-08
Position 937: 5.219633108539075e-08
Position 988: 3.508722008271872e-08
Position 303: 2.9274507025416647e-08
Position 1891: 2.647592600507799e-08
Position 1334: 1.8407080293705425e-08
Position 339: 9.286011768020805e-09
Position 156: 6.926134505877093e-12
Position 347: 3.50807696709202e-14
Position 104: 3.353423835118507e-14
Position 365: 1.0337252914329295e-14
Position 341: 9.73289719400803e-15
