Gene = Psenen
Position 562: 0.00010325400755507233
Position 1258: 0.00010126975696741235
Position 1074: 8.407580715926843e-05
Position 753: 6.949272954809781e-05
Position 632: 6.0841251860428125e-05
Position 956: 5.805050343171176e-05
Position 743: 5.1483916041316696e-05
Position 259: 4.721187301067575e-05
Position 584: 4.474818091071727e-05
Position 1325: 4.341631558444795e-05
Position 663: 3.39762805036406e-05
Position 705: 3.2199207149842616e-05
Position 1001: 3.204965171924556e-05
Position 573: 3.0277536294962352e-05
Position 159: 3.02568266887626e-05
Position 577: 2.9576073690111467e-05
Position 983: 2.956261586235178e-05
Position 1065: 2.5420452572792787e-05
Position 896: 2.036850782009121e-05
Position 960: 1.629630973351515e-05
Position 656: 1.399996829098632e-05
Position 928: 1.2512611768162916e-05
Position 625: 1.2150923107095731e-05
Position 510: 1.1453016340303434e-05
Position 396: 9.25555754314015e-06
Position 764: 7.701614166989683e-06
Position 714: 6.66225674739858e-06
Position 1025: 6.5479455372739465e-06
Position 670: 6.076478719134151e-06
Position 591: 5.7094986370101874e-06
Position 901: 3.930779904537654e-06
Position 600: 3.752181227367258e-06
Position 636: 3.4703127783528265e-06
Position 512: 3.3262357673840234e-06
Position 219: 2.944562313247295e-06
Position 759: 2.9013497978332917e-06
Position 167: 2.3438667966851035e-06
Position 994: 2.025325366073248e-06
Position 417: 2.008518876692389e-06
Position 659: 2.0015357665315248e-06
Position 1012: 1.60868576279537e-06
Position 936: 1.3307996599892987e-06
Position 480: 1.2571647026738506e-06
Position 522: 1.0528565756608628e-06
Position 914: 9.578469660209258e-07
Position 588: 8.658261373110021e-07
Position 677: 8.344662295338017e-07
Position 435: 7.461702564363446e-07
Position 898: 7.16278565451025e-07
Position 570: 6.794465877506402e-07
Position 642: 6.134529116025167e-07
Position 464: 5.880629405735812e-07
Position 675: 5.068206211079903e-07
Position 903: 3.0566563877981746e-07
Position 89: 1.620186758028521e-07
Position 92: 1.504818469397637e-07
Position 411: 1.357043274905356e-07
Position 171: 1.3049458017778342e-07
Position 106: 1.054799247868687e-07
Position 769: 8.999983222449267e-08
Position 95: 8.750775522785401e-08
Position 729: 8.325321317773388e-08
Position 248: 7.598920613459978e-08
Position 223: 4.528899496747189e-08
Position 414: 3.318209585591877e-08
Position 174: 3.0490840196547054e-08
Position 201: 1.7036697040763836e-08
Position 450: 5.643563375371102e-09
Position 489: 5.5164995168565595e-09
Position 199: 4.7484632750242444e-09
Position 495: 3.093140002252467e-09
Position 76: 1.6175435494790241e-09
Position 227: 3.1390935267387953e-10
Position 194: 2.809665917962534e-10
Position 727: 1.7974596166513455e-10
Position 505: 9.718788967612007e-12
Position 482: 1.7270115000315086e-12
Position 497: 9.943916165315376e-16
