Gene = Daw1
Position 1154: 0.0002092009935626966
Position 698: 0.00019587390747525025
Position 2171: 0.0001807415712024035
Position 2258: 0.00017842336210402746
Position 2492: 0.0001721565328239468
Position 2657: 0.00016594854767951024
Position 4057: 0.00016039103735229247
Position 1549: 0.0001549644538712142
Position 1732: 0.00013603809334314685
Position 1419: 0.00011974905454610266
Position 1112: 0.00010925163123082755
Position 268: 8.720065443085039e-05
Position 975: 7.304663769785141e-05
Position 1238: 7.272268908666488e-05
Position 1324: 6.992548181067498e-05
Position 504: 5.59767699845434e-05
Position 750: 5.349141431040035e-05
Position 326: 4.4604177416043996e-05
Position 457: 4.0789443432052835e-05
Position 984: 3.764207890482997e-05
Position 2254: 3.4980595377697624e-05
Position 3274: 3.262450810620979e-05
Position 423: 1.4111318397210021e-05
Position 2305: 1.3198928500853265e-05
Position 318: 1.2654302370636256e-05
Position 2068: 9.215374555403241e-06
Position 785: 6.237367063016229e-06
Position 700: 5.713961449979162e-06
Position 571: 5.576956480444758e-06
Position 993: 5.491718371539627e-06
Position 311: 4.991393802611972e-06
Position 725: 4.571446114053131e-06
Position 264: 4.223145189212802e-06
Position 339: 4.06016422024353e-06
Position 436: 3.8139639270279474e-06
Position 2143: 3.0153036899161024e-06
Position 332: 2.2091971553438483e-06
Position 658: 2.128850999530087e-06
Position 1706: 1.1274729239162526e-06
Position 633: 9.094506777009094e-07
Position 605: 7.528244584838551e-07
Position 161: 6.717272779385118e-07
Position 305: 6.536286262041736e-07
Position 2009: 3.94920015252725e-07
Position 181: 3.2584562443035555e-07
Position 741: 3.254648375326783e-07
Position 1670: 2.635634282708722e-07
Position 314: 1.9555347882197932e-07
Position 150: 1.4757822562927033e-07
Position 673: 7.705602578270954e-08
Position 630: 2.5568122656130303e-08
Position 138: 2.112382972841948e-08
Position 185: 1.7822860097642926e-08
Position 195: 1.6318130837542733e-08
Position 1067: 2.1921949487704903e-09
Position 1390: 2.1011701001236285e-09
Position 187: 5.035741729043488e-11
Position 147: 2.405964972502415e-11
Position 134: 4.164262974774869e-12
Position 115: 2.8950071305580484e-12
