Gene = ecd
Position 703: 5.942013640733013e-09
Position 73: 4.285201527007256e-09
Position 101: 4.0060797803319415e-09
Position 330: 3.86605320295719e-09
Position 1609: 3.7095734079144826e-09
Position 2047: 3.2420689045853556e-09
Position 64: 2.5932241590138016e-09
Position 1573: 2.2291999046774355e-09
Position 1453: 2.053415272218281e-09
Position 315: 2.017495540431937e-09
Position 1405: 1.2440166732456523e-09
Position 123: 1.2154595606007492e-09
Position 2228: 1.0323174837077254e-09
Position 2170: 5.563409616781808e-10
Position 90: 2.410408456287205e-10
Position 2197: 1.8618837900192018e-10
Position 1852: 1.0150135091600256e-10
Position 80: 8.706310631530742e-11
Position 1836: 7.936648456507183e-11
Position 126: 3.303242044756511e-11
Position 1239: 2.6429256723710906e-11
Position 2017: 1.0309550854743844e-11
Position 67: 4.737839148257504e-12
Position 1866: 1.938689674537612e-12
Position 333: 1.8474532100073704e-12
Position 111: 1.732020235866009e-12
Position 252: 8.697598140468979e-13
Position 1627: 4.654304428694547e-13
Position 86: 2.2076481562476502e-13
Position 138: 1.4842563149713203e-13
