Gene = mTTF
Position 359: 1.953286141712417e-06
Position 94: 1.8003120604997472e-06
Position 1497: 1.6601836322632262e-06
Position 245: 1.1393975778903759e-06
Position 773: 7.615840420165234e-07
Position 91: 7.367105461143327e-07
Position 223: 5.421471424672762e-07
Position 567: 3.6721341566776596e-07
Position 1365: 3.433717126080395e-07
Position 208: 3.187173969805691e-07
Position 448: 2.8047628183371266e-07
Position 211: 2.7225686468543313e-07
Position 374: 2.3361118558508051e-07
Position 1472: 1.7617956911307872e-07
Position 1481: 1.1654372362866055e-07
Position 435: 1.0857779800459852e-07
Position 1307: 8.011940186449385e-08
Position 1378: 6.229769004089341e-08
Position 202: 6.172743824635533e-08
Position 445: 4.844246394582377e-08
Position 1137: 4.442453414832759e-08
Position 284: 3.2435779393127035e-08
Position 681: 1.61195238118895e-08
Position 972: 6.467259114105778e-09
Position 493: 4.493380475138929e-09
Position 1142: 1.5040751172850497e-09
Position 1369: 3.8315125372599226e-10
Position 755: 2.7985537299889824e-10
Position 464: 1.9649103969545988e-10
Position 1129: 1.1675030182405e-10
Position 497: 8.504924646350152e-11
Position 437: 4.322592985091037e-11
Position 683: 1.11266395903111e-11
Position 1029: 1.0054577615774602e-11
