Gene = Prp3
Position 554: 9.401859705318605e-09
Position 591: 8.660567664809919e-09
Position 340: 7.993147938282177e-09
Position 1410: 7.912572334580726e-09
Position 1380: 7.48096624415506e-09
Position 1597: 7.126879034415743e-09
Position 1560: 5.369853168601842e-09
Position 448: 4.139688641197715e-09
Position 437: 3.3542120339024337e-09
Position 1528: 3.318214085942121e-09
Position 1884: 1.8784714301042086e-09
Position 669: 1.7450209307268883e-09
Position 1658: 1.269422228811193e-09
Position 1677: 9.782745321870284e-10
Position 2035: 3.838185216322338e-10
Position 1575: 3.1969978170462805e-10
Position 567: 1.9414201931213365e-10
Position 719: 5.462261316827164e-11
Position 1356: 4.139719288128971e-11
Position 1639: 1.9510788242417843e-11
Position 345: 1.4451395792562385e-11
Position 1592: 3.10258490008851e-12
Position 1902: 2.8179371997110438e-12
Position 1568: 2.8106642803118055e-17
