Gene = Mrtf
Position 1165: 2.8198810743769715e-11
Position 2054: 3.705483281099946e-12
Position 1224: 6.719856619441096e-13
Position 788: 5.629820764850302e-13
Position 1031: 4.2846305285025075e-13
Position 1305: 2.4623038035250744e-13
Position 552: 2.0180497135581757e-13
Position 581: 1.6874845019792886e-13
Position 563: 1.484263627834396e-13
Position 809: 1.1818042659833834e-13
Position 738: 9.833313312605865e-14
Position 1222: 9.443273852549643e-14
Position 546: 7.16935511669588e-14
Position 512: 6.90818598674194e-14
Position 845: 5.4721483290212086e-14
Position 840: 5.2511674810280375e-14
Position 1006: 9.470996017104603e-16
Position 741: 6.747537089523583e-16
Position 531: 9.999450809757523e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 17913: 0.9432513617982567
Position 464: 0.38969314515687514
Position 14450: 0.2499226264764478
Position 17461: 0.02671159871370824
Position 14626: 0.016252333306677136
Position 14893: 0.014616957451387816
Position 14586: 0.004290191183818792
Position 738: 0.0024172317908764227
Position 468: 0.0014160173376329918
Position 771: 0.0012131954941725408
Position 405: 0.0008045543768891556
Position 12639: 0.0002017707014335144
Position 759: 0.00019453534051782376
Position 12686: 8.474008971132885e-05
Position 8286: 2.053381371896474e-05
Position 10223: 1.732710561655078e-05
Position 10220: 9.59899562950231e-06
Position 10930: 9.293477834473795e-06
Position 10995: 9.232890370969904e-06
Position 9287: 7.558505641034288e-06
Position 9582: 5.355743308177733e-06
Position 7706: 3.3030791487436944e-06
Position 8897: 2.4918855499648686e-06
Position 8363: 2.156374598009656e-06
Position 7359: 1.6564911573900116e-06
Position 7436: 1.625900822699923e-06
Position 8717: 1.504240127983642e-06
Position 6413: 7.527389366007546e-07
Position 7718: 6.903281499396937e-07
Position 6917: 6.105939893834422e-07
Position 7674: 5.558303774112538e-07
Position 7011: 5.422409585165295e-07
Position 1759: 5.076276406659813e-07
Position 4759: 4.5293252049588464e-07
Position 7161: 3.013482758585165e-07
Position 3795: 2.637115820722819e-07
Position 2591: 2.320017290722181e-07
Position 6264: 2.2660671379031655e-07
Position 8001: 2.0399520716774016e-07
Position 1041: 2.006632505866705e-07
Position 7822: 1.6578259072655235e-07
Position 6321: 1.468077508959821e-07
Position 3028: 1.4172728465263712e-07
Position 1206: 1.0603834761097012e-07
Position 1292: 9.187253996529373e-08
Position 1638: 8.483290883190305e-08
Position 4684: 8.292590602104917e-08
Position 4728: 5.026110961637989e-08
Position 6637: 4.920695530985143e-08
Position 4389: 3.867199275364474e-08
Position 3202: 3.547525321135404e-08
Position 6513: 3.445985801086346e-08
Position 2636: 3.0399004346438104e-08
Position 3756: 2.6918358019093424e-08
Position 2666: 2.5460663283127176e-08
Position 2312: 2.4234499990249484e-08
Position 4962: 1.6749009145644774e-08
Position 2123: 1.449132415498454e-08
Position 3920: 1.4341277925091846e-08
Position 1726: 1.0509818753686736e-08
Position 2217: 7.693333717840753e-09
Position 1493: 5.021014609247087e-09
Position 3770: 3.734580788284459e-09
Position 2554: 1.6893555122418918e-09
Position 992: 1.5871302835219662e-09
Position 1365: 6.575281021288905e-10
Position 1550: 5.928058145722564e-10
Position 470: 4.3272569522861563e-10
Position 1472: 3.6390571405281345e-10
Position 79: 2.527431577173829e-10
Position 692: 1.7185058472922553e-10
Position 345: 1.4870569503360522e-10
Position 840: 1.0389271024032693e-10
Position 999: 8.093171606998423e-11
Position 340: 6.75397377106997e-11
Position 682: 6.441120801816402e-11
Position 997: 5.3852345260215456e-11
Position 1305: 4.6509241756374e-11
Position 699: 1.4534365657232178e-11
Position 173: 7.591513156037684e-12
Position 1004: 5.7431419217349925e-12
Position 119: 3.993637333338952e-12
Position 176: 3.4909853153884626e-12
Position 954: 2.8445744963698937e-12
Position 206: 2.638939458420161e-12
Position 855: 1.1469313529001076e-12
Position 479: 6.193320935505163e-13
Position 364: 6.361718827397014e-14
Position 264: 4.5389414413397844e-14
Position 213: 2.59152935560944e-14
Position 182: 2.244401501156456e-14
Position 328: 1.9805356919683153e-15
Position 904: 1.80862098761073e-15
Position 862: 1.7740082536994554e-15
Position 597: 1.7156798628925513e-15
Position 278: 2.4371675381990282e-17
