Gene = TrissinR
Position 141: 5.510228768723486e-05
Position 153: 5.429876543379562e-05
Position 879: 4.5602786218109356e-05
Position 1090: 4.363532225766474e-05
Position 3800: 3.575480852862116e-05
Position 989: 3.3734046544721845e-05
Position 144: 2.6526773220517887e-05
Position 288: 2.631096197987794e-05
Position 507: 2.325562414469089e-05
Position 308: 2.2375708221509224e-05
Position 27701: 2.1594033105195628e-05
Position 27707: 2.060297207998127e-05
Position 1670: 1.9524992507243653e-05
Position 849: 1.9253213298007915e-05
Position 27704: 1.7027968853934497e-05
Position 540: 1.6605633414378604e-05
Position 1684: 1.5237139471162125e-05
Position 868: 1.4239931135552123e-05
Position 786: 1.3785054064488676e-05
Position 767: 1.3151831799301353e-05
Position 115: 1.1420876622398294e-05
Position 29249: 1.0900944713936373e-05
Position 538: 1.0043728852522842e-05
Position 1078: 9.748259004189266e-06
Position 2466: 8.265044350262315e-06
Position 291: 6.642508176753298e-06
Position 281: 6.572317517178904e-06
Position 5: 6.2830118783992624e-06
Position 688: 5.985658884542681e-06
Position 213: 5.153133865825956e-06
Position 894: 4.616195555883933e-06
Position 1901: 2.7673143712730664e-06
Position 247: 2.5890060520878136e-06
Position 1738: 5.712532355725559e-07
Position 1486: 2.73680718522425e-07
Position 1187: 2.7223543470751854e-07
Position 1420: 2.409250109970246e-07
Position 1627: 1.6756605826217862e-07
Position 1653: 1.327157805692118e-07
Position 147: 3.000454346216174e-08
Position 1516: 5.202912399176125e-09
Position 109: 8.663101033620955e-10
Position 13: 1.7807469903965593e-10
Position 1367: 3.909992347424363e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27471: 0.9926073465110741
Position 28988: 0.9884332173568695
Position 21300: 0.9557650969988443
Position 26095: 0.9555206022988286
Position 24337: 0.9471553153856269
Position 32399: 0.9452632249139379
Position 32094: 0.8502181915036916
Position 26826: 0.6589375113713694
Position 10219: 0.647611484714693
Position 29342: 0.4888693420606575
Position 28091: 0.2863080699595527
Position 21696: 0.23010146689149397
Position 26888: 0.21200187482116786
Position 783: 0.11476124824214362
Position 8077: 0.11015643856329034
Position 28701: 0.09839052646201617
Position 32205: 0.09086084744670847
Position 26502: 0.08556399997780387
Position 27645: 0.08272340266541743
Position 28740: 0.07120934302712166
Position 31327: 0.06454417458961567
Position 7705: 0.04405047285796004
Position 28424: 0.032615434849707255
Position 32705: 0.029439733259498887
Position 9215: 0.02892965790960072
Position 9203: 0.028426769339517436
Position 26916: 0.02717347989575538
Position 7717: 0.027171030575642324
Position 26467: 0.02542275817665804
Position 25504: 0.02383292621997696
Position 6853: 0.023464495611703974
Position 8324: 0.023384106532411
Position 7701: 0.02204221146896985
Position 32366: 0.020854335339009596
Position 29645: 0.018928075012823262
Position 9342: 0.01880274297676139
Position 1141: 0.018379614153506783
Position 26860: 0.016178822732442935
Position 27090: 0.01548438929202017
Position 28159: 0.015117380712150586
Position 26780: 0.013821098694633624
Position 9025: 0.011872874941231954
Position 7466: 0.011528612202629863
Position 28630: 0.011223020419701888
Position 32378: 0.011074058252216348
Position 8557: 0.010842421179857533
Position 23574: 0.010648449690561291
Position 31371: 0.01048387605135769
Position 28169: 0.010280137841277018
Position 28879: 0.009538016166371337
Position 7864: 0.009357873209507461
Position 7663: 0.009191314502450091
Position 28037: 0.009173061319243205
Position 30255: 0.008856607975860322
Position 1104: 0.008594870517650784
Position 27946: 0.008574904453745627
Position 26450: 0.008508635065614573
Position 3842: 0.008379297798002294
Position 27900: 0.008359658008187863
Position 8098: 0.00832436782258291
Position 27777: 0.006372271433806188
Position 7391: 0.00536397844062181
Position 32444: 0.005172213103867955
Position 920: 0.005112649935027943
Position 213: 0.004925053799767671
Position 30494: 0.004914488202806063
Position 32543: 0.004621479214470175
Position 30707: 0.00459725705591208
Position 548: 0.004307020333126701
Position 26877: 0.004233999960770036
Position 29944: 0.004173660069391849
Position 786: 0.004005023896295894
Position 28141: 0.003891558777761714
Position 26577: 0.003851657177274919
Position 27654: 0.0035721023887788006
Position 8003: 0.0035633456223001557
Position 27679: 0.0034693175820727
Position 28121: 0.003386378480908157
Position 25896: 0.003350994717924565
Position 25709: 0.0029284168064175053
Position 30201: 0.002910238281486057
Position 28381: 0.0028907558697892446
Position 24792: 0.0028578592273889015
Position 9527: 0.0027638754386640307
Position 29020: 0.0024033944141722725
Position 861: 0.0022136351311952346
Position 288: 0.002103731176537347
Position 29868: 0.002077161344077461
Position 32569: 0.001799621797742722
Position 31401: 0.001794158154291155
Position 32676: 0.0017756803272090194
Position 1131: 0.0017421119941857523
Position 30425: 0.0016932454490128045
Position 2138: 0.0016620209528426977
Position 2077: 0.0014918304455044085
Position 29611: 0.0014473567105845234
Position 29930: 0.001282107805951574
Position 1061: 0.0012729068056367718
Position 32723: 0.0012148318767871132
Position 25322: 0.0012136582283062266
Position 31816: 0.0011750072790409328
Position 26638: 0.0011720772912632304
Position 28517: 0.0011531330570837839
Position 27749: 0.0010998087795169346
Position 29671: 0.001008187630058695
Position 29889: 0.0009254432255522791
Position 28378: 0.0009136769467906892
Position 28452: 0.0009075447338242338
Position 30211: 0.000842380340497132
Position 30838: 0.0008065556476024989
Position 26737: 0.0007846344798419379
Position 27121: 0.0007082590243076382
Position 538: 0.0006857693237404725
Position 32698: 0.0006819351552250411
Position 29354: 0.0006373523960709604
Position 971: 0.0006208866299644273
Position 26521: 0.0006182007699704943
Position 28575: 0.0005958188785760736
Position 31655: 0.0005938428418303485
Position 30624: 0.0005452564836607739
Position 1218: 0.0005271412771545662
Position 27509: 0.0004960672363712664
Position 26473: 0.0004949187229180397
Position 413: 0.0004942419740416821
Position 26405: 0.00043876058857243965
Position 29463: 0.0004008635520555123
Position 1328: 0.00039040353344233923
Position 32711: 0.0003881802073847283
Position 299: 0.000381375803961916
Position 1782: 0.0003743207753100042
Position 29924: 0.00037396894932974244
Position 1727: 0.0003232087855880331
Position 30224: 0.0002501165475152612
Position 28953: 0.0002357804059157601
Position 3350: 0.00022860600475551959
Position 32752: 0.0002084704249255207
Position 1559: 0.0001706023643447933
Position 1078: 0.0001513073558267949
Position 2218: 0.00013584878434689165
Position 1031: 0.00013419531858827727
Position 1314: 0.00010122954151101718
Position 30090: 9.735955853247754e-05
Position 1245: 8.934160980059176e-05
Position 30450: 4.621289628161811e-05
Position 27242: 2.803779711207305e-05
Position 27752: 2.285469811122581e-05
Position 27200: 2.058591705619736e-05
Position 1193: 2.0562107681035862e-05
Position 30573: 1.975663257254908e-05
Position 27540: 1.668547919723598e-05
Position 1543: 1.0507948981712624e-05
Position 3639: 9.914949534478887e-06
Position 3035: 8.016534089391978e-06
Position 27131: 7.779406132476031e-06
Position 3613: 5.959459224475243e-06
Position 27482: 5.705247013513181e-06
Position 237: 5.4893147573860685e-06
Position 29690: 3.6532546897033907e-06
Position 29975: 3.4091800113085105e-06
Position 178: 2.579867815679078e-06
Position 32441: 2.352041868955275e-06
Position 2242: 2.3111994450450863e-06
Position 29950: 2.230765684260429e-06
Position 1827: 1.6574409424447796e-06
Position 257: 1.573137437354e-06
Position 29527: 1.3416497576833995e-06
Position 729: 9.156647699926363e-07
Position 901: 8.870312669626983e-07
Position 1373: 7.672545015405571e-07
Position 672: 5.896472304391974e-07
Position 1215: 4.711818989559206e-07
Position 2061: 3.065407161751175e-07
Position 219: 2.077450781350089e-07
Position 274: 1.943070988021079e-07
Position 126: 1.4959003757040155e-07
Position 29423: 1.4566277167949268e-07
Position 181: 1.4379676244912653e-07
Position 153: 4.349844286737564e-08
Position 941: 7.802826956160471e-09
Position 1015: 5.674513643467758e-09
Position 948: 4.859009660430837e-09
Position 247: 1.2850954958871733e-09
Position 263: 2.5604311248129237e-10
