Gene = mTTF
Position 245: 1.0875800191376748e-06
Position 1497: 9.160535913329825e-07
Position 773: 7.191785848877743e-07
Position 91: 7.07876851822817e-07
Position 223: 5.964622326562872e-07
Position 567: 3.605813830617186e-07
Position 208: 3.1464270664739907e-07
Position 211: 2.7965123329750044e-07
Position 448: 2.7830976594045137e-07
Position 374: 2.2299565075769712e-07
Position 435: 9.70123830345369e-08
Position 202: 6.109064369910935e-08
Position 445: 4.820513419282025e-08
Position 284: 3.2185996211365994e-08
Position 493: 1.1118200221048015e-09
Position 464: 1.8969526687933732e-10
Position 681: 1.4364999511905906e-11
