Gene = Fas3
Position 2743: 8.738300565538665e-14
Position 1833: 3.8534177934668616e-14
Position 1621: 7.711292609819501e-15
Position 2113: 6.817140589837003e-15
Position 1303: 1.0108750515394627e-15
Position 1444: 4.662202466466875e-16
Position 1321: 4.435730694825694e-16
Position 1324: 2.3726232506036206e-17
Position 59: 2.4611592423879475e-18
Position 207: 1.8374107122971593e-18
Position 217: 1.6751950157636363e-18
Position 122: 1.5014262780935652e-18
Position 348: 7.455846891315707e-19
Position 598: 4.37710720995092e-19
Position 20: 2.610260029706391e-19
Position 33: 2.855315674988044e-20
Position 6: 2.4400246991143408e-20
Position 74: 1.6168694929478574e-20
Position 120: 2.9621376938599605e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 23040: 0.9998821829198764
Position 976: 0.20155140340230335
Position 13282: 0.04922964903717961
Position 14164: 0.04401509450957089
Position 937: 0.01170264018341568
Position 704: 0.006900918603152669
Position 996: 0.0032389287721173664
Position 1063: 0.0028788942886784834
Position 845: 0.002552752719533145
Position 743: 0.0017476907427623682
Position 767: 0.0013924623547827656
Position 798: 0.0012759785255632707
Position 628: 0.0008413751336726956
Position 1089: 0.0007033287651341615
Position 616: 0.0003857220285204328
Position 732: 0.00029593636570820337
Position 1036: 0.0002627883091641994
Position 283: 0.00016507215926003238
Position 370: 0.0001327556618653094
Position 15571: 5.3573317061919156e-05
Position 13641: 6.55068397417925e-06
Position 14476: 2.3493773039816903e-06
Position 13681: 6.583631076388184e-07
Position 2209: 4.0980953105960167e-07
Position 11349: 3.023485581967678e-07
Position 11024: 2.6191822095677666e-07
Position 3302: 2.3261057082386836e-07
Position 1468: 2.0578725889798507e-07
Position 11213: 1.4835476453622135e-07
Position 2285: 1.4816140494389742e-07
Position 1714: 1.4045113614269846e-07
Position 11850: 1.3019947000516677e-07
Position 1755: 1.1574957830235927e-07
Position 8391: 8.990459975687076e-08
Position 2994: 8.096845412843209e-08
Position 8569: 5.198737544202154e-08
Position 1426: 4.6038745031409114e-08
Position 1815: 4.5002145225297044e-08
Position 2168: 4.360622795862188e-08
Position 2148: 3.804336328575153e-08
Position 2777: 3.715508763069455e-08
Position 8361: 3.6546914809352146e-08
Position 1540: 3.242529719430483e-08
Position 3184: 3.12968657121193e-08
Position 1895: 2.949910649678214e-08
Position 1577: 2.146813160600749e-08
Position 8902: 1.7587710477986507e-08
Position 2318: 1.7456912358631537e-08
Position 6935: 1.7248843408080976e-08
Position 2225: 1.3822355610335953e-08
Position 1915: 9.596606340509088e-09
Position 1303: 8.79265696155588e-09
Position 1506: 8.230572592300362e-09
Position 9403: 6.85802864036077e-09
Position 8472: 6.4151042553039425e-09
Position 7440: 2.2785771149798266e-09
Position 8336: 8.727212113312586e-10
Position 6307: 7.733041118269352e-10
Position 6838: 7.553475821169962e-10
Position 5265: 6.53550586488492e-10
Position 6817: 6.375528566118789e-10
Position 7912: 4.849078348208337e-10
Position 5070: 2.8070634171580274e-10
Position 3865: 2.2994128591588433e-10
Position 4826: 1.241998137652623e-10
Position 6883: 1.077437799588613e-10
Position 5689: 9.706987920053833e-11
Position 6691: 8.796301061567803e-11
Position 4866: 7.922130816751201e-11
Position 6338: 6.602102309493337e-11
Position 4994: 6.365929513569384e-11
Position 4600: 5.284986299348228e-11
Position 3532: 5.2532818561856696e-11
Position 3842: 1.266237275738867e-11
Position 546: 4.8483517791831984e-12
Position 1966: 3.6262893859722894e-12
Position 2165: 2.5822381776604155e-12
Position 1412: 2.3994577275160514e-12
Position 496: 2.145047079254259e-12
Position 1253: 1.3033795845184029e-12
Position 2112: 9.147745435685784e-13
Position 2040: 6.000708871049277e-13
Position 2621: 5.452600921599478e-13
Position 1280: 4.841814554739581e-13
Position 1447: 4.682613940454441e-13
Position 1309: 3.7021534813604967e-13
Position 1206: 3.7013810013500163e-13
Position 1209: 3.420326436072036e-13
Position 1558: 3.399943566211018e-13
Position 1779: 1.3233154376289431e-13
Position 543: 7.244462421453989e-14
Position 906: 4.096600197384876e-14
Position 888: 2.365162728351938e-14
Position 1084: 1.809527649484876e-14
Position 1009: 1.4758005653402025e-14
Position 727: 1.2746136672730144e-14
Position 1845: 5.808681663922434e-15
Position 432: 5.586850420195007e-15
Position 236: 3.4194861180670602e-15
Position 567: 1.9687546771574875e-15
Position 215: 1.4355468494538809e-15
Position 899: 9.284933997898033e-16
Position 287: 5.598879286871209e-16
Position 1098: 1.387672802088338e-16
Position 650: 2.3467028726357263e-17
Position 470: 2.2416219338238788e-17
Position 438: 1.6823741183289687e-17
Position 157: 7.581372143949428e-19
