Gene = Ced-12
Position 1597: 0.0031516544596963997
Position 2939: 0.0031024962318094308
Position 1031: 0.0024401208491483654
Position 1995: 0.002297560902226672
Position 474: 0.0021844692847702136
Position 819: 0.0021716436606336095
Position 2697: 0.0020888154194479013
Position 1299: 0.0018812249295104173
Position 2501: 0.0014969050434014463
Position 2244: 0.0010704734247004065
Position 1904: 0.0008040242275845314
Position 491: 0.0008038256087151446
Position 603: 0.0007687591939474051
Position 720: 0.0007684722510030013
Position 271: 0.0006960143371270757
Position 1156: 0.0006786676683476771
Position 2954: 0.0006784971619399805
Position 2019: 0.0006710483690974893
Position 1938: 0.0006062785163706213
Position 2357: 0.0005903098767716273
Position 554: 0.0005359864047346459
Position 1296: 0.000514871889580762
Position 321: 0.000489506887598129
Position 1129: 0.0004257612450933025
Position 1206: 0.0003801007184160537
Position 528: 0.000261372142851694
Position 1863: 0.0002308471307069958
Position 2403: 0.00022629609019839798
Position 1974: 0.0002261116060898597
Position 2283: 0.00020810486874128716
Position 350: 0.00019487881689959658
Position 2766: 0.00019136917201879088
Position 407: 0.00018090636399210663
Position 1065: 0.0001675949589461756
Position 274: 0.00015917058188285894
Position 1243: 0.00015031312563570186
Position 1884: 0.0001222651844898737
Position 369: 0.00011521179821402796
Position 875: 0.00010434503472135892
Position 2779: 0.0001031899009676903
Position 618: 9.684169352901841e-05
Position 1920: 9.290622194519239e-05
Position 713: 9.050809529241625e-05
Position 758: 8.413255621133243e-05
Position 2558: 8.276304495595704e-05
Position 333: 7.961596098599755e-05
Position 2250: 6.551746947953343e-05
Position 1257: 6.187392295916203e-05
Position 1943: 5.604536751523851e-05
Position 127: 5.47160474313178e-05
Position 840: 5.06963279179225e-05
Position 1662: 4.614497084735894e-05
Position 2704: 3.957565671218592e-05
Position 1892: 3.769010968309485e-05
Position 636: 3.737181378230341e-05
Position 792: 3.275772779593685e-05
Position 564: 2.8251575647118573e-05
Position 1553: 2.6435576138645913e-05
Position 318: 2.610144869885101e-05
Position 1056: 2.4776308396436445e-05
Position 1650: 2.253993186645308e-05
Position 2053: 2.1664336883960128e-05
Position 373: 1.780913598615054e-05
Position 726: 1.5327892796795895e-05
Position 424: 1.436843217033373e-05
Position 2313: 1.3566405943854735e-05
Position 2377: 1.3329869760162318e-05
Position 1506: 1.3164365496261425e-05
Position 2168: 1.3083992165546137e-05
Position 783: 1.2730801337260955e-05
Position 2016: 1.1987425956060124e-05
Position 355: 1.1933579160192763e-05
Position 2367: 1.0584251962810024e-05
Position 347: 1.0539985054374146e-05
Position 2331: 8.829351431005549e-06
Position 2022: 8.745875208605569e-06
Position 1725: 5.1255447671310374e-06
Position 161: 5.068807477063967e-06
Position 1658: 4.344381589275266e-06
Position 66: 2.966648360715825e-06
Position 103: 1.946471691258617e-06
Position 284: 4.436955815375574e-07
Position 282: 4.260262355490547e-07
Position 478: 3.342990345607225e-07
Position 210: 1.742271704131903e-07
Position 139: 9.64514155765958e-08
Position 190: 9.627281585145606e-08
Position 185: 5.930973405821338e-08
Position 2343: 7.421237985925093e-09
Position 251: 1.0950919519361343e-09
Position 57: 1.0728412469389708e-09
Position 268: 1.2520904797669754e-11
Position 105: 1.875782108986459e-13
Position 175: 7.120294637781893e-15
Position 173: 7.773453854915966e-16
Position 169: 1.2953955259415273e-16
Position 236: 8.30290227390088e-17
