Gene = Df31
Position 3508: 4.63921266700884e-05
Position 1799: 4.473308359946586e-05
Position 903: 4.205175995106816e-05
Position 2460: 3.680076948740359e-05
Position 2667: 3.5845124872701595e-05
Position 3461: 2.1968312851241912e-05
Position 397: 1.4714195435778773e-05
Position 24: 1.4455707498621864e-05
Position 30: 1.3920027237422426e-05
Position 124: 1.0926698575903985e-05
Position 309: 1.0540664184813757e-05
Position 270: 9.932580317767345e-06
Position 2904: 7.810876253842509e-06
Position 3433: 6.939836719885032e-06
Position 3444: 6.243151069479859e-06
Position 625: 6.188514107233668e-06
Position 702: 5.525875006484406e-06
Position 191: 4.908691339906366e-06
Position 733: 4.081939177732389e-06
Position 3128: 3.95241938919299e-06
Position 38: 3.613583720929002e-06
Position 3086: 2.250264462343764e-06
Position 208: 2.1011484930889716e-06
Position 395: 1.9848196249179437e-06
Position 462: 1.7686280044230462e-06
Position 354: 1.7139291108748295e-06
Position 2783: 1.5410036678721964e-06
Position 2468: 1.3782605765718425e-06
Position 158: 1.3347932299000399e-06
Position 300: 1.3322641909181393e-06
Position 1924: 7.997277295145355e-07
Position 183: 6.931531323737973e-07
Position 1722: 6.861527896639399e-07
Position 2536: 5.03558662760194e-07
Position 2479: 4.46933342768003e-07
Position 1148: 4.254711134212453e-07
Position 1937: 3.641915838696375e-07
Position 14: 3.289336791567966e-07
Position 2207: 3.2281526676832597e-07
Position 141: 2.779161214921073e-07
Position 651: 2.7312098138600526e-07
Position 2552: 2.482512507069401e-07
Position 2491: 1.660876462515313e-07
Position 32: 7.05636896618807e-08
Position 570: 6.381773426787693e-08
Position 249: 5.80683114533841e-08
Position 1046: 4.240504723121166e-08
Position 906: 2.6927455048544027e-08
Position 3372: 1.728863715420999e-08
Position 286: 1.2403110401804121e-08
Position 193: 2.8295364219064858e-09
Position 683: 1.554709715798506e-09
Position 2195: 4.1205602711301333e-10
Position 706: 3.636497770077902e-10
Position 666: 2.390395865126719e-10
Position 720: 2.0347179988791594e-10
Position 464: 4.3813971864792254e-14
Position 485: 3.6034250866522523e-14
Position 418: 2.716385827191407e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.999485339359386
Position 1722: 0.6184399347108674
Position 1618: 0.16271085957821585
Position 2429: 0.11228903589925969
Position 3578: 0.08299942978872328
Position 453: 0.0508220586239256
Position 922: 0.024552478386018404
Position 1083: 0.02018582557149844
Position 1198: 0.01683854380074793
Position 3431: 0.011641662296417537
Position 3394: 0.01103478268452777
Position 1439: 0.009591573821941856
Position 3136: 0.007843948178331502
Position 1635: 0.00688771654618394
Position 1044: 0.005089631081869602
Position 987: 0.004229039949967482
Position 785: 0.003331229448081245
Position 329: 0.0031252546382038557
Position 3196: 0.0030856096661643724
Position 3184: 0.0025796912481139025
Position 1620: 0.0024868423948504258
Position 2960: 0.0022813174825223105
Position 958: 0.0022783011797694237
Position 2408: 0.0017790646613929624
Position 1579: 0.0016665150077004429
Position 1275: 0.0016569495320217318
Position 2943: 0.0016211849449328701
Position 1585: 0.0013663406626918935
Position 2662: 0.0013583406376198974
Position 315: 0.0013245805100070341
Position 1744: 0.001172775435878236
Position 981: 0.00113276997285302
Position 433: 0.0010822340137140573
Position 369: 0.0010649631893393408
Position 3494: 0.0010441572226249037
Position 906: 0.0007127629676240496
Position 155: 0.0006704273963343578
Position 3407: 0.0006293862813562695
Position 1100: 0.0006289630310935554
Position 3474: 0.0005975726092359287
Position 3071: 0.0004941399645196742
Position 2977: 0.0004737213797549538
Position 1658: 0.0004731410811332949
Position 1653: 0.00045461290758708976
Position 3250: 0.00039725137515517884
Position 1372: 0.0003694899865893417
Position 903: 0.000354972320615819
Position 1632: 0.00034900202978602673
Position 1774: 0.0003102510279177471
Position 183: 0.00026140627707131516
Position 1414: 0.00019622326251424142
Position 1321: 0.00016160816808125382
Position 2744: 0.0001377437147052687
Position 744: 0.000131422396819195
Position 2398: 9.679264301950481e-05
Position 1237: 9.266555204918304e-05
Position 230: 8.36208424229227e-05
Position 2667: 6.945387091302142e-05
Position 573: 6.014566362475339e-05
Position 813: 5.853645057841476e-05
Position 2919: 5.6764494019225756e-05
Position 2684: 4.6096178078057793e-05
Position 658: 4.1984301297649844e-05
Position 2544: 3.79005876813691e-05
Position 541: 3.550102120983364e-05
Position 2689: 2.82284784359304e-05
Position 2536: 2.6978801392001287e-05
Position 2200: 2.3124804887111216e-05
Position 85: 1.4224723453477073e-05
Position 609: 1.3467742019872897e-05
Position 3037: 8.162730964348367e-06
Position 101: 3.1557489687501636e-07
Position 2720: 2.2013067000569997e-07
Position 217: 1.3296404371632075e-07
Position 2765: 1.3281436664794748e-07
Position 90: 5.9064121485426814e-08
Position 99: 4.075595209484662e-08
Position 625: 3.3093555760874826e-08
Position 263: 5.188410504607148e-09
Position 65: 8.949689658155481e-10
Position 73: 5.328738233968248e-11
Position 257: 4.4114314016114895e-13
