Gene = CarT
Position 659: 7.389168378769025e-06
Position 884: 4.382178376917356e-06
Position 441: 3.669959536509031e-06
Position 519: 2.229547773553934e-06
Position 80: 1.846811435122664e-07
Position 496: 6.016352273620656e-08
Position 410: 2.8707617081292844e-08
Position 110: 1.643433370070121e-08
Position 510: 3.6762202350013767e-09
Position 98: 6.841329877389999e-10
Position 137: 3.549512466615697e-12
