Gene = CAH2
Position 506: 5.548328049899954e-06
Position 4789: 5.377928692957532e-06
Position 5500: 5.3290425836502885e-06
Position 5531: 5.213458650336035e-06
Position 5099: 5.009625698252332e-06
Position 5182: 4.703009419069832e-06
Position 5605: 4.1971109784736064e-06
Position 5525: 4.101213674115198e-06
Position 4732: 3.770869555670601e-06
Position 256: 3.4824861018861527e-06
Position 12: 3.216926000190283e-06
Position 5555: 3.086867288709231e-06
Position 5258: 2.9979651800913036e-06
Position 75: 2.023576182366979e-06
Position 5: 1.7242256660607628e-06
Position 5543: 1.6905068508653153e-06
Position 392: 8.45213115664781e-07
Position 88: 6.965661633578236e-07
Position 323: 5.577569424298012e-07
Position 5561: 3.688403336205108e-07
Position 73: 3.6718765075285283e-07
Position 5627: 3.593667785731212e-07
Position 756: 3.56019806996431e-07
Position 729: 3.5168430882459207e-07
Position 5567: 3.447471457275948e-07
Position 440: 2.2326797973134054e-07
Position 687: 2.1793928376871755e-07
Position 191: 1.288339194187265e-07
Position 405: 8.210005955354785e-08
Position 565: 7.109444872103203e-08
Position 428: 6.474952901826005e-08
Position 601: 2.985278831881574e-08
Position 5084: 3.834344703943414e-09
Position 4911: 2.974043192272976e-09
Position 5036: 1.854981633776414e-09
Position 5102: 1.7539769823026592e-09
Position 4757: 7.120680753361447e-10
Position 5208: 6.506570193869807e-10
Position 782: 3.690405940178416e-10
Position 5513: 2.0381531938909771e-10
Position 706: 1.3017656100982684e-10
Position 4324: 1.0406077001556691e-10
Position 5262: 1.017871985090392e-10
Position 5265: 5.2613129844943324e-11
Position 5277: 5.21026970255296e-11
Position 4862: 4.4311366998013604e-11
Position 4628: 4.285470056916096e-11
Position 4330: 9.719326391261372e-12
Position 4417: 6.727501835616593e-12
Position 5245: 5.051247137278552e-12
Position 4211: 1.3300182397028774e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 4897: 0.9988402269964265
Position 4074: 0.9466958323182115
Position 4608: 0.9100450259305889
Position 4662: 0.08595976904067999
Position 1723: 0.04487794987398405
Position 238: 0.026553571670789637
Position 1303: 0.02390298381826756
Position 4242: 0.022224141773636286
Position 4095: 0.021211917366352185
Position 124: 0.0181021486676338
Position 3236: 0.01784023950072086
Position 4370: 0.014040197043458142
Position 2097: 0.013342616909897244
Position 1266: 0.012482371535076635
Position 1350: 0.008779931455588363
Position 692: 0.008519300535584667
Position 5470: 0.00726086976986949
Position 5390: 0.006511054999379139
Position 2286: 0.0063788600331044654
Position 4781: 0.0063411668485315285
Position 1670: 0.0060051976477120475
Position 1472: 0.005236867118012498
Position 4379: 0.005144110792563103
Position 1744: 0.004132379654823554
Position 3885: 0.0028290392425947206
Position 724: 0.002320219867626444
Position 1988: 0.0021801152988300556
Position 871: 0.0021356315050603735
Position 3843: 0.002123867652336733
Position 1700: 0.001820210254716768
Position 2633: 0.001770935863178601
Position 1239: 0.001387871558838273
Position 3148: 0.0013873601159598255
Position 863: 0.0013501103143552056
Position 4592: 0.0011655748151790408
Position 1798: 0.0010873790697875645
Position 4922: 0.0010689746341486564
Position 3180: 0.0009818266337187319
Position 3753: 0.000839316148990964
Position 746: 0.0008172452134813402
Position 1867: 0.0007841562717628649
Position 1803: 0.000645873619128909
Position 2369: 0.0006110763062880368
Position 3947: 0.0005885333406373162
Position 2224: 0.0005526454877871302
Position 601: 0.0004906758381968899
Position 2384: 0.0004680789584487237
Position 3865: 0.0004622867776203744
Position 1971: 0.0004350519652148714
Position 5695: 0.000335748958833832
Position 1547: 0.00033531086609236375
Position 2166: 0.0003237001998571731
Position 4638: 0.00028802067452869234
Position 5482: 0.0002719420541375325
Position 4675: 0.0002424823893075082
Position 589: 0.00023411286629526512
Position 3005: 0.00019845048505244846
Position 5218: 0.0001871808290281478
Position 266: 0.00016655441778564036
Position 3528: 0.0001441296061788278
Position 3033: 0.00013976804492053525
Position 3424: 0.00013665149295585949
Position 114: 0.00012818337554795496
Position 1366: 0.00011047338557671607
Position 5593: 8.569672068420409e-05
Position 187: 7.682794471143529e-05
Position 3247: 7.471526942928783e-05
Position 5437: 7.368178605972597e-05
Position 767: 5.8933972319404746e-05
Position 2607: 5.5167290096535954e-05
Position 4963: 5.341334491108486e-05
Position 2875: 5.264925939178258e-05
Position 2777: 4.886045517878387e-05
Position 3047: 3.761740423718576e-05
Position 5194: 3.442238578303339e-05
Position 4748: 3.224000337862869e-05
Position 669: 2.6950006156095813e-05
Position 782: 2.4096227600265103e-05
Position 1405: 1.730859094710189e-05
Position 5300: 1.5460040466525063e-05
Position 2733: 1.5207937742223549e-05
Position 1903: 1.1516751184164953e-05
Position 1828: 1.1168967571559861e-05
Position 4547: 1.1165661314842765e-05
Position 5205: 1.1096464793461613e-05
Position 1021: 9.948990995898327e-06
Position 1046: 8.966059617664297e-06
Position 1126: 8.810026983676678e-06
Position 1750: 8.563305577931522e-06
Position 300: 7.101136700389725e-06
Position 4942: 4.255132106753856e-06
Position 5596: 2.8617511835927553e-06
Position 875: 2.0232584323318634e-06
Position 1054: 1.84748628947978e-06
Position 1488: 1.4870514937551477e-06
Position 5702: 1.4084880824528023e-06
Position 5317: 1.3947902880453627e-06
Position 5277: 8.764842504951624e-07
Position 5173: 8.048252811427327e-07
Position 5150: 7.384754358171629e-07
Position 256: 3.757259061838184e-07
Position 5672: 3.719949004436857e-07
Position 364: 2.3446188069815583e-07
Position 272: 1.4312979297260897e-07
Position 343: 3.825450282450619e-08
Position 277: 3.0307576162109175e-08
Position 425: 2.617921535668306e-08
Position 5121: 1.285582102986182e-08
Position 96: 1.2040422367298633e-08
Position 359: 8.360092268366848e-09
Position 677: 5.398645733452155e-09
Position 4990: 3.1946451318468056e-09
Position 5000: 2.322909811054451e-09
Position 103: 6.341459781636496e-10
