Gene = ENHO
Position 464: 4.005500498843734e-08
Position 558: 2.337933505404566e-08
Position 337: 2.1665390647588893e-08
Position 517: 2.0569073272811545e-08
Position 301: 1.988288651194969e-08
Position 576: 6.513066023956766e-09
Position 590: 6.313657443178398e-09
Position 331: 5.666964836772847e-09
Position 623: 4.5990953839721615e-09
Position 523: 3.961824695429034e-09
Position 510: 3.4354209712458267e-09
Position 472: 2.2841343221603735e-09
Position 214: 2.1109490972440147e-09
Position 540: 1.2758277858502849e-09
Position 456: 1.0523101659053987e-09
Position 138: 7.773382152836559e-10
Position 496: 5.459011383196489e-10
Position 525: 3.58737127802781e-10
Position 528: 3.486600435259898e-10
Position 556: 2.1371603132139863e-10
Position 458: 5.460179458447773e-11
Position 474: 2.6912527996673756e-13
Position 272: 2.2271894550125054e-13
Position 269: 3.9037021645722817e-14
