Gene = SSNA1
Position 447: 9.148421944423049e-08
Position 761: 8.921918324883557e-08
Position 486: 6.145264433733863e-08
Position 88: 5.745913119139803e-08
Position 489: 2.9777380633348268e-08
Position 1200: 2.2971227820771853e-08
Position 130: 2.2840314520821867e-08
Position 144: 1.986529912857436e-08
Position 106: 1.7042088728509456e-08
Position 474: 1.6903896846087093e-08
Position 173: 1.0176165010695056e-08
Position 157: 4.558592563180918e-09
Position 429: 2.4149160450736503e-09
Position 522: 1.8300662453069802e-09
Position 450: 1.29914887285177e-09
Position 509: 7.362548724342862e-10
Position 121: 6.17575930883104e-10
Position 136: 1.6289778689001013e-10
Position 165: 6.937444502395424e-11
Position 483: 3.2452167694630743e-12
