Gene = IQUB
Position 1804: 6.3280866321884015e-06
Position 517: 2.6429714739589854e-06
Position 1038: 9.491206818347463e-07
Position 584: 7.089127774985212e-07
Position 708: 5.574772220550558e-07
Position 524: 4.805490324714563e-07
Position 426: 3.5979823553873237e-07
Position 747: 2.6941684783806264e-07
Position 930: 2.5967110685004736e-07
Position 636: 2.5370820793092893e-07
Position 1131: 1.9379620370686063e-07
Position 1053: 1.8802082777427313e-07
Position 331: 6.938361216517311e-08
Position 306: 5.169127392232685e-08
Position 640: 4.85987821002803e-08
Position 538: 2.7015095298745544e-08
Position 527: 2.1113753820802385e-08
Position 470: 1.6320696019590238e-08
Position 680: 1.556387039808945e-08
Position 590: 1.2952147162019195e-08
Position 174: 2.5758041598965946e-09
Position 542: 1.130830917335685e-09
Position 532: 8.35158481590362e-10
Position 238: 4.378635575489986e-10
Position 193: 2.6321556893076304e-10
Position 128: 1.9940517666092286e-10
Position 213: 1.9747614547246263e-10
Position 164: 7.653408937358791e-11
Position 216: 6.97806892479641e-11
Position 135: 6.76807560948874e-11
Position 219: 5.379094170274612e-11
Position 177: 5.1250251011927466e-11
Position 143: 3.99361955796571e-11
Position 159: 1.3944008328442595e-11
Position 156: 1.2062464742377108e-11
Position 187: 6.49875916863286e-12
Position 150: 9.403016691154546e-13
Position 153: 4.4544956079822193e-13
Position 137: 4.137141683192344e-13
