Gene = RGSL1
Position 985: 4.000559501965576e-06
Position 338: 3.0256911410377637e-06
Position 774: 2.533247709191628e-06
Position 1108: 2.2013494022010342e-06
Position 1197: 1.1671231168322332e-06
Position 1216: 1.162483310053834e-06
Position 27: 7.824192067925178e-07
Position 1325: 6.327212261085873e-07
Position 4438: 3.819556661910885e-07
Position 640: 2.6261233481316004e-07
Position 898: 2.494171949214647e-07
Position 568: 2.1595582217810463e-07
Position 358: 1.6168723241127365e-07
Position 384: 1.2266553343238369e-07
Position 150: 5.401281890089052e-08
Position 544: 1.1774239666700657e-08
Position 666: 6.661602812380488e-09
Position 148: 6.32656411843713e-09
Position 495: 1.266497925530157e-09
Position 165: 8.153283269986726e-10
Position 414: 6.33838786084197e-10
Position 350: 2.2617414528670467e-11
Position 572: 4.659200199781355e-12
Position 517: 9.703207656219531e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 22249: 0.9293229685997522
Position 27554: 0.5708683671052723
Position 3811: 0.5447418474860348
Position 9857: 0.47038358852211815
Position 3308: 0.36655738027030016
Position 8159: 0.25232964349724063
Position 8172: 0.23305957948842856
Position 8105: 0.18550063520052526
Position 3291: 0.17689818751637273
Position 22496: 0.15075484836789718
Position 215: 0.09466502598263983
Position 304: 0.05039003366101334
Position 3248: 0.039541707171112266
Position 10477: 0.03764689337078836
Position 3227: 0.033556930260807916
Position 410: 0.03317172900947702
Position 3692: 0.023117339185523642
Position 1559: 0.02104010131901547
Position 10704: 0.018884732728344567
Position 3326: 0.01853755466145333
Position 1090: 0.012930701364974689
Position 9642: 0.010692235050566915
Position 17104: 0.010650990351484776
Position 1062: 0.007235919134173877
Position 12373: 0.006590037303764692
Position 358: 0.005324896756916151
Position 10103: 0.004677785126789449
Position 16663: 0.004306684537282909
Position 112: 0.002354343160326842
Position 3847: 0.0023081212029712793
Position 10218: 0.0020195283866297348
Position 752: 0.001956625855777568
Position 13440: 0.0017850049570612599
Position 630: 0.0014460288996350208
Position 1142: 0.001260976767900532
Position 9164: 0.0010941799959957874
Position 3002: 0.0008384359637813064
Position 8344: 0.000831111471214846
Position 3813: 0.0007740957815509049
Position 3632: 0.0006941641646979809
Position 229: 0.0006676634060144979
Position 311: 0.000648008256371037
Position 249: 0.0006359506101536006
Position 9323: 0.0006077293359143698
Position 6175: 0.0005463106394270956
Position 4938: 0.0005461134846326626
Position 3518: 0.000544439728831352
Position 1606: 0.0005141689525508369
Position 414: 0.00040092178605685556
Position 4768: 0.00037529249557218507
Position 4273: 0.00035897508615489543
Position 8814: 0.00035076419447286776
Position 4982: 0.000340713639714424
Position 4488: 0.00020250255877917318
Position 1440: 0.00017985505286133454
Position 8511: 0.00017047331830307382
Position 4561: 0.0001680150323827175
Position 6195: 0.00015028841340733643
Position 338: 0.00013405021775524372
Position 8855: 0.00010465752643488388
Position 4182: 9.032639879865748e-05
Position 4105: 8.650923523552956e-05
Position 2925: 8.397985160733268e-05
Position 4859: 8.356521197704572e-05
Position 4351: 8.224010843596696e-05
Position 8368: 7.983082778377013e-05
Position 1284: 7.959136238072102e-05
Position 513: 7.914706302490738e-05
Position 393: 7.607979536858983e-05
Position 2331: 7.279001991697272e-05
Position 10328: 6.913204490460595e-05
Position 1256: 6.277594276056578e-05
Position 7760: 5.93716093128423e-05
Position 10183: 5.8115518334411446e-05
Position 971: 5.367626175639104e-05
Position 258: 5.202952210593289e-05
Position 1451: 5.092714692738566e-05
Position 4196: 4.9846074473511386e-05
Position 670: 2.9705404548842218e-05
Position 4361: 2.9277496530701908e-05
Position 6171: 2.5452558227640795e-05
Position 848: 2.2513603734809527e-05
Position 7614: 2.2102514587000563e-05
Position 4491: 1.958909590451144e-05
Position 1039: 1.9023249718020605e-05
Position 3493: 1.8014533778200582e-05
Position 234: 1.6628929478564717e-05
Position 3463: 1.619017320514952e-05
Position 329: 1.608913098776374e-05
Position 7310: 1.571632444544483e-05
Position 7331: 1.527693451657188e-05
Position 306: 1.5107460560803522e-05
Position 425: 1.3949439597221424e-05
Position 3487: 1.311603521071758e-05
Position 4082: 5.9038463484882485e-06
Position 3899: 5.728264261543261e-06
Position 4290: 4.040972821289342e-06
Position 3614: 1.7507634863909222e-06
Position 2327: 1.4533189779245507e-06
Position 1300: 3.448176566648349e-07
Position 1259: 3.416507011606342e-07
Position 563: 2.9319448447021224e-07
Position 224: 2.1920748879925484e-07
Position 127: 1.467369837021507e-07
Position 1227: 1.3430196402024468e-07
Position 792: 1.2043525609379816e-07
Position 595: 1.1661026976206504e-07
Position 1329: 9.628767525418131e-08
Position 308: 9.5535402251212e-08
Position 773: 9.379736304935477e-08
Position 1344: 5.91701819855593e-08
Position 1069: 4.091509063230702e-08
Position 421: 3.9271984130802445e-08
Position 886: 3.247834728878488e-08
Position 1092: 3.1532711963513575e-08
Position 575: 2.822217444136484e-08
Position 769: 2.393982856469421e-08
Position 933: 1.8025816716872918e-08
Position 269: 1.2441448639340896e-08
Position 265: 7.670897932466178e-09
Position 801: 6.933722687193682e-09
Position 430: 4.404527746887514e-09
Position 533: 4.03516013270499e-09
Position 1417: 3.1273364079413683e-09
Position 787: 2.501817143845809e-09
Position 697: 1.3249674116377031e-09
Position 763: 1.3000160177327706e-09
Position 1155: 3.0120681216328223e-10
Position 263: 2.425570053704104e-10
Position 273: 2.0884559851092595e-10
Position 119: 1.5405493798123706e-10
Position 539: 9.860203519479416e-11
Position 438: 6.486292716308809e-11
Position 488: 5.988014490136944e-11
Position 448: 5.194074760392904e-11
Position 544: 1.1878603282061438e-11
Position 464: 8.681489628249273e-12
Position 455: 7.804977909562732e-12
Position 462: 5.424289016695829e-12
Position 1097: 2.0150719576815617e-13
Position 1181: 1.5461226790478639e-13
