Gene = UGCG
Position 398: 3.3142942292188267e-18
Position 710: 4.771349313938586e-19
Position 824: 2.705000874809381e-19
Position 840: 1.7364456694548551e-19
Position 745: 1.7271741402573045e-19
Position 498: 1.0952047549105672e-24
Position 486: 4.603392856653257e-25

Sorted 3' Splice Sites (High to Low Probability):
Position 17838: 0.9999999588479892
Position 28010: 0.9999908917455623
Position 34504: 0.93445887431587
Position 29617: 0.9232398047566991
Position 3198: 0.8857700934374448
Position 35403: 0.8017620793204798
Position 32733: 0.7103910716515393
Position 36060: 0.6173355505548102
Position 37672: 0.42233117037983336
Position 33077: 0.3444104536777004
Position 32602: 0.28791284739335243
Position 34979: 0.1357699448722539
Position 37974: 0.05472608636922985
Position 34940: 0.05355493982166106
Position 35706: 0.03993260350797556
Position 35362: 0.03901172941730659
Position 33097: 0.030657291577318307
Position 37089: 0.030440946937741745
Position 36097: 0.01671432915682509
Position 37696: 0.014862087093148665
Position 3168: 0.013990421187480971
Position 38241: 0.012706266074803
Position 35739: 0.012384495202115646
Position 37444: 0.012274667955066449
Position 38393: 0.010699752596622026
Position 34890: 0.010048589040889604
Position 37058: 0.009094825161768546
Position 38187: 0.008885412006314252
Position 35012: 0.004729772193432218
Position 2958: 0.003849243996436734
Position 3238: 0.0035941498371347353
Position 3062: 0.003300474471378342
Position 36942: 0.002882072567934206
Position 37650: 0.0016365510841388495
Position 3087: 0.0014883118236319543
Position 37405: 0.001432856750334654
Position 37997: 0.001120425769112271
Position 36320: 0.0007951221455430131
Position 37116: 0.00032035832731045145
Position 36016: 0.00025805252923597914
Position 34744: 0.00022881684965576684
Position 34660: 0.00016078962728387086
Position 28689: 1.7142714755173264e-05
Position 23321: 5.445416002702327e-06
Position 20922: 1.1638406162505366e-06
Position 21300: 1.0499045800425939e-06
Position 18904: 7.64892514262326e-07
Position 18992: 3.142858038436673e-07
Position 420: 2.5738046208071787e-07
Position 1139: 1.801321312216872e-07
Position 18283: 1.3642209402223446e-07
Position 2377: 1.2840684244978855e-07
Position 19748: 1.1592116001514436e-07
Position 18666: 7.641965590111988e-08
Position 1164: 5.709093138431538e-08
Position 2175: 4.634007246695876e-08
Position 1258: 2.0594500605464997e-08
Position 2149: 1.7978397502471632e-08
Position 1701: 1.1403113676101688e-08
Position 2118: 1.036230267997228e-08
Position 14382: 9.831242800154281e-09
Position 1766: 9.657668610293015e-09
Position 1313: 8.37719966303052e-09
Position 926: 7.909289770105208e-09
Position 2357: 7.826117023588269e-09
Position 9690: 7.3489715763190294e-09
Position 1696: 6.9133862163397e-09
Position 1006: 6.492834012230229e-09
Position 2163: 5.8840298894292046e-09
Position 632: 5.054813950336204e-09
Position 3751: 4.735449236109955e-09
Position 769: 4.559626227775498e-09
Position 1225: 4.294322134672103e-09
Position 3460: 3.8653156108756035e-09
Position 1742: 3.167422635788348e-09
Position 4118: 3.1193295431256867e-09
Position 2295: 2.8204805316000004e-09
Position 3771: 2.656394998945295e-09
Position 4135: 2.4048729725047203e-09
Position 2451: 2.0627825627906154e-09
Position 2449: 1.9930921467134316e-09
Position 1234: 1.9144225988689104e-09
Position 1519: 1.6682690518256914e-09
Position 2765: 1.5962574819525631e-09
Position 6036: 1.5819999840833246e-09
Position 1804: 1.5483809820062337e-09
Position 2744: 1.423260230093426e-09
Position 1727: 1.2956667888075363e-09
Position 1443: 1.2209438176284872e-09
Position 396: 1.1530491341257394e-09
Position 1022: 1.048521666378121e-09
Position 4597: 1.0346101399939194e-09
Position 1660: 9.412456751192767e-10
Position 4114: 8.371565911378675e-10
Position 5053: 7.413596446956252e-10
Position 1277: 6.887979143854849e-10
Position 5130: 5.912542611548467e-10
Position 602: 5.428217970282371e-10
Position 2530: 5.017383294028905e-10
Position 199: 4.510469329783769e-10
Position 965: 4.2077942233131997e-10
Position 1316: 4.042886627796481e-10
Position 7613: 3.519338903045359e-10
Position 1772: 2.668605208481674e-10
Position 1944: 2.52195420001664e-10
Position 1723: 2.38635381191972e-10
Position 1115: 2.167940244958045e-10
Position 476: 2.0398879869379989e-10
Position 1300: 1.7641222502054298e-10
Position 813: 1.5860839895624615e-10
Position 5211: 1.4077065044556277e-10
Position 2851: 1.3307512257775108e-10
Position 3912: 6.702811846977997e-11
Position 3938: 3.7362796289589973e-11
Position 224: 1.1379571685215248e-13
Position 955: 6.845528428741163e-14
Position 1026: 5.043550309957293e-14
Position 1570: 3.5825372324134146e-14
Position 565: 3.12831104863712e-14
Position 662: 1.8629971142787264e-14
Position 736: 1.579761152373678e-14
Position 1620: 7.667450419295628e-15
Position 729: 7.122488280409546e-15
Position 1342: 6.245851340015289e-15
Position 598: 5.451252261120161e-15
Position 201: 4.549021531157288e-15
Position 876: 3.836785985911759e-15
Position 752: 3.3639648259192137e-15
Position 284: 3.2784975328498917e-15
Position 785: 3.1725855774855956e-15
Position 820: 1.988344704179395e-15
Position 215: 6.545923698314814e-16
Position 1085: 6.177149161098492e-16
Position 673: 5.920199255698036e-16
Position 658: 5.88981998291769e-16
Position 245: 3.517491667551303e-16
Position 1421: 6.435871150630655e-17
Position 781: 4.676604912672315e-17
Position 581: 2.8875246449997896e-17
Position 249: 1.5580252172543366e-17
Position 792: 1.2521332331719743e-17
Position 208: 6.674141766937443e-18
Position 235: 1.7175870831853904e-18
Position 256: 5.74206463287568e-19
