Gene = BRK1
Position 826: 6.678920444798652e-06
Position 415: 6.604915085690177e-06
Position 659: 5.434277217595605e-06
Position 4042: 3.945405009090649e-06
Position 516: 3.7635295068315853e-06
Position 404: 3.7115057391637646e-06
Position 552: 3.4020975925738963e-06
Position 1056: 3.1191260806986583e-06
Position 1334: 1.2993678361390072e-06
Position 1591: 1.2707510534062173e-06
Position 32: 3.2823332496960836e-07
Position 86: 2.0304736172522583e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10676: 0.9899595323278071
Position 9966: 0.5834580772655127
Position 10033: 0.3163738454048997
Position 652: 0.3032263058881544
Position 627: 0.1479850555132995
Position 10052: 0.06222789584539477
Position 864: 0.030629831668936645
Position 591: 0.018486586594116557
Position 5050: 0.016487901970621253
Position 11091: 0.014466493989587229
Position 9813: 0.013309829632893568
Position 11429: 0.012951614406929017
Position 11058: 0.012946860036991574
Position 357: 0.010917407490288312
Position 934: 0.01026446010062816
Position 954: 0.009410083190976954
Position 688: 0.007769549680694389
Position 5166: 0.007675510641205904
Position 11494: 0.006291556089374493
Position 5777: 0.006240491075118987
Position 673: 0.005737623834994663
Position 390: 0.005211770050296459
Position 978: 0.0038846868009644463
Position 876: 0.003713661096602418
Position 5719: 0.0030633952954025345
Position 11007: 0.00297849312520291
Position 11197: 0.002884231703722654
Position 532: 0.0027147619590087726
Position 5722: 0.0023160851666485884
Position 10837: 0.0018698237368540743
Position 11122: 0.0018273401511128408
Position 11386: 0.0016748701389703285
Position 905: 0.0016046351187033227
Position 487: 0.0015424265686063239
Position 3313: 0.0012520968808798656
Position 11455: 0.0012111783127982288
Position 1828: 0.0012045457944155893
Position 10971: 0.0010831610382776057
Position 11450: 0.000955788668220318
Position 922: 0.0009324204741060927
Position 3440: 0.0008181792781681383
Position 10799: 0.0007886889756542887
Position 5967: 0.0004791976656754337
Position 5375: 0.0004262126460567854
Position 7678: 0.00042423861593057316
Position 11259: 0.0003160074111276785
Position 11558: 0.0002984503214924283
Position 1698: 0.0002976602285091989
Position 11217: 0.00027801098680274724
Position 10981: 0.00023962245022796205
Position 10935: 0.0002369713553982135
Position 10657: 0.00019833173645214799
Position 11247: 0.00017985585305507878
Position 10250: 0.00015443260653162915
Position 10600: 0.00012574809699638831
Position 2920: 0.00012437046743508882
Position 4215: 0.00012015167131522003
Position 11435: 0.00010485314840683955
Position 10747: 9.386029515349519e-05
Position 1824: 8.997282656625175e-05
Position 11531: 8.026840153618536e-05
Position 11586: 7.154406870113823e-05
Position 10918: 5.3702783405559975e-05
Position 9535: 4.749426335262888e-05
Position 6185: 4.073324144953614e-05
Position 6164: 3.711916123358385e-05
Position 10567: 3.544182499849206e-05
Position 8944: 3.4110224800716626e-05
Position 7864: 3.0632740156750425e-05
Position 4462: 2.970974256823952e-05
Position 400: 2.5840205654891713e-05
Position 1065: 2.526934084885613e-05
Position 7728: 2.436834941043556e-05
Position 7162: 1.8959626734301663e-05
Position 7751: 1.834948713703361e-05
Position 6865: 1.58307512822996e-05
Position 4323: 1.4892622056861734e-05
Position 475: 1.4734317905976398e-05
Position 413: 1.1387938306146712e-05
Position 3274: 1.1123405186299994e-05
Position 6160: 1.0934582035339837e-05
Position 1402: 8.592696104052232e-06
Position 1123: 7.286157447711252e-06
Position 826: 5.819843860214946e-06
Position 1138: 5.4050265270877764e-06
Position 2940: 4.608746057399263e-06
Position 6542: 4.039362129530495e-06
Position 3947: 3.945405009090652e-06
Position 2015: 3.3918476637614573e-06
Position 100: 3.3281113407745998e-06
Position 595: 3.3007051134792057e-06
Position 1347: 3.052085001975761e-06
Position 1220: 2.567146906527841e-06
Position 435: 2.399727992939101e-06
Position 1989: 2.089630713088576e-06
Position 5355: 2.0687609713637045e-06
Position 321: 2.0604314297733523e-06
Position 1419: 1.5909975392212795e-06
Position 496: 1.2342545650800135e-06
Position 902: 1.0497747569158508e-06
Position 404: 1.0019735775853051e-06
Position 2897: 7.089830193158236e-07
Position 2323: 5.521045541141974e-07
Position 1018: 5.273724271193333e-07
Position 121: 1.0104307585765925e-07
Position 797: 9.264471962515322e-08
Position 500: 7.672492796809962e-08
Position 86: 6.629949679700771e-08
Position 151: 6.313697730978995e-08
Position 136: 3.442725920559154e-08
Position 232: 2.3565082883686884e-08
Position 308: 1.1172689241003982e-08
Position 192: 7.18391598364849e-09
Position 845: 6.8523636819600445e-09
Position 124: 4.8915160978511805e-09
Position 755: 3.369779876305755e-09
Position 298: 3.1769214207003134e-09
Position 887: 2.0090506884207002e-09
Position 189: 1.182879117648268e-09
Position 310: 8.054752114212834e-10
Position 982: 5.978783735266979e-10
Position 178: 5.110107301371194e-10
Position 1028: 4.95098510816335e-10
Position 142: 2.892295752861936e-10
Position 169: 2.8825455109078525e-10
Position 209: 7.378023456926529e-11
Position 199: 1.8674245927282096e-13
Position 240: 1.7386657797349868e-13
