Gene = Sprr2j-ps
Position 1170: 2.639756213180465e-08
Position 1228: 1.6850976571392523e-08
Position 1156: 9.682766435572831e-09
Position 1191: 9.214886584816283e-10
Position 1193: 8.396626188325592e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.7877278923931144
Position 576: 0.0519339550816759
Position 370: 0.03400240014268799
Position 606: 0.02578129072273091
Position 802: 0.025650262873922892
Position 499: 0.01799270641610401
Position 245: 0.01437517933882233
Position 541: 0.005622490634841345
Position 829: 0.0051697722048518096
Position 856: 0.00474856038703596
Position 180: 0.0043405260401039765
Position 392: 0.0037551061489752816
Position 1205: 0.0031194497225399964
Position 1191: 0.002894625683954265
Position 955: 0.0024446561621399806
Position 552: 0.0021330741769281
Position 609: 0.0019557796520425228
Position 304: 0.0019410965533425539
Position 1166: 0.0015314291099865441
Position 883: 0.001256314867293306
Position 750: 0.001212345973743465
Position 907: 0.0010130245454273272
Position 755: 0.0008078003466643751
Position 249: 0.0007513093954556698
Position 1297: 0.0004958687311758596
Position 733: 0.0004855137570098396
Position 320: 0.00045672225308660106
Position 168: 0.00044915033006327884
Position 809: 0.000442042424160997
Position 632: 0.0002608047104230206
Position 317: 0.0002512369147061662
Position 200: 0.00024148102564302542
Position 1237: 0.00023358351390863487
Position 581: 0.00022084051381291776
Position 863: 0.00021969235206528077
Position 919: 0.00017942843870981994
Position 434: 0.00017467813009488457
Position 758: 0.00017037461468583432
Position 520: 0.0001256161318713006
Position 635: 0.00010599194747740886
Position 916: 0.00010461333633712197
Position 1037: 9.628555118407916e-05
Position 403: 8.15722417443143e-05
Position 1248: 8.12179267399167e-05
Position 752: 7.838668124968281e-05
Position 1125: 7.77693666401858e-05
Position 509: 7.174621866916257e-05
Position 1087: 6.661744734497027e-05
Position 203: 6.44118242432581e-05
Position 639: 6.218944433574943e-05
Position 614: 5.628078215528616e-05
Position 776: 5.2608471308978514e-05
Position 961: 4.3418436807920106e-05
Position 838: 4.246634343118478e-05
Position 1010: 4.1733995507292596e-05
Position 767: 3.950444156086664e-05
Position 525: 3.763330028068795e-05
Position 425: 3.701536261769384e-05
Position 726: 3.626831221311437e-05
Position 1220: 3.474977661352655e-05
Position 1131: 3.461046618751334e-05
Position 1213: 3.386110014088539e-05
Position 1013: 3.3588754864652534e-05
Position 1020: 2.9400456996476695e-05
Position 1044: 2.2670035453205945e-05
Position 442: 2.2159677429036344e-05
Position 221: 2.040488563680362e-05
Position 135: 1.82644098955984e-05
Position 660: 1.6145927681588207e-05
Position 650: 1.5424404275160644e-05
Position 865: 1.2612255896488204e-05
Position 811: 1.1350229160918187e-05
Position 146: 1.0435848198957716e-05
Position 975: 1.0290104406593852e-05
Position 973: 8.978773272830673e-06
Position 983: 8.255460892297808e-06
Position 154: 8.139292773232054e-06
Position 327: 8.032862727907182e-06
Position 261: 7.323148060031266e-06
Position 764: 6.052641027961175e-06
Position 1225: 5.375267771552729e-06
Position 406: 4.934503398025369e-06
Position 892: 4.2151056599466304e-06
Position 150: 2.901042751553122e-06
Position 991: 1.5628246140548037e-06
Position 994: 1.4291253144343159e-06
Position 1015: 1.145143930491341e-06
Position 1215: 9.300023497365822e-07
Position 207: 4.0573434869114793e-07
Position 450: 3.4988910017063996e-07
Position 73: 9.296896207729064e-08
Position 100: 5.012309044208177e-08
Position 75: 2.398971718346351e-09
Position 86: 1.2938642836512167e-11
