Gene = BGLAP
Position 887: 7.440516580993224e-09
Position 942: 5.940136089644107e-09
Position 135: 1.9074975907798834e-09
Position 389: 1.0134915115281478e-09
Position 636: 8.816547915998943e-10
Position 124: 8.606661423858701e-10
Position 115: 7.461546024397609e-10
Position 385: 2.763610756932299e-10
Position 91: 1.6669458108016403e-10
Position 382: 5.936261394652966e-11
Position 380: 5.16330962620376e-11
Position 338: 5.733180090849462e-12
