Gene = bbg
Position 893: 0.0002719669679962725
Position 1688: 0.0002708233581980538
Position 722: 0.00026819759430378703
Position 137: 0.00022979491042249996
Position 1974: 0.00022234513348722392
Position 1473: 0.00020898915142226367
Position 283: 0.00020855041261746098
Position 289: 0.00017340005296658594
Position 429: 0.00016616117230969335
Position 1116: 0.00011477576883974215
Position 376: 9.66845264410575e-05
Position 58: 4.553605321655667e-05
Position 1104: 3.7566086348988356e-05
Position 403: 3.652786799320373e-05
Position 260: 3.0181217356774565e-05
Position 351: 2.659496633334049e-05
Position 452: 2.0124089661712624e-05
Position 101: 1.964736720993279e-05
Position 1717: 1.9368488162938988e-05
Position 792: 1.7820239608558572e-05
Position 1344: 1.7217331655334155e-05
Position 690: 1.6142374300339837e-05
Position 1153: 1.5146801564989187e-05
Position 927: 1.4355633913734593e-05
Position 1365: 1.2068640758134925e-05
Position 359: 8.665101262064496e-06
Position 457: 7.56680184426241e-06
Position 16: 5.562997429574709e-06
Position 1070: 5.2898806365422235e-06
Position 644: 2.467576616604935e-06
Position 1711: 2.09645345680793e-06
Position 334: 6.43737836373247e-07
Position 617: 4.48872550780608e-07
Position 262: 2.8132750048457207e-07
Position 23: 2.7056800249632803e-07
Position 408: 2.5653927035062055e-07
Position 7: 1.2445319558308134e-07
Position 43: 8.493490863950034e-08
Position 46: 5.4217158769630957e-08
Position 267: 4.153640911054091e-09
Position 104: 2.045485378152674e-09
Position 9130: 1.6932525191042943e-09
Position 8186: 1.1072917772443806e-09
Position 5474: 6.489138655143543e-10
Position 5400: 4.835843576964802e-11
Position 4484: 4.325718566479205e-11
Position 5857: 1.9605942567881163e-11
Position 4391: 2.1270660561034163e-12
Position 3082: 1.253121909142094e-13
Position 3429: 9.979425763511975e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 23005: 0.9891692676628155
Position 15609: 0.8583521374024629
Position 1596: 0.6944904964537577
Position 16249: 0.6753871390611691
Position 1791: 0.17234110775654352
Position 10827: 0.12038374210601026
Position 2553: 0.09971793493617845
Position 2493: 0.046109270128492065
Position 1999: 0.029530019401266063
Position 2354: 0.024761630301672825
Position 2614: 0.020403445588016277
Position 2577: 0.019982449867584982
Position 2035: 0.0197640703574968
Position 603: 0.011135971035561567
Position 16547: 0.009831792540729448
Position 1240: 0.006515015230151223
Position 725: 0.005689816909159027
Position 2450: 0.005440954871486291
Position 1104: 0.004900546196278086
Position 2590: 0.004742228317877645
Position 650: 0.004059409534921235
Position 926: 0.0040294461244695405
Position 2536: 0.0036299538426821263
Position 968: 0.0030805387226008002
Position 901: 0.002943217599259663
Position 883: 0.002609172675400966
Position 2057: 0.0024460104557995008
Position 655: 0.00218130970597243
Position 617: 0.0016499977813153352
Position 2457: 0.0013985996111179405
Position 1247: 0.001122921025598777
Position 2041: 0.0009963914268954538
Position 2243: 0.0009474912756951958
Position 2369: 0.0008022892965175554
Position 1153: 0.0007998792209443025
Position 1795: 0.0005463389264797313
Position 1817: 0.0004712458072346779
Position 16944: 0.00044160857209904323
Position 1627: 0.00036416187333451446
Position 18099: 0.0003451465122300176
Position 303: 0.0002633761032255215
Position 408: 0.00023351890208843468
Position 18991: 0.00020389454049026407
Position 231: 0.00018249976148045495
Position 1019: 8.252523096965105e-05
Position 16496: 8.125646452602144e-05
Position 242: 6.932523564687993e-05
Position 16550: 6.825054828340485e-05
Position 273: 6.647984716345931e-05
Position 776: 4.68232851895423e-05
Position 18102: 3.5272397816825574e-05
Position 1060: 2.7561472738061498e-05
Position 830: 2.702692521773727e-05
Position 137: 2.1797936961426924e-05
Position 16890: 2.1745786001636203e-05
Position 16507: 2.044212747229534e-05
Position 340: 1.750853196925055e-05
Position 58: 1.2525525456148168e-05
Position 489: 7.6130357892944286e-06
Position 359: 6.597650864805921e-06
Position 16716: 6.3511628346967065e-06
Position 529: 5.368241302851171e-06
Position 11793: 1.4587689147587746e-07
Position 905: 3.389800404650656e-08
Position 11003: 2.6747381606057398e-08
Position 10963: 2.654718773276806e-08
Position 811: 2.459577901092697e-08
Position 368: 6.137423955026665e-09
Position 417: 5.051149728992139e-09
Position 332: 4.455950559763592e-09
Position 781: 4.365391556117691e-09
Position 545: 4.161994576698289e-09
Position 9016: 3.6144487007958826e-09
Position 9183: 2.8573130675154747e-09
Position 8724: 1.9603413111696215e-09
Position 467: 1.4981631813239725e-09
Position 9063: 1.3374622596365978e-09
Position 8245: 1.107291777244382e-09
Position 7307: 7.353030860455473e-10
Position 5537: 7.223876643247054e-10
Position 5695: 7.06297995429077e-10
Position 7372: 6.682493657544581e-10
Position 5203: 5.312995470315379e-10
Position 5179: 4.709018910870759e-10
Position 4341: 1.5725145010853106e-10
Position 5088: 4.6209407989212604e-11
Position 5947: 4.231290691208895e-11
Position 5297: 4.225587828937158e-11
Position 3008: 2.486416023417528e-11
Position 5856: 2.0912853106596133e-11
Position 5929: 1.960594256788096e-11
Position 4268: 1.6312197766477102e-11
Position 4283: 1.563783796729162e-11
Position 2924: 1.5046453953134535e-11
Position 4350: 1.4883442677374624e-11
Position 2896: 1.1088921684890207e-11
Position 5294: 1.0673531132036337e-11
Position 3082: 5.224549366851076e-12
Position 3906: 4.3190853598708194e-12
Position 3683: 2.9720088675257387e-12
Position 4057: 2.5179315362660744e-12
Position 2755: 1.6669024633678238e-12
Position 3341: 1.3987729703402517e-12
Position 3056: 8.788066720364988e-13
Position 1974: 7.436006725328702e-13
Position 2830: 7.243936416993334e-13
Position 2707: 3.4328666805622643e-13
Position 1968: 2.0092203530611616e-13
Position 1652: 4.861226507094488e-15
Position 1070: 4.302504754873384e-15
Position 1373: 3.514970108504185e-15
Position 153: 2.7235330603793677e-17
Position 79: 2.623658360826533e-17
Position 190: 2.44074194902684e-17
Position 222: 2.252636488719194e-17
Position 318: 1.3977189296332928e-17
Position 320: 1.1419423042672841e-17
Position 662: 9.141992144050194e-18
