Gene = Iyd
Position 2678: 4.279384838307772e-05
Position 2280: 2.925324973233006e-05
Position 2636: 2.7080226880339208e-05
Position 2750: 2.1724817394687442e-05
Position 2404: 1.550529316439082e-05
Position 152: 1.187928557390115e-05
Position 2185: 1.1207059660354659e-05
Position 2845: 1.1178011207706445e-05
Position 179: 6.985397599425472e-06
Position 2762: 6.671507739553443e-06
Position 284: 4.818118974608268e-06
Position 250: 3.711297023763155e-06
Position 228: 2.2967221454000458e-06
Position 185: 2.2655528119286446e-06
Position 931: 1.589142223054159e-06
Position 1011: 9.103674556061367e-07
Position 1060: 8.545562062148432e-07
Position 337: 7.749696108050926e-07
Position 788: 7.247009010480788e-07
Position 515: 5.366475259854937e-07
Position 918: 3.4908336143252236e-07
Position 375: 1.9081771754289797e-07
Position 290: 9.761300402657114e-08
Position 296: 4.6377534218829245e-08
Position 468: 2.5393462688524177e-08
Position 482: 1.745628156216804e-08
Position 366: 1.3296993010164461e-08
Position 242: 1.2136410932966761e-08
Position 415: 3.2822300006465456e-09
Position 69: 2.8198836965919823e-09
Position 300: 2.744251734286898e-09
Position 307: 2.3507830920035972e-09
Position 58: 4.6391013338157236e-10
Position 194: 2.4407416176437496e-12
