Gene = GlcAT-P
Position 721: 0.00020225219864464217
Position 19535: 0.00019647681057238532
Position 20116: 0.00019389051409676733
Position 2655: 0.00019009087809702317
Position 19204: 0.00018847498086608705
Position 1151: 0.00017597247322895943
Position 298: 0.00015232894920668246
Position 2274: 0.00013592778151402674
Position 2433: 0.00012371414616960938
Position 825: 0.0001212082252168154
Position 1262: 0.00011771840778792945
Position 19544: 0.00010656337895365008
Position 232: 0.00010616675711495709
Position 19304: 8.836045855088307e-05
Position 19595: 8.625428752863011e-05
Position 2628: 5.766041005571633e-05
Position 19217: 1.6895347079965676e-05
Position 2295: 6.304511279916682e-06
Position 18964: 5.514643041907996e-06
Position 1454: 5.3169284146897514e-06
Position 1346: 5.248963893922008e-06
Position 1535: 5.0396362974960655e-06
Position 1330: 4.699344636301149e-06
Position 1223: 4.431107670311759e-06
Position 1914: 4.154614331578992e-06
Position 1420: 4.068744186681006e-06
Position 1228: 2.1643561598931216e-06
Position 429: 2.1353322601750557e-06
Position 1697: 1.5431668509012027e-06
Position 938: 9.69466189454978e-07
Position 181: 7.334190263184319e-07
Position 1814: 6.8742827284063e-07
Position 2336: 6.165838752048732e-07
Position 1116: 6.043221706911507e-07
Position 2515: 6.013568309675961e-07
Position 1617: 4.931692018907954e-07
Position 178: 4.904966997112806e-07
Position 678: 4.711413492370165e-07
Position 724: 4.5830736186111057e-07
Position 128: 3.2073127697436366e-07
Position 14892: 2.71088960716348e-07
Position 9852: 5.789323625220592e-08
Position 103: 5.547062011877732e-08
Position 236: 3.224268034613479e-08
Position 1405: 2.3631224855103074e-08
Position 81: 2.0771608122118904e-08
Position 3236: 1.958714117518301e-08
Position 326: 1.733944427605174e-08
Position 170: 1.2585653448011075e-08
Position 364: 9.410416463323101e-09
Position 1213: 8.66563866593164e-09
Position 969: 7.165717608557016e-09
Position 305: 7.067102618628318e-09
Position 1990: 6.325138789584679e-09
Position 1297: 5.279237155871821e-09
Position 1294: 3.2238632529094782e-09
Position 19049: 2.210354735877821e-09
Position 2122: 1.4056852850702598e-09
Position 246: 1.86248269103753e-12
Position 188: 1.1959255725607056e-12
Position 1706: 1.0044483971489947e-12
Position 61: 4.599053072993073e-16
