Gene = A16
Position 1066: 1.1926226384952059e-05
Position 883: 1.1364906927337092e-05
Position 714: 1.0990336806159558e-05
Position 1409: 1.08960457450257e-05
Position 487: 9.701377534081362e-06
Position 799: 8.64848081638705e-06
Position 251: 8.61262806564186e-06
Position 685: 7.0308959606125036e-06
Position 1030: 7.0225465130794286e-06
Position 1294: 6.922749944296439e-06
Position 1416: 5.945585108955649e-06
Position 110: 5.616994081822501e-06
Position 661: 5.185747873102428e-06
Position 573: 4.903578940519782e-06
Position 1669: 4.599792463073003e-06
Position 245: 4.084764400011193e-06
Position 1125: 2.6705146415804485e-06
Position 298: 2.200184236229733e-06
Position 1439: 1.8331607665258006e-06
Position 1553: 1.714816173430902e-06
Position 1270: 1.373622920134212e-06
Position 1063: 1.2405026919006719e-06
Position 1639: 9.869851031707217e-07
Position 1226: 8.408547124448284e-07
Position 658: 7.178174057818518e-07
Position 1299: 5.972073019052702e-07
Position 1315: 4.4793551148663636e-07
Position 1264: 3.384953678684128e-07
Position 1636: 2.895769805055169e-07
Position 1618: 2.6539697103685753e-07
Position 1650: 2.0492786380469011e-07
Position 1275: 1.2322348350150968e-07
Position 1657: 9.660564538720401e-08
Position 466: 7.188791516371046e-08
Position 579: 5.5925084327792294e-08
Position 1451: 3.586905231158586e-08
Position 461: 3.240692116439097e-08
Position 1475: 2.8647764982846346e-08
Position 83: 2.3825056248108624e-08
Position 381: 1.226455243628991e-08
Position 343: 8.396132851708889e-09
Position 420: 7.3900293214641025e-09
Position 1608: 7.382721098866077e-09
Position 331: 4.642459831309164e-09
Position 388: 3.1953200035318297e-09
Position 112: 9.440924443624633e-11
Position 328: 1.241988372467558e-11
Position 393: 4.352289288858007e-12
Position 99: 1.4954296043652554e-13
Position 121: 1.0804002384219834e-13
Position 101: 2.452499786120241e-15
Position 236: 1.5085713318172444e-15
Position 316: 1.5288080750341442e-17
Position 214: 4.032746586455124e-21
