Gene = Ggamma30A
Position 1115: 8.75802936954039e-20
Position 1708: 3.51761233246078e-20
Position 758: 2.323249892389546e-20
Position 888: 2.197551502715062e-20
Position 779: 1.916573845700241e-20
Position 722: 1.4174585288175823e-20
Position 564: 9.246025098275534e-21
Position 558: 8.268196869142225e-21
Position 1112: 9.090009082816964e-22
Position 586: 3.6156289780244584e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 34492: 0.9999999843727814
Position 15902: 0.5435422355866483
Position 15725: 0.04348765441763611
Position 19898: 1.1682886662915417e-08
Position 16109: 1.4818474372657067e-09
Position 17368: 1.183090845606665e-09
Position 17411: 8.694757654977842e-10
Position 16168: 3.0345884753948323e-10
Position 16230: 2.8450452751546854e-10
Position 16145: 1.302343978147438e-10
Position 17221: 1.1146030121980007e-10
Position 17144: 1.0178174557319735e-10
Position 16249: 9.599871809820918e-11
Position 16762: 4.6810994089026796e-11
Position 16281: 3.3229318426363356e-11
Position 14141: 9.600229647940459e-12
Position 13573: 6.620375461100136e-12
Position 11988: 3.323820364400651e-12
Position 13890: 1.977295978270626e-12
Position 12770: 7.6080523694585e-13
Position 11345: 4.303171121026662e-13
Position 10323: 3.993541993201178e-13
Position 9907: 3.813031339787837e-13
Position 12388: 3.6158353237123356e-13
Position 12645: 3.150410472354834e-13
Position 10262: 2.730373577540176e-13
Position 12279: 2.6439293078976055e-13
Position 11943: 2.5278692120741175e-13
Position 11994: 1.8988047599892193e-13
Position 374: 1.7714951795117997e-13
Position 11393: 1.6038957439137336e-13
Position 11965: 1.5840368494495856e-13
Position 11270: 1.4698776978852025e-13
Position 10738: 1.4348412646597997e-13
Position 1027: 8.693232747162267e-14
Position 329: 4.8090332376789936e-14
Position 10811: 3.1469040662365683e-14
Position 332: 1.8958063044410474e-14
Position 540: 1.721200945468261e-14
Position 1524: 1.610262710986383e-14
Position 179: 1.5398074235795954e-14
Position 1636: 1.0664682961571889e-14
Position 381: 1.0195109136776615e-14
Position 193: 7.973378120441269e-15
Position 8666: 7.852280458058756e-15
Position 2068: 5.218851491409318e-15
Position 3437: 4.796510337581235e-15
Position 1176: 4.361205691054743e-15
Position 1537: 3.9310059353626274e-15
Position 9044: 3.3603770633181475e-15
Position 1283: 3.327999720158078e-15
Position 349: 3.106876861434169e-15
Position 952: 2.4081632216828536e-15
Position 2927: 1.5009174064343927e-15
Position 396: 1.3714047546903546e-15
Position 7763: 1.228546790413796e-15
Position 4989: 1.1803532272317882e-15
Position 432: 1.0343877441848405e-15
Position 1977: 9.39462411677113e-16
Position 252: 7.276202797567718e-16
Position 2467: 6.279744654813407e-16
Position 4966: 4.580372216382886e-16
Position 2503: 3.823756647259009e-16
Position 7034: 3.404976036509113e-16
Position 5968: 2.6271395702829565e-16
Position 3329: 2.566364365243709e-16
Position 3904: 1.5406598711573396e-16
Position 5797: 1.2425349863793364e-16
Position 2704: 1.161525757412218e-16
Position 4227: 1.0842998811590035e-16
Position 2351: 1.0818129809009462e-16
Position 5736: 1.0183416155118166e-16
Position 3054: 4.7811116127985334e-17
Position 5036: 3.5704310627255304e-17
Position 5023: 3.151814557442216e-17
Position 4032: 2.466397632162843e-17
Position 454: 2.267445259275626e-17
Position 4677: 1.7054449762356978e-17
Position 1288: 1.077431685069157e-17
Position 3495: 7.711741074519755e-18
Position 3847: 6.859201817759459e-18
Position 3591: 5.0021476991546436e-18
Position 873: 2.6367481770570376e-18
Position 1335: 2.5657450002231565e-18
Position 1122: 2.460718025485962e-18
Position 903: 1.8932175306268887e-18
Position 1420: 1.3301174569019822e-18
Position 1801: 1.2733632406807092e-18
Position 1152: 7.710884566801545e-19
Position 1083: 6.140743391057723e-19
Position 403: 5.047065769278726e-19
Position 806: 4.400125784693653e-19
Position 722: 2.1491658155910814e-19
Position 698: 1.4512093756945417e-19
Position 564: 1.0533722824873173e-19
Position 558: 7.283296478800561e-20
Position 598: 4.4301520526423876e-20
Position 615: 2.5064151038987645e-20
Position 202: 1.2314279810282717e-20
Position 446: 4.385750154077087e-21
Position 340: 3.3315989647275234e-21
Position 584: 3.156071246688265e-21
Position 414: 1.9560844882588135e-21
Position 685: 1.6950169712912658e-21
Position 389: 2.827547431838849e-23
Position 648: 1.3980303196162721e-24
