Gene = del
Position 931: 1.9061873147394725e-05
Position 1979: 1.6403783201091413e-05
Position 487: 1.6218520686795793e-05
Position 555: 1.579022269506674e-05
Position 1918: 1.4397944160334807e-05
Position 825: 1.3954396221472679e-05
Position 178: 1.3457593337882444e-05
Position 260: 9.251227643607412e-06
Position 1008: 5.985684255897148e-06
Position 502: 5.776156703243275e-06
Position 249: 2.9555648495309562e-06
Position 131: 1.2887914936807462e-06
Position 222: 2.6235619507687416e-07
Position 780: 1.965258863949584e-07
Position 61: 1.545077637965992e-07
Position 1444: 1.3523415394671579e-07
Position 381: 2.589995249625662e-08
Position 509: 2.302452103903391e-08
Position 392: 2.5212087422043263e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 409: 0.988924539421493
Position 1660: 0.8299961421357398
Position 722: 0.6850299304184816
Position 2957: 0.22406759053388633
Position 2605: 0.19204485454740017
Position 2146: 0.0791509220527209
Position 1463: 0.06423306094883849
Position 2511: 0.060534933948900436
Position 741: 0.05319277117398171
Position 2656: 0.047663566391410755
Position 1349: 0.025164899900116697
Position 3048: 0.022787681581907884
Position 2243: 0.014765765796779224
Position 1402: 0.011466671470317494
Position 1918: 0.01142301058196461
Position 1178: 0.010481497204800053
Position 2140: 0.010335680426006749
Position 2804: 0.008675171768625846
Position 1238: 0.005894491406478526
Position 918: 0.004195349795498315
Position 2989: 0.003788474065421539
Position 2333: 0.00364982065937113
Position 91: 0.003338418947169289
Position 927: 0.0033112552316943156
Position 2705: 0.0022320793585161912
Position 1405: 0.0019496398825331245
Position 1093: 0.0016258973973470776
Position 2527: 0.0015005576512423047
Position 234: 0.001316237066848515
Position 1751: 0.0010984133199774485
Position 736: 0.0010574712911724587
Position 155: 0.0009912921887734584
Position 992: 0.0007657790161938183
Position 1477: 0.0007499552141985243
Position 297: 0.0006341839580994833
Position 1777: 0.0005781999198406524
Position 2339: 0.0005695922418031047
Position 206: 0.0005602054499288674
Position 643: 0.0005592103514434454
Position 2468: 0.0005319708968354092
Position 3063: 0.0005240950932684978
Position 3069: 0.00046721919478907463
Position 2048: 0.00038184395817509096
Position 80: 0.00034400694548280874
Position 1382: 0.00032420910377151433
Position 3383: 0.0002973693838314243
Position 2414: 0.0002907515812557522
Position 192: 0.00023198179242061114
Position 1665: 0.0002192185930602588
Position 2228: 0.00021708610069955383
Position 1906: 0.00020644601405506491
Position 2697: 0.00017134802317648218
Position 2309: 0.00011098934860433521
Position 500: 8.370674213297628e-05
Position 850: 5.6296202131981364e-05
Position 1078: 5.038542214277493e-05
Position 1096: 4.686477830926908e-05
Position 167: 4.266764990776923e-05
Position 685: 3.40092105418437e-05
Position 341: 1.9197855421918487e-05
Position 447: 1.609878919936055e-05
Position 1761: 1.421234286873026e-05
Position 1132: 9.609427140889652e-06
Position 1039: 8.41946299396638e-06
Position 436: 8.002490117759217e-06
Position 1724: 3.996577232585154e-06
Position 453: 2.762018157618265e-06
Position 766: 2.3006290429885494e-06
Position 433: 1.8813756896289911e-06
Position 1017: 1.5180030351357292e-06
Position 587: 1.4263056517851547e-06
Position 578: 1.1727746322897207e-06
Position 467: 1.159456928650284e-06
Position 271: 7.662026741834165e-07
Position 311: 7.204369423088263e-07
Position 756: 6.887534572336917e-07
Position 372: 6.836517303120949e-07
Position 1690: 4.801986739155123e-07
Position 429: 4.6837854949880107e-07
Position 276: 4.1576104211581326e-07
Position 260: 3.739215935441616e-07
Position 267: 2.1419372365822077e-07
Position 458: 4.7846952561853785e-08
Position 321: 4.7566140448106583e-08
Position 565: 3.560336587686118e-08
Position 57: 2.569774266987843e-08
Position 273: 1.9184621625428777e-08
Position 561: 1.9143949141495904e-08
Position 855: 1.1005453707454585e-08
Position 763: 8.32954592983568e-09
Position 812: 7.060431286903856e-09
Position 212: 3.0007495706541294e-09
Position 317: 1.8274925231763793e-09
Position 350: 4.996675590421721e-13
