Gene = Fas3
Position 1682: 6.369449973188338e-11
Position 1833: 2.0366972701100496e-11
Position 1621: 1.3274205320086954e-11
Position 5209: 1.0740010026879975e-11
Position 5018: 5.598819917047781e-12
Position 1303: 2.605387377272136e-13
Position 1444: 1.6644567084965267e-13
Position 1321: 9.120480492943255e-14
Position 1324: 8.342195300609414e-15
Position 59: 5.842676870554888e-15
Position 2743: 3.88351450410558e-15
Position 207: 2.85869342005199e-15
Position 217: 2.8558089031627185e-15
Position 122: 2.4450102526657596e-15
Position 348: 1.3996607579964708e-15
Position 598: 6.313332448016329e-16
Position 20: 4.994895986873939e-16
Position 2113: 2.61339446074491e-16
Position 6: 4.2216221716486716e-17
Position 33: 4.1315508480279175e-17
Position 74: 2.762472608774495e-17
Position 120: 6.073453854801607e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 27632: 0.7748248690282692
Position 23040: 0.14540301214542212
Position 24530: 0.08909024528806936
Position 976: 0.03551557681439557
Position 23988: 0.034872133536769705
Position 23830: 0.006987038024289657
Position 13282: 0.0051748111768058665
Position 14164: 0.004184778623029191
Position 937: 0.002136069547088356
Position 704: 0.0012932219445599181
Position 21106: 0.0009069317008755945
Position 13641: 0.0006913650988698053
Position 996: 0.0005047120366968952
Position 1063: 0.00046286561481227425
Position 845: 0.0004475559244668434
Position 743: 0.0003133755700826577
Position 767: 0.0002866932523165083
Position 798: 0.00025451987236642956
Position 628: 0.0001347610064077017
Position 1089: 0.00011943451826094585
Position 616: 6.515079437039065e-05
Position 732: 5.601851891480072e-05
Position 1036: 3.8328264056377014e-05
Position 283: 2.9887026905899567e-05
Position 2209: 2.9260039757007237e-05
Position 370: 2.5057936331283406e-05
Position 1468: 1.2991707102383294e-05
Position 8391: 1.2971915935459995e-05
Position 3302: 1.2124447923681403e-05
Position 2285: 9.739673642316596e-06
Position 1714: 9.454486107322653e-06
Position 1755: 7.867617616661699e-06
Position 17394: 6.16076286118503e-06
Position 2994: 4.927418939314021e-06
Position 8361: 4.73928506623337e-06
Position 15571: 3.865021578138846e-06
Position 1426: 3.129659942675001e-06
Position 2148: 2.979821535829518e-06
Position 1815: 2.697756085690591e-06
Position 1540: 2.2027468913957906e-06
Position 2168: 2.200447645985834e-06
Position 2777: 2.146137752077713e-06
Position 1895: 2.039349071662572e-06
Position 3184: 1.6315151761165381e-06
Position 1577: 1.4654910131591207e-06
Position 2318: 1.1526184027674314e-06
Position 16277: 7.257887424204026e-07
Position 16326: 7.162880572431231e-07
Position 1915: 7.054979058642967e-07
Position 2225: 6.490083171629493e-07
Position 1303: 5.712811780430919e-07
Position 1506: 5.475430428826997e-07
Position 14476: 2.0162163267692318e-07
Position 13681: 9.832639479145626e-08
Position 11349: 1.624094909152932e-08
Position 11024: 1.3875111683190487e-08
Position 11850: 9.659347124693486e-09
Position 11213: 7.922833644496847e-09
Position 8569: 2.5530689052841325e-09
Position 8902: 8.440339526046481e-10
Position 6935: 7.671461568131743e-10
Position 9403: 4.5826432761267107e-10
Position 8472: 3.0475232925733775e-10
Position 7440: 1.0356313235962323e-10
Position 8336: 4.333238045947455e-11
Position 6307: 3.348865409192329e-11
Position 6838: 3.3459066624992775e-11
Position 6817: 2.8215864904848546e-11
Position 1412: 2.7398565060680434e-11
Position 5265: 2.6634331111889292e-11
Position 7912: 2.3644265525042527e-11
Position 1253: 1.3155395696827437e-11
Position 5070: 1.0640031807646775e-11
Position 3865: 8.829135324417816e-12
Position 496: 7.727213457411904e-12
Position 546: 6.443757075835068e-12
Position 4826: 4.736343835756539e-12
Position 1280: 4.299951147167674e-12
Position 543: 4.2556109710812315e-12
Position 906: 4.228905164573818e-12
Position 6691: 4.071010453340391e-12
Position 1447: 3.909169801678405e-12
Position 1309: 3.869075801797933e-12
Position 5689: 3.0292623158775437e-12
Position 6338: 3.009760318886491e-12
Position 4994: 2.6335351558887106e-12
Position 888: 2.5787354308741514e-12
Position 4866: 2.268964221044047e-12
Position 4600: 2.11407201173346e-12
Position 3532: 2.0258999950334053e-12
Position 1084: 1.70611036791915e-12
Position 1009: 1.6883446595623393e-12
Position 432: 1.6612090843450427e-12
Position 727: 1.6004294076846282e-12
Position 1206: 1.2723920936338855e-12
Position 1209: 1.2005621222274224e-12
Position 236: 9.001212165399245e-13
Position 3842: 4.934839223708485e-13
Position 215: 2.945679733421144e-13
Position 567: 2.8776129903022713e-13
Position 1966: 1.4771500155939582e-13
Position 899: 1.4446164103279309e-13
Position 287: 1.218136144540235e-13
Position 2165: 1.0095751958439784e-13
Position 2621: 6.813530531865702e-14
Position 2112: 4.283900784673549e-14
Position 470: 4.1150765050747833e-14
Position 438: 3.3043450344220643e-14
Position 2040: 3.168558589041635e-14
Position 1098: 1.5316074578908707e-14
Position 1558: 7.454125108686179e-15
Position 1779: 7.0498293297330145e-15
Position 1845: 1.496123318992669e-15
Position 650: 3.587492115729801e-19
Position 157: 2.4644727547525277e-19
