Gene = mtgo
Position 602: 1.5581306367921516e-10
Position 4743: 1.2830864973164971e-10
Position 5836: 6.752463131103607e-11
Position 4495: 6.520355462571305e-11
Position 4361: 5.822340966987019e-11
Position 1033: 5.557087759047436e-11
Position 1795: 4.9826766376259857e-11
Position 1898: 4.3799906623865645e-11
Position 5162: 3.076099515770935e-11
Position 131: 2.571543630187521e-11
Position 336: 2.431097766667995e-11
Position 384: 2.387961797563218e-11
Position 1074: 1.4660942654493982e-11
Position 4184: 1.3401649530815081e-11
Position 2346: 1.295251318844629e-11
Position 4153: 1.1621961334873759e-11
Position 2296: 1.0442555558283799e-11
Position 2250: 8.979828166658355e-12
Position 923: 6.756184511276543e-12
Position 2909: 6.186458767324699e-12
Position 1092: 4.7333033628603934e-12
Position 2038: 4.629207826372462e-12
Position 2971: 2.7093748871024975e-12
Position 2822: 2.5742156627190593e-12
Position 2059: 1.8266456159942973e-12
Position 715: 1.7374485609179327e-12
Position 2825: 1.6114128645854016e-12
Position 101: 1.370435093790592e-12
Position 795: 1.3249379622923652e-12
Position 2456: 1.281026454897301e-12
Position 73: 1.7594718132444265e-16
Position 331: 6.972338510765936e-17
Position 340: 3.6364611706804334e-18
Position 440: 2.3476667866262066e-18
