Gene = Df31
Position 2919: 6.682461713422995e-05
Position 3508: 4.6799364885739276e-05
Position 903: 4.102779748899351e-05
Position 2460: 3.987741520465647e-05
Position 1799: 3.8860616173254615e-05
Position 2667: 3.709910132835837e-05
Position 3461: 2.0355291382631477e-05
Position 397: 1.575687982894047e-05
Position 24: 1.4741964449767153e-05
Position 30: 1.3483080439809308e-05
Position 309: 1.2704458419519988e-05
Position 124: 1.1099455365019753e-05
Position 270: 1.0242479288683016e-05
Position 2904: 7.728873080076925e-06
Position 3433: 6.651208490089243e-06
Position 625: 6.186527121065706e-06
Position 3444: 5.7741945852522285e-06
Position 733: 4.3040283869344764e-06
Position 191: 4.2072273316037256e-06
Position 3128: 4.0833441435563525e-06
Position 38: 3.415756581641425e-06
Position 208: 2.5271025339152095e-06
Position 3086: 2.2523280132008623e-06
Position 395: 2.2071562951974317e-06
Position 354: 1.973851667745739e-06
Position 2783: 1.9323833941961254e-06
Position 462: 1.910591364724259e-06
Position 2468: 1.63652266279321e-06
Position 300: 1.4513358506711336e-06
Position 158: 1.3814858539243498e-06
Position 1924: 8.561391836828142e-07
Position 183: 7.378513290451001e-07
Position 2536: 5.521179485315749e-07
Position 1722: 5.084777545746402e-07
Position 2479: 4.7514106805158866e-07
Position 1937: 4.565072775584855e-07
Position 1148: 3.565818074031105e-07
Position 14: 3.488841899608476e-07
Position 2207: 3.2039899651635043e-07
Position 141: 3.0168420540472753e-07
Position 651: 2.98007438683983e-07
Position 2552: 2.713085080659328e-07
Position 2491: 2.0036745180105444e-07
Position 2755: 1.896942837255376e-07
Position 32: 6.751224959828411e-08
Position 249: 6.512398828854106e-08
Position 1046: 4.574239139363756e-08
Position 570: 4.151456671825062e-08
Position 2417: 3.0292099425540584e-08
Position 906: 2.4728276318963352e-08
Position 3372: 1.7283685634740266e-08
Position 286: 1.455716315355407e-08
Position 193: 3.0282235678738184e-09
Position 683: 1.8128858808623453e-09
Position 706: 7.150331285932584e-10
Position 2195: 4.677515912246008e-10
Position 666: 4.023092977097952e-10
Position 464: 5.887739754408454e-14
Position 485: 4.684620531044072e-14
Position 418: 2.993975251361039e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9995609853047015
Position 1722: 0.6541086954050366
Position 1618: 0.14621436392930962
Position 2429: 0.1123547279983359
Position 3578: 0.08003380440850416
Position 453: 0.049506109992464964
Position 922: 0.02866361870188559
Position 1083: 0.021317945825032013
Position 1198: 0.01672677254030647
Position 3431: 0.012001385050205274
Position 3394: 0.011007908173912333
Position 1439: 0.00957256192384267
Position 3136: 0.008157382145083795
Position 1635: 0.00620252608343289
Position 1044: 0.005722800950574244
Position 785: 0.004278020800238394
Position 987: 0.0038440224894139186
Position 329: 0.003288083526043584
Position 3196: 0.0032291639458627147
Position 3184: 0.0029738513454107226
Position 958: 0.0024075075472910143
Position 2960: 0.0023399042566851335
Position 1620: 0.002087105633350533
Position 1275: 0.0019291110718572585
Position 1744: 0.0018964691391734542
Position 2943: 0.0017102232420845992
Position 2408: 0.0016891087723374758
Position 1579: 0.0016771958325932583
Position 1585: 0.0015640605593294124
Position 315: 0.001312937832785555
Position 2662: 0.001293865922440809
Position 981: 0.0012281116550706547
Position 433: 0.001213933341970288
Position 369: 0.0011469176630599944
Position 3494: 0.0011328034678988125
Position 1100: 0.00083553008566026
Position 155: 0.0006598140465602565
Position 3407: 0.0006174387417510626
Position 2977: 0.0005608482879068727
Position 3474: 0.0005420831884749739
Position 906: 0.0005386485165080054
Position 3071: 0.0005375922239455937
Position 1658: 0.0004452078063821123
Position 1653: 0.00043858673884291315
Position 3250: 0.000410347798829786
Position 1372: 0.0003165168326469222
Position 1632: 0.0003116055395278674
Position 183: 0.00028590040662659807
Position 903: 0.00026242989668362373
Position 1321: 0.0002514388189249268
Position 1774: 0.00023961153248540623
Position 1414: 0.0001599640237246416
Position 744: 0.00015741905353076639
Position 2744: 0.00014169692547588733
Position 2398: 9.819117782108457e-05
Position 230: 8.304892943023579e-05
Position 2667: 6.830299127657136e-05
Position 813: 6.048727580952798e-05
Position 573: 5.980642782633088e-05
Position 1237: 5.959387189853346e-05
Position 2919: 5.8273998414509775e-05
Position 2684: 5.280050635327458e-05
Position 658: 3.960450861132957e-05
Position 541: 3.9569394722300086e-05
Position 2544: 3.8689230545478726e-05
Position 2689: 3.1279690736729265e-05
Position 2536: 2.7705601018465356e-05
Position 2200: 2.33296485685261e-05
Position 85: 1.4338535719322387e-05
Position 3037: 8.32579559834915e-06
Position 609: 3.1757681809955026e-07
Position 101: 3.131010878549643e-07
Position 2720: 2.036666832668534e-07
Position 217: 1.4001676663688034e-07
Position 2765: 1.2381315728055268e-07
Position 90: 5.743381739363734e-08
Position 625: 3.1961145148549046e-08
Position 99: 2.214350190682061e-08
Position 263: 4.4734833277905645e-09
Position 65: 8.301826810184423e-10
Position 73: 4.8155407388670046e-11
Position 257: 3.9844249014045835e-13
