Gene = Fank1
Position 1241: 0.0003276823785319312
Position 5191: 0.00031920678084269735
Position 3072: 0.00031849507814155797
Position 3426: 0.00030687935207631583
Position 3885: 0.0002436106072024482
Position 2767: 0.0002129766299594261
Position 5210: 0.0001963366534438917
Position 4958: 0.00017262354938137568
Position 2091: 0.0001697585313041125
Position 2037: 0.00015818899739678335
Position 4114: 0.0001520477748465275
Position 370: 0.0001331456775603962
Position 2109: 0.00012736404696957939
Position 1432: 0.00010908365482112098
Position 2169: 9.494536775431274e-05
Position 1787: 8.896925833107548e-05
Position 804: 8.779703781677728e-05
Position 1067: 8.342911099928517e-05
Position 5270: 8.141962109222289e-05
Position 6310: 5.639657756331875e-05
Position 5662: 5.1958748310361145e-05
Position 800: 4.496499427743896e-05
Position 6185: 4.048422516779363e-05
Position 6403: 3.839656168952735e-05
Position 2902: 3.739370177741065e-05
Position 2366: 3.474838825406047e-05
Position 6579: 3.3070671182259226e-05
Position 6161: 3.134965866237361e-05
Position 4961: 3.0157683126636343e-05
Position 5112: 2.556261670075347e-05
Position 5577: 2.28322575712675e-05
Position 5390: 2.1829597374901557e-05
Position 5220: 1.723080224530021e-05
Position 4236: 1.5673855424022108e-05
Position 5057: 1.5536853323893102e-05
Position 194: 1.5265212994972873e-05
Position 4155: 1.244469748284632e-05
Position 2740: 1.0342827641255621e-05
Position 893: 9.795064769518986e-06
Position 3539: 9.714744913122809e-06
Position 1823: 9.277021812296192e-06
Position 4060: 8.935381506985762e-06
Position 2387: 7.070907600823409e-06
Position 779: 6.255943366662379e-06
Position 2983: 4.84427637372373e-06
Position 1042: 4.417721940613924e-06
Position 2597: 4.28968396709175e-06
Position 335: 3.9160602251878275e-06
Position 885: 3.856522200128138e-06
Position 226: 2.7667023543003413e-06
Position 1446: 2.620331546842712e-06
Position 1521: 2.5843387922786735e-06
Position 1757: 2.2841196697640825e-06
Position 203: 2.0065139788092107e-06
Position 1084: 1.834478000295257e-06
Position 524: 1.2213587205580207e-07
Position 2129: 1.1079197891833993e-07
Position 1344: 4.9673634355442005e-08
Position 659: 4.914085186532577e-08
Position 1116: 3.611592862388018e-08
Position 1103: 2.0447569461168574e-08
Position 703: 1.8968475334362915e-08
Position 376: 1.497927815490745e-08
Position 664: 1.2503613453445691e-08
Position 1124: 8.990004485072356e-09
Position 700: 6.638520829113298e-09
Position 1296: 6.053473302015682e-09
Position 1936: 2.877702788238109e-09
Position 1165: 1.430213130913566e-09
Position 1303: 1.267931191062255e-09
Position 499: 1.077345205332737e-09
Position 526: 4.1852661534272576e-10
Position 251: 4.1648122374298276e-10
Position 260: 3.7423342412556206e-10
Position 268: 2.0713846098643383e-10
Position 390: 3.085043416051057e-11
