Gene = A330070K13Rik
Position 562: 2.896563995714012e-10
Position 580: 9.083910068293134e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5504: 0.5356732509552965
Position 2316: 0.3281785221414353
Position 3304: 0.2766813489193017
Position 3261: 0.13954947644652746
Position 2979: 0.07396705869989165
Position 5507: 0.04392803223972716
Position 3063: 0.03865515414439655
Position 3335: 0.03725367800329081
Position 5310: 0.023615648936142923
Position 5703: 0.02131573620669578
Position 2046: 0.01846350478128435
Position 2356: 0.017871115605767644
Position 3067: 0.017595038940907002
Position 3789: 0.015420912613397314
Position 3551: 0.011581226854542931
Position 768: 0.010645112937192459
Position 3958: 0.007918307646746345
Position 3031: 0.006482797620536767
Position 745: 0.006241500651889051
Position 1619: 0.0054561405928545605
Position 5237: 0.004132271748311184
Position 3509: 0.003750790554463726
Position 2283: 0.0036846646302355532
Position 3484: 0.0036830429621380134
Position 1972: 0.0032426783790679243
Position 5650: 0.0031401620678441038
Position 945: 0.00255213002315237
Position 2989: 0.0024491132691431827
Position 3624: 0.0023725137049835864
Position 3088: 0.0023199837536897507
Position 1747: 0.002273613865350731
Position 5077: 0.0022647717495317384
Position 3410: 0.0022561347834404864
Position 2174: 0.0021289428865008207
Position 2319: 0.0020959211740483857
Position 4112: 0.0020388102698957462
Position 1158: 0.002021988095235622
Position 2253: 0.0018568241781409779
Position 1545: 0.0017420843562099173
Position 1305: 0.0017333833473370157
Position 3146: 0.0017293050683304101
Position 1788: 0.0016769063640091945
Position 3274: 0.001607422963702725
Position 1034: 0.001583242864196947
Position 1531: 0.001581153870390625
Position 3196: 0.0015502666183911103
Position 4143: 0.0014825097137420278
Position 3446: 0.0014480204141323063
Position 3337: 0.0014023859252235145
Position 3825: 0.0014003513029483049
Position 4957: 0.0013559729934608277
Position 3912: 0.0011019952075864068
Position 3770: 0.0010667324010666531
Position 4995: 0.0010444264293533053
Position 5164: 0.0009936214661905955
Position 5002: 0.0009509134479367918
Position 1259: 0.0009374920443916737
Position 1663: 0.0009283654807537578
Position 1908: 0.000907157083790868
Position 3211: 0.000821684891769301
Position 2146: 0.0007587287235727428
Position 1097: 0.0006705843783796077
Position 5393: 0.0006496940867040114
Position 3111: 0.0006251246427984014
Position 1023: 0.0006149304729053921
Position 1733: 0.0005903079395914641
Position 2220: 0.0005319946494739488
Position 173: 0.0005121047302302105
Position 2060: 0.00048714216813515937
Position 2637: 0.00047467205247515507
Position 3580: 0.00046591562535923126
Position 1449: 0.00041572017385769003
Position 2641: 0.00041148136464191237
Position 253: 0.0003375932266036971
Position 3733: 0.0003301959580317023
Position 798: 0.0003208167397155047
Position 4054: 0.0003031796240253935
Position 2633: 0.00030303695902740395
Position 2239: 0.00029611808674948054
Position 897: 0.00028089156416164136
Position 2649: 0.0002801732103050961
Position 5056: 0.0002779069448931044
Position 1237: 0.0002756436055590113
Position 1795: 0.000275006418863902
Position 1067: 0.00025659000650852815
Position 1753: 0.00025424661403065815
Position 1014: 0.00024307898151415842
Position 1332: 0.0002206827557477077
Position 2131: 0.00020762999994698207
Position 2184: 0.00019471152327196731
Position 837: 0.00016967027761700522
Position 1933: 0.00015378402090055862
Position 2625: 0.0001523225500916036
Position 1045: 0.00014426914817568953
Position 904: 0.0001440700596673627
Position 1117: 0.00013912567790962747
Position 1981: 0.000136529665434918
Position 1581: 0.00012511501170771135
Position 1008: 0.00012490828461772497
Position 1287: 0.00011331668736811265
Position 1882: 0.0001123008998007292
Position 2113: 0.0001068230801019513
Position 1921: 0.00010002046660618878
Position 1309: 9.846965240567134e-05
Position 394: 9.135893075151772e-05
Position 1392: 7.030283704772708e-05
Position 475: 5.859919648433205e-05
Position 317: 4.4784358109137684e-05
Position 1552: 2.4176172688023962e-05
Position 1458: 2.29970885234357e-05
Position 205: 1.3720114198210146e-05
Position 842: 9.937084080068071e-06
Position 1054: 9.927482997377523e-06
Position 200: 6.779710714258046e-06
Position 878: 6.350957184598943e-06
Position 1075: 4.3473533043974233e-07
Position 781: 3.456064956794981e-08
