Gene = Medag
Position 321: 0.00021808578548600583
Position 539: 0.00019348632618633766
Position 1007: 0.0001400313143594254
Position 2509: 0.00013418334466011088
Position 5328: 0.00011808638845553035
Position 2561: 0.00010588529109957764
Position 3683: 6.70289177883828e-05
Position 3870: 5.052657878858779e-05
Position 596: 4.219113585600869e-05
Position 2899: 4.214450420470535e-05
Position 477: 4.044099151426364e-05
Position 213: 3.890258741382646e-05
Position 202: 3.7705057877950566e-05
Position 3438: 3.523385936357675e-05
Position 2249: 3.494377472312635e-05
Position 825: 3.4916307764698975e-05
Position 4573: 3.284224311703667e-05
Position 3157: 3.150714834420795e-05
Position 929: 2.5279339524119272e-05
Position 952: 2.5103119963372603e-05
Position 221: 2.4218786682223718e-05
Position 1038: 2.3050430449856502e-05
Position 249: 2.2979517114464565e-05
Position 168: 1.6318261612054596e-05
Position 1768: 1.2077052550379543e-05
Position 648: 1.1002935594433089e-05
Position 3591: 9.240206745264557e-06
Position 793: 3.966795515706994e-06
Position 590: 2.8547078398628065e-06
Position 206: 2.5409673813043386e-06
Position 1222: 2.2781304944820165e-06
Position 147: 1.5954968785814078e-06
Position 2162: 1.4751813857537475e-06
Position 215: 1.07733606952221e-06
Position 1598: 5.850760437847573e-07
Position 227: 5.722598213032048e-07
Position 504: 4.514846240014407e-07
Position 943: 2.4787277501134263e-07
Position 161: 1.984312052132884e-07
Position 1776: 1.9365220104025093e-07
Position 141: 1.585730022150658e-07
Position 72: 7.719800151307478e-08
Position 651: 5.8439243716868924e-08
Position 510: 3.946743800543355e-08
Position 151: 2.9366961826892845e-08
Position 857: 2.2141856904233672e-08
Position 100: 1.7263687744389234e-08
Position 721: 1.0471412622346391e-08
Position 83: 4.941516955299867e-09
Position 506: 2.4313214591294058e-09
Position 108: 1.1938173721845146e-11
Position 110: 3.6259052502294133e-12
Position 120: 3.579531166219253e-12
