Gene = A830018L16Rik
Position 1229: 0.00035954980350451045
Position 354: 0.00034186487191576533
Position 410: 0.00028096089938523607
Position 2431: 0.0002672081176880205
Position 1255: 0.0002634102038914926
Position 1407: 0.00025446632636764386
Position 4487: 0.00024676638153699675
Position 1047: 0.00023838493705434193
Position 8758: 0.00023016796556667648
Position 1145: 0.0002296498971295342
Position 1197: 0.00019441747759285448
Position 7190: 0.00019329873416327727
Position 1473: 0.00017100072091532595
Position 315: 0.00016189949981193402
Position 731: 0.00014401992389389488
Position 7800: 0.00013962905609258156
Position 2435: 0.00013556284038456935
Position 420: 0.00012887949152125478
Position 6206: 0.00011196450090893228
Position 948: 0.00010694298971661473
Position 405: 8.889749729977341e-05
Position 1458: 8.460460958136803e-05
Position 2064: 8.223004015150182e-05
Position 3753: 6.358321559191714e-05
Position 3001: 4.9209965882840536e-05
Position 3863: 4.8129584319407366e-05
Position 3324: 4.660567940730435e-05
Position 1152: 4.5142535924988126e-05
Position 634: 3.596194433893975e-05
Position 591: 3.454648616511016e-05
Position 1074: 3.387302367672605e-05
Position 1002: 3.0756392373650825e-05
Position 514: 2.78406113629805e-05
Position 347: 2.7320523005357514e-05
Position 3052: 2.4200986300987038e-05
Position 2137: 2.187742121974356e-05
Position 4422: 2.1053575813754696e-05
Position 1712: 1.9964165696109185e-05
Position 954: 1.460709814371221e-05
Position 1981: 1.3220050456946962e-05
Position 1204: 1.3073504856456843e-05
Position 537: 1.2974880594874295e-05
Position 532: 1.218888222888896e-05
Position 1011: 1.2099369529371795e-05
Position 1024: 1.2081000747406196e-05
Position 2117: 1.153486216967736e-05
Position 1730: 1.0294556113936713e-05
Position 1110: 9.668805161354088e-06
Position 1240: 8.600641327244134e-06
Position 721: 8.560310341331104e-06
Position 657: 8.028052838840286e-06
Position 2253: 7.409253126468642e-06
Position 1201: 6.809895997310653e-06
Position 378: 6.515996587128586e-06
Position 1216: 5.660268150566752e-06
Position 1615: 5.440184759713239e-06
Position 1576: 4.6569239576813396e-06
Position 765: 3.983952460320043e-06
Position 757: 3.5290961949257403e-06
Position 659: 3.424920153152354e-06
Position 293: 3.134666925316605e-06
Position 1164: 3.0423347627852306e-06
Position 643: 2.6780564768909553e-06
Position 505: 2.124305841818215e-06
Position 277: 2.0534767856318754e-06
Position 799: 1.4941470766040767e-06
Position 1755: 1.091066173163706e-06
Position 1767: 5.02189048629475e-07
Position 1678: 4.7143107799392103e-07
Position 1735: 3.3665532810794783e-07
Position 2417: 2.535661609545783e-07
Position 1423: 2.5093731730748795e-07
Position 2226: 2.4881074557498737e-07
Position 1277: 1.2320993865749092e-07
Position 386: 1.0648271783745677e-08
Position 736: 9.797678867470384e-09
Position 1439: 7.72943933344088e-09
Position 295: 7.1028303955870275e-09
Position 802: 5.777255491925156e-09
Position 540: 5.0173096152509115e-09
Position 165: 2.5489654186740663e-09
Position 1260: 6.565849203931359e-10
