Gene = Mrfap1
Position 1363: 7.24802729846452e-05
Position 382: 7.210391433584765e-05
Position 520: 6.503055131233337e-05
Position 481: 5.948216677428242e-05
Position 1840: 4.910627631620689e-05
Position 636: 4.873249431972363e-05
Position 388: 4.088676731171521e-05
Position 280: 4.086157506149392e-05
Position 490: 3.948116782631449e-05
Position 91: 3.768728885233267e-05
Position 1688: 3.1626262167336795e-05
Position 256: 2.9187888120850913e-05
Position 408: 2.639994942884103e-05
Position 217: 2.4232422968903752e-05
Position 854: 2.38581535045714e-05
Position 697: 2.3513522217184934e-05
Position 1586: 2.3487901277931773e-05
Position 1271: 2.2604072341658484e-05
Position 220: 1.9972434363225026e-05
Position 394: 1.9207180780478485e-05
Position 1533: 1.7992957711539027e-05
Position 740: 1.7917448286472974e-05
Position 1265: 1.6557850579787577e-05
Position 1125: 1.5763611066691752e-05
Position 403: 1.5210551664328781e-05
Position 732: 1.3840985357447786e-05
Position 1773: 1.1744297397008043e-05
Position 1589: 1.1516958033871027e-05
Position 716: 1.0722611064572858e-05
Position 1719: 9.117020646707543e-06
Position 1601: 8.034065881206308e-06
Position 1032: 7.939225115924067e-06
Position 241: 7.672582448847435e-06
Position 406: 7.66701915008182e-06
Position 1791: 7.254801559184655e-06
Position 1722: 6.006345780123406e-06
Position 1340: 5.362921584402392e-06
Position 289: 5.15278207234355e-06
Position 117: 4.265673004187511e-06
Position 499: 4.2380339735785364e-06
Position 244: 4.214790975476206e-06
Position 747: 3.860383170005097e-06
Position 1896: 3.6566097611961534e-06
Position 211: 3.3523343356322358e-06
Position 124: 2.842573545670316e-06
Position 736: 2.4267099480008365e-06
Position 1342: 2.398470767435147e-06
Position 1405: 2.0806927044552925e-06
Position 508: 1.7727055388047556e-06
Position 536: 1.626848561097185e-06
Position 99: 1.3884300714081941e-06
Position 150: 1.3851047292568924e-06
Position 202: 1.1454497081241553e-06
Position 137: 1.0724060321321873e-06
Position 1871: 9.159766205175364e-07
Position 1891: 9.122215077778404e-07
Position 235: 7.732122237445112e-07
Position 478: 7.591189796142968e-07
Position 168: 6.222968225451672e-07
Position 173: 4.989413282970604e-07
Position 253: 4.853096102982807e-07
Position 355: 3.9453761447057637e-07
Position 538: 2.9320132708474877e-07
Position 541: 2.93000026916429e-07
Position 165: 2.891307765684293e-07
Position 560: 1.687929309138859e-07
Position 547: 1.472263170010759e-07
Position 543: 8.836013088519934e-08
Position 718: 8.73489453207077e-08
Position 170: 8.683828752772493e-08
Position 750: 7.461058325838182e-08
Position 615: 5.1742763469522945e-08
Position 1465: 4.87935386526746e-08
Position 557: 2.749644562042588e-08
Position 1468: 1.3732046100728435e-08
Position 612: 1.3433024396485048e-08
Position 889: 3.250355016037651e-10
Position 574: 3.269966244125427e-13
