Gene = E030018B13Rik
Position 1180: 0.005802175150708759
Position 566: 0.0056574941656982805
Position 2317: 0.004820207563934639
Position 1219: 0.0045495484982509046
Position 333: 0.004542320609499906
Position 536: 0.0045353114411744635
Position 3345: 0.004499538443553241
Position 353: 0.004495182610551119
Position 631: 0.0044831958525940385
Position 2784: 0.003961295652199817
Position 1468: 0.0039025627477683733
Position 2198: 0.0034008597715510934
Position 3547: 0.002851581764685689
Position 2427: 0.0027488965511453384
Position 1998: 0.002586939553384349
Position 1425: 0.0022229450256637646
Position 1812: 0.0019064981740451506
Position 413: 0.0018836605524363568
Position 3187: 0.0017106765609308922
Position 732: 0.001458523307552251
Position 956: 0.0014078426501284319
Position 379: 0.0013601100224613504
Position 474: 0.001353252312144235
Position 363: 0.0012579369577310293
Position 645: 0.0011883428531666536
Position 2416: 0.0011615014516841522
Position 1379: 0.001095273855930102
Position 1664: 0.0010550449497598816
Position 2673: 0.0010190270502134708
Position 572: 0.000843777732868413
Position 2664: 0.0008304106234271325
Position 3653: 0.0005864607778702157
Position 3294: 0.0005812463310078063
Position 668: 0.00040042045634802026
Position 1128: 0.0003773884394241719
Position 2507: 0.0003357141982867665
Position 1947: 0.00033181872300932185
Position 313: 0.0003166834491823199
Position 1935: 0.00030044643532239885
Position 1979: 0.00028515715700515965
Position 2300: 0.0002707201760603285
Position 678: 0.0002512505146781886
Position 1427: 0.0002395166031477893
Position 383: 0.00023498162960781209
Position 3112: 0.00023484619650438872
Position 2896: 0.00023351556744599476
Position 1034: 0.0002072273885187891
Position 2491: 0.00020268569990991315
Position 1173: 0.00018652827887857509
Position 650: 0.00017637573767216263
Position 1111: 0.00015395623400160646
Position 1890: 0.00013569312112982065
Position 3594: 0.00013268976144294753
Position 538: 0.00012242234188659807
Position 1680: 9.554736860983491e-05
Position 1155: 9.476506647965874e-05
Position 1107: 9.411773262997308e-05
Position 257: 8.946377852686382e-05
Position 381: 8.471064005412825e-05
Position 3675: 7.968716027442393e-05
Position 1194: 7.413595509451236e-05
Position 1347: 6.0176787076242934e-05
Position 2532: 5.9692794740880524e-05
Position 2516: 5.1456754244538506e-05
Position 1184: 5.03099571612725e-05
Position 2327: 4.9525486733341e-05
Position 1235: 4.740096858457403e-05
Position 315: 4.7234656751963185e-05
Position 1704: 4.240768395329644e-05
Position 278: 3.8173505224434325e-05
Position 306: 3.732835537350681e-05
Position 739: 3.5240787472197443e-05
Position 1505: 2.2386826234305734e-05
Position 1151: 1.7022360557900885e-05
Position 591: 1.6261368275404637e-05
Position 1116: 1.4358053689288886e-05
Position 1485: 1.374910478991431e-05
Position 2297: 1.0719070959878802e-05
Position 701: 9.165767601559332e-06
Position 826: 7.597302032296722e-06
Position 2721: 3.2262873293292646e-06
Position 295: 2.8806055659149186e-06
Position 285: 2.869431469883358e-06
Position 1489: 2.710293664236012e-06
Position 647: 2.2006108302454353e-06
Position 577: 9.251709957902852e-07
Position 683: 9.015750582051379e-07
Position 968: 8.369203144732652e-07
Position 961: 7.750374497574894e-07
Position 749: 6.560901592951241e-07
Position 179: 2.2288557480087425e-07
Position 504: 1.7938793095726418e-07
Position 202: 1.7172503683571625e-07
Position 1237: 1.1903151480644376e-07
Position 1837: 8.285497316309076e-08
Position 585: 1.6787720619984414e-08
Position 217: 7.62929270007296e-09
Position 210: 4.803664660600844e-09
Position 546: 3.4461249063787326e-09
Position 508: 2.8418919767934275e-09
Position 147: 2.270272768237155e-09
Position 100: 2.110675261136337e-09
Position 204: 1.9487217183865897e-09
Position 152: 1.4594765805483243e-09
Position 243: 1.4479891565582014e-09
Position 188: 1.183663907293257e-09
Position 239: 4.377584291136689e-10
Position 215: 3.553978299040617e-10
Position 223: 3.390607465536252e-10
Position 597: 3.131354244835656e-10
Position 232: 1.3700538086906081e-10
Position 133: 3.41393161146616e-11
Position 130: 8.413200320449317e-12
Position 141: 3.2059778639189447e-12
