Gene = Bri3bp
Position 1677: 1.7830923245591182e-06
Position 1649: 1.6517365482265494e-06
Position 632: 1.503652346728836e-06
Position 117: 1.2034581743771328e-06
Position 1070: 1.1820359466735244e-06
Position 806: 9.374054083146438e-07
Position 1633: 9.046994638155741e-07
Position 1588: 1.398158405102145e-07
Position 814: 1.0991239814364057e-07
Position 1006: 1.0722547287186797e-07
Position 976: 6.950148582952452e-08
Position 263: 1.2771906446389232e-08
Position 708: 8.304474727104265e-09
Position 278: 2.5051784801727253e-09
Position 606: 2.3187702638117456e-09
Position 363: 2.1733940209845912e-09
Position 964: 1.6893126630876668e-09
Position 392: 1.583002618681839e-09
Position 287: 8.53826168834987e-10
Position 284: 6.996171224134505e-10
Position 500: 6.355385816450123e-10
Position 979: 4.2419544272384284e-10
Position 321: 2.3219755131723834e-10
Position 496: 6.952443522921023e-11
Position 324: 5.5797914020698594e-11
Position 300: 5.503576747411492e-11
Position 1938: 4.165075890440389e-11
Position 298: 1.965869363263328e-11
Position 589: 5.921006557288623e-14
Position 620: 2.827718441666405e-14
