Gene = NPPA
Position 1235: 4.676944344392604e-06
Position 1116: 3.467312161641699e-06
Position 1083: 3.2162270518503688e-06
Position 752: 2.6762007559403863e-06
Position 388: 1.8124869314791726e-06
Position 493: 1.5141655873766491e-06
Position 645: 1.396170235947681e-06
Position 415: 1.0308243636503855e-06
Position 308: 7.798835679738471e-07
Position 497: 6.98744178073796e-07
Position 225: 3.880901152874987e-07
Position 127: 2.560069265776568e-07
Position 159: 1.797441394150774e-07
Position 256: 7.692571774717933e-08
Position 1121: 4.344165998163337e-08
Position 103: 1.654676344921791e-08
Position 164: 1.5899826915691285e-08
Position 245: 1.506635956915757e-08
Position 495: 1.392235672013387e-08
Position 231: 4.1485381270829575e-09
Position 638: 3.6763054856917746e-09
Position 236: 7.527641033297469e-10
Position 169: 5.082257768510491e-10
Position 675: 1.1460414599850385e-10
Position 171: 3.101806081926702e-11
