Gene = VOPP1
Position 735: 1.0523828533450062e-10
Position 1036: 6.08785797906325e-11
Position 737: 4.827077309299501e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 15264: 0.9415078249860268
Position 8922: 0.75898587257513
Position 22868: 0.6252752807030791
Position 18341: 0.5866546328906798
Position 16519: 0.5145557912542756
Position 7448: 0.5004508022315898
Position 581: 0.47176141795928767
Position 9772: 0.34233474350342374
Position 10473: 0.30524832613926994
Position 13019: 0.26718047666903777
Position 17500: 0.2639725210417382
Position 15121: 0.24342378625451674
Position 18770: 0.20282221047034768
Position 5289: 0.1948387746418027
Position 8362: 0.1906479945813139
Position 13635: 0.18438395552872505
Position 17578: 0.17905765572668436
Position 8942: 0.13735110726655297
Position 22409: 0.1363858473806814
Position 23359: 0.1327991576666035
Position 16112: 0.12162242643483616
Position 18434: 0.11820525111597247
Position 16305: 0.07090811185228033
Position 16465: 0.0641299747887383
Position 25649: 0.058082721357526734
Position 4050: 0.05007839318591829
Position 20406: 0.04957455200349145
Position 19483: 0.049292570267333864
Position 21131: 0.04823070678059874
Position 10497: 0.04761279097870415
Position 21320: 0.04590910160687149
Position 17481: 0.04372332601989238
Position 18560: 0.04220160125246642
Position 5216: 0.03656441794673296
Position 9740: 0.0364449788666951
Position 3063: 0.0358017885318839
Position 21435: 0.03420468596778776
Position 10267: 0.033735061178247025
Position 14018: 0.02693256745930437
Position 16652: 0.02610855352731165
Position 17463: 0.025045688184004634
Position 20924: 0.023541638502093995
Position 10192: 0.022896363270795823
Position 25304: 0.02275421529795564
Position 17068: 0.019670614540267042
Position 21975: 0.01942916221711507
Position 10074: 0.019299649167678477
Position 15233: 0.019042520976933448
Position 26465: 0.018820806848724995
Position 17299: 0.01820495234549169
Position 3156: 0.018109249600343907
Position 7298: 0.01729436054282001
Position 22839: 0.016115114870526966
Position 16788: 0.015432851756599688
Position 5145: 0.015173497003707445
Position 22240: 0.01505148971879491
Position 12857: 0.014616444262437288
Position 16649: 0.014603899400837774
Position 11442: 0.01244802981242186
Position 8000: 0.011920115739174696
Position 16785: 0.010643072340003711
Position 9838: 0.010617008424550939
Position 9998: 0.009687076624015804
Position 9893: 0.009660270952524176
Position 22345: 0.009209664970842732
Position 7379: 0.008355307380576387
Position 5157: 0.007949814525979171
Position 15990: 0.007725741796685067
Position 583: 0.007503185963611816
Position 11377: 0.006788994375461279
Position 19738: 0.006566320731009659
Position 8811: 0.004995075720373297
Position 23511: 0.0046092952373783455
Position 20806: 0.004531796346763864
Position 15629: 0.004460407177476653
Position 20962: 0.004368212305227587
Position 19130: 0.004265593706499124
Position 7283: 0.003852348303121548
Position 10831: 0.0034688610409810065
Position 10835: 0.0030979125561974227
Position 535: 0.003046680025315961
Position 19575: 0.0025183683697706932
Position 17854: 0.002389156113993612
Position 5238: 0.0023887038245966265
Position 3198: 0.002356900291715818
Position 11321: 0.0023092099887454193
Position 1415: 0.002146003273048776
Position 3174: 0.0021357851380343
Position 3289: 0.0020277123059571694
Position 24477: 0.002021913188179863
Position 17695: 0.002020677203910184
Position 20109: 0.0018879866072510194
Position 7202: 0.0018269422478808177
Position 3014: 0.0015746861301397244
Position 10241: 0.0013571576791891835
Position 8643: 0.0011948435681098176
Position 8778: 0.0011821337169237865
Position 360: 0.0011811112676177393
Position 17902: 0.0010164055679881844
Position 10018: 0.0010107147031012172
Position 9368: 0.00088121558587315
Position 322: 0.0007933900871853873
Position 5659: 0.0006422868360582634
Position 8534: 0.0005523918456010659
Position 1579: 0.0005384885132534032
Position 5313: 0.0004985596474825176
Position 17878: 0.00048334310141487244
Position 16806: 0.0004474278006815686
Position 1610: 0.0004405314215614246
Position 1308: 0.0003969159846277163
Position 1750: 0.00039179216212755055
Position 1747: 0.00039105355604069183
Position 1074: 0.00032678545543470537
Position 1154: 0.00032371728820047255
Position 3599: 0.0002965550780723001
Position 15762: 0.0002856543736950624
Position 3134: 0.00021950078280177866
Position 1684: 0.0001740309611880272
Position 1423: 0.00013111005073667946
Position 2641: 0.00012010291805009366
Position 338: 0.00011046804359748637
Position 3476: 0.00010741877133833978
Position 640: 9.713879903448891e-05
Position 3347: 8.500896428261369e-05
Position 404: 8.381453992120739e-05
Position 1801: 8.162054577960792e-05
Position 1586: 7.255360540116021e-05
Position 5715: 6.069707697523838e-05
Position 3236: 6.029281555393702e-05
Position 804: 5.941579331161141e-05
Position 7911: 5.7346254464947814e-05
Position 7826: 5.626727601265579e-05
Position 340: 5.569866570688094e-05
Position 10391: 4.938959537528866e-05
Position 1776: 4.843973002553681e-05
Position 1667: 3.249366485827801e-05
Position 678: 2.7799812696952452e-05
Position 1431: 2.7237007256368494e-05
Position 3834: 2.675859106256365e-05
Position 1279: 2.5961735756318146e-05
Position 2782: 2.004584424665139e-05
Position 1182: 1.7024752796298142e-05
Position 1090: 1.0731052205328242e-05
Position 3249: 1.0519080173940666e-05
Position 1275: 9.71258263228831e-06
Position 2053: 9.530614049683463e-06
Position 2171: 9.02596935052826e-06
Position 2973: 7.563891905498363e-06
Position 385: 5.8156747071419745e-06
Position 2034: 5.493720257466938e-06
Position 1234: 4.915764266877504e-06
Position 9263: 4.823885716364839e-06
Position 1000: 4.458991643676652e-06
Position 2018: 4.261800985380473e-06
Position 329: 4.194501329630283e-06
Position 411: 3.274854150464166e-06
Position 4699: 1.7641630199045725e-06
Position 1209: 1.5203209445510725e-06
Position 667: 1.388717736550612e-06
Position 735: 1.3820286481078813e-06
Position 1829: 1.2024985505766259e-06
Position 4683: 1.1924546134031547e-06
Position 997: 1.081998635336676e-06
Position 355: 9.864831711804634e-07
Position 435: 9.531656047410537e-07
Position 284: 5.383543883275486e-07
Position 379: 5.977220223003324e-08
Position 1320: 5.1677999656777255e-08
Position 1021: 4.506245199313019e-08
Position 1051: 4.411621762464013e-08
Position 1358: 4.24369696701568e-08
Position 1262: 3.847068061825034e-08
Position 809: 3.288682334648243e-08
Position 771: 2.9166223040775666e-08
Position 1461: 2.821327640049908e-08
Position 1114: 2.5934761708146037e-08
Position 1041: 2.2557391152637002e-08
Position 891: 1.8190407589040224e-08
Position 871: 1.5038444515119488e-08
Position 369: 1.4947074603669795e-08
Position 763: 1.0603228897823596e-08
Position 1023: 7.208764114868959e-09
Position 816: 3.804717799358347e-09
Position 720: 3.5440115430711006e-09
Position 254: 3.3348533070561006e-09
Position 865: 2.7376397548301036e-09
Position 590: 2.264207186373944e-09
Position 505: 1.814705582463653e-09
Position 258: 1.2102905813736745e-09
Position 908: 4.910284119325907e-10
Position 768: 3.725921480005022e-10
Position 683: 3.180847794135015e-10
Position 746: 2.2242910729788196e-10
Position 842: 2.0552656121347333e-10
Position 696: 1.7744735174298833e-10
Position 187: 1.3707406525796347e-10
Position 1256: 8.182278418222928e-11
Position 205: 4.114063169152341e-11
Position 185: 3.56098633848482e-11
Position 151: 2.4943810478116128e-11
Position 755: 1.8760420030163602e-11
Position 221: 1.683636847391836e-11
Position 706: 1.6248860044132842e-11
Position 840: 1.51473579796684e-11
Position 711: 1.277707629912116e-11
Position 212: 9.66912989570277e-12
Position 650: 3.821070577740968e-12
Position 195: 1.1269544984283362e-12
Position 198: 5.385045650297925e-13
Position 648: 7.18926853286616e-15
