Gene = Sh3bp2
Position 847: 5.917361772486789e-05
Position 901: 4.921961586686336e-05
Position 144: 4.357970725085602e-05
Position 1738: 4.090930163467797e-05
Position 110: 4.041089692646158e-05
Position 84: 3.966158098720298e-05
Position 33: 3.905633854050197e-05
Position 236: 3.7934657952357845e-05
Position 6279: 3.7872734380862646e-05
Position 768: 3.531282679373511e-05
Position 301: 3.32570998530733e-05
Position 105: 3.324257658435893e-05
Position 263: 3.1417588992881215e-05
Position 1217: 3.082328352349148e-05
Position 2170: 2.719585010643813e-05
Position 2211: 2.57174595983206e-05
Position 2652: 2.4093025486572282e-05
Position 2314: 2.156218236599387e-05
Position 1825: 1.9420459026929203e-05
Position 935: 1.651175973105194e-05
Position 2218: 1.63531457358376e-05
Position 582: 1.3824472138570316e-05
Position 2027: 1.302471010775182e-05
Position 1617: 1.20505219221549e-05
Position 2454: 1.1571746250509863e-05
Position 2395: 1.0736777474645192e-05
Position 916: 1.0178661278047355e-05
Position 635: 1.0118365199012453e-05
Position 2439: 9.346628364061177e-06
Position 1999: 8.45204748028453e-06
Position 2149: 8.35585439737412e-06
Position 456: 8.064354453332592e-06
Position 2460: 7.959783752903648e-06
Position 2478: 7.884679154638392e-06
Position 5244: 7.241381570372226e-06
Position 166: 6.942807671913869e-06
Position 72: 6.571568723956479e-06
Position 108: 6.312829170108847e-06
Position 218: 5.288085540148113e-06
Position 530: 4.5449747106839245e-06
Position 163: 4.123558030834295e-06
Position 213: 3.765900660327425e-06
Position 394: 3.659624124677442e-06
Position 569: 2.463438145841935e-06
Position 5653: 2.3612234625860843e-06
Position 168: 2.071030647571536e-06
Position 323: 1.5084444319738325e-06
Position 487: 1.2535897551716217e-06
Position 654: 1.2275710934971232e-06
Position 509: 1.2221147099008376e-06
Position 287: 9.506728077443917e-07
Position 658: 9.006190493673882e-07
Position 418: 8.890581572845164e-07
Position 454: 8.760556904954378e-07
Position 252: 8.387761576420495e-07
Position 550: 8.079065076213289e-07
Position 245: 3.089199932792122e-07
Position 193: 3.0382938935282516e-07
Position 87: 1.6801630180773082e-07
Position 247: 1.5621282091524372e-07
Position 463: 1.2372061044867286e-07
Position 507: 1.08691329522727e-07
Position 254: 6.42234580119314e-08
Position 745: 1.9942369218050735e-08
Position 679: 3.3751659559992163e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4598: 0.8471321828290614
Position 13625: 0.5460494833395058
Position 16382: 0.467399898080542
Position 11005: 0.4516056810944588
Position 6770: 0.4327318458989416
Position 10372: 0.3490922148976134
Position 2744: 0.2890263862257274
Position 3645: 0.18167721002303486
Position 3789: 0.14802398163122577
Position 4851: 0.1338735153342067
Position 16040: 0.11643712955896936
Position 4817: 0.08183766735058193
Position 6130: 0.07825500337612855
Position 3737: 0.07381942458234075
Position 18380: 0.07118076003320434
Position 14238: 0.06088672092818125
Position 697: 0.054706159091226114
Position 4611: 0.049949522412615424
Position 6889: 0.049700506894739926
Position 6734: 0.049581200915010434
Position 5024: 0.04535188062231503
Position 968: 0.042302145655896274
Position 11495: 0.04084256081593036
Position 743: 0.03248576629484382
Position 4792: 0.030387196767798746
Position 15547: 0.027985319761354977
Position 14909: 0.02732269975568478
Position 1381: 0.021955406332890177
Position 11271: 0.021336456307360332
Position 3689: 0.01900781987194234
Position 4635: 0.018669142582028817
Position 15932: 0.01854916860672135
Position 11446: 0.01648388331815433
Position 10433: 0.015939398543057447
Position 14600: 0.011466908866999557
Position 944: 0.010836815523967995
Position 14265: 0.00995387359671291
Position 6111: 0.009789959780884464
Position 5088: 0.009034614954342199
Position 4857: 0.008676527879609989
Position 5809: 0.008164433311667269
Position 8356: 0.00785922045264953
Position 2571: 0.00784119106406817
Position 779: 0.007420021786890033
Position 991: 0.006778347354359663
Position 12825: 0.006382992616779581
Position 6680: 0.006245907807298065
Position 10054: 0.00621412591893892
Position 5205: 0.00607963977826301
Position 4838: 0.006030644737268191
Position 6041: 0.0058169860262132925
Position 12925: 0.005759538737172667
Position 1304: 0.005725469316860444
Position 3694: 0.005107653306205654
Position 368: 0.005092426809949854
Position 800: 0.004954872112639561
Position 3000: 0.00486222272002565
Position 5253: 0.00475878556690547
Position 3751: 0.004711282031319396
Position 3660: 0.004627815040587281
Position 10541: 0.004358270186079519
Position 1566: 0.004215486769970042
Position 2798: 0.0041096391345804215
Position 4638: 0.003837723368911413
Position 909: 0.0035889721603684006
Position 6153: 0.003545918239387775
Position 3975: 0.0033104379856539164
Position 6676: 0.003094802984910203
Position 3970: 0.002874979289260805
Position 12871: 0.0026846210481497167
Position 3948: 0.0025968104548417113
Position 4888: 0.0025777917212122057
Position 576: 0.0024619344218215476
Position 11167: 0.0023510134792735773
Position 679: 0.0022458006707547604
Position 4761: 0.002161933350471075
Position 10110: 0.002094953597979005
Position 10729: 0.0020540659501125137
Position 3792: 0.0020454332646251973
Position 14677: 0.0019177507475102546
Position 3438: 0.0018955131249356887
Position 10677: 0.0017978668084975549
Position 2276: 0.0016302623905900446
Position 14218: 0.0015720007149343108
Position 1188: 0.0014206650161081278
Position 5649: 0.0013995867811879147
Position 1256: 0.0012512648804866226
Position 1447: 0.001151509392108586
Position 5208: 0.0011299395335735288
Position 12217: 0.0010724957819400478
Position 5731: 0.0010584912924065794
Position 3641: 0.0010481224839123877
Position 8229: 0.0010423179403153237
Position 5673: 0.0009860777630765051
Position 382: 0.0009604150250496565
Position 7105: 0.0008595336885883515
Position 4346: 0.0007815492848310608
Position 1531: 0.0007479906828927228
Position 5309: 0.0007473515868349057
Position 11503: 0.0007208372592004569
Position 1770: 0.000720367186306108
Position 3536: 0.0006962397076338422
Position 5777: 0.0006347299049540536
Position 7397: 0.0006286625811376809
Position 973: 0.0006008274985818826
Position 2701: 0.0005988907301196934
Position 7439: 0.0005916096582784144
Position 997: 0.0005553231400903098
Position 3106: 0.0005166844125346232
Position 1338: 0.0005149351862898095
Position 2312: 0.00047145113256849807
Position 5992: 0.0004676187683219258
Position 5118: 0.00044839517852521954
Position 3499: 0.0004440762126018686
Position 12322: 0.0004437875027919048
Position 4429: 0.0003976767073830505
Position 4677: 0.0003935518017694489
Position 2652: 0.000387538496354675
Position 629: 0.000387487997106855
Position 4061: 0.0003809625563902812
Position 3849: 0.0003663628033325253
Position 3989: 0.0003618959329082639
Position 7614: 0.00033944315809567764
Position 3845: 0.00033657046609303793
Position 6458: 0.00031723539274827137
Position 1264: 0.00028247831048677856
Position 1310: 0.0002807655743125173
Position 1806: 0.00026764434510994777
Position 2464: 0.0002660071653129872
Position 2435: 0.00026198781984440833
Position 951: 0.0002456755466555247
Position 7234: 0.0002283176454917549
Position 7586: 0.0002209087552196352
Position 2065: 0.00019119498135078096
Position 3230: 0.00018716287086651225
Position 2763: 0.00018515360277148384
Position 6990: 0.00018046950769971362
Position 4460: 0.00017887152359976073
Position 3087: 0.00016392055217779846
Position 2576: 0.00016353226359864606
Position 10496: 0.0001539774605449429
Position 841: 0.00012761073200544414
Position 8070: 0.0001198612980908303
Position 1423: 0.0001183905797653686
Position 2120: 0.0001096064837584183
Position 7302: 0.00010766077507809022
Position 1535: 0.00010682468604762422
Position 710: 0.00010310774010228974
Position 1345: 9.913009886960203e-05
Position 5266: 9.324797776059365e-05
Position 7344: 8.539623260161773e-05
Position 1082: 7.989893957717874e-05
Position 1663: 7.372176540786039e-05
Position 718: 7.105937154026081e-05
Position 332: 6.922998652880164e-05
Position 4388: 6.875579894372888e-05
Position 1046: 6.577555202819975e-05
Position 4131: 5.1037556534514246e-05
Position 1692: 4.7636467603591226e-05
Position 2024: 4.438100037574179e-05
Position 3348: 4.078863449561339e-05
Position 2966: 3.746271125523238e-05
Position 4902: 3.28744006715805e-05
Position 3387: 3.0762240227870516e-05
Position 5572: 2.5515350579168762e-05
Position 7356: 2.4502936873474775e-05
Position 294: 2.3744544701374627e-05
Position 1711: 2.282466926894642e-05
Position 2218: 2.261375917698392e-05
Position 2587: 2.130106631496239e-05
Position 1313: 2.110394842456877e-05
Position 1785: 1.994635462396766e-05
Position 156: 1.9357146508897924e-05
Position 1977: 1.7769815498658777e-05
Position 1469: 1.5587937220003664e-05
Position 384: 1.4164602550530925e-05
Position 1575: 1.4062468587446538e-05
Position 2899: 1.1619219860876636e-05
Position 2655: 1.1111648331074476e-05
Position 2527: 1.0603825025334122e-05
Position 4718: 9.894965773672827e-06
Position 852: 9.049238658870275e-06
Position 4821: 7.330982450625557e-06
Position 2162: 7.276692115904509e-06
Position 878: 6.446978060486294e-06
Position 1019: 4.466674401706495e-06
Position 2929: 2.8606001495194216e-06
Position 483: 1.1869346680512156e-06
Position 2478: 8.78765685305214e-07
Position 487: 5.926274012475543e-07
Position 175: 5.290588565974459e-07
Position 582: 4.986984938218065e-07
Position 459: 4.972764527806414e-07
Position 318: 4.3447303305900695e-07
Position 712: 4.083504256134863e-07
Position 204: 4.0443444804476476e-07
Position 978: 3.982175767501229e-07
Position 300: 3.632792895848424e-07
Position 859: 3.241055846298877e-07
Position 723: 2.987153541916588e-07
Position 218: 1.7000964105036595e-07
Position 400: 9.341903566643986e-08
Position 1021: 7.173264549567483e-08
Position 394: 6.976888375091856e-08
Position 418: 6.956306696351582e-08
Position 477: 5.627916384633064e-08
Position 498: 4.930384258409874e-08
Position 307: 4.6125923898888884e-08
Position 885: 4.3367840194437555e-08
Position 1217: 3.261295928705258e-08
Position 720: 3.1994010582452854e-08
Position 1275: 2.1478960699235658e-08
Position 505: 2.1244312983044947e-08
Position 1318: 2.101297634456361e-08
Position 514: 2.0032030402758343e-08
Position 1190: 1.8292013454433385e-08
Position 223: 1.7501389937595418e-08
Position 470: 1.6909072193050537e-08
Position 450: 1.6249056427226736e-08
Position 1544: 1.6038329575553117e-08
Position 1194: 1.2050645459184294e-08
Position 1281: 1.0697349631443569e-08
Position 891: 1.054513940324321e-08
Position 407: 8.759313080817666e-09
Position 1426: 6.513290547065401e-09
Position 1616: 6.069053199982371e-09
Position 1210: 4.504841310189991e-09
Position 118: 3.40655985034764e-09
Position 1608: 3.00560138195643e-09
Position 193: 2.2734295805414826e-09
Position 518: 2.2507364396169458e-09
Position 163: 2.233644339634403e-09
Position 341: 1.2518481062700272e-09
Position 480: 1.2430970225152996e-09
Position 230: 6.404760746536664e-10
Position 2756: 5.01566074634524e-10
Position 593: 4.814040031193581e-10
Position 245: 3.7186673556711385e-10
Position 402: 3.6832603049919684e-10
Position 463: 3.2304037466003634e-10
Position 507: 1.2294947306758913e-10
Position 226: 6.806422769176875e-11
Position 116: 2.932008594604414e-11
Position 105: 1.665619481776513e-11
