Gene = Sprr2d
Position 1206: 0.0015470948321691942
Position 1592: 0.0015095114180003581
Position 1472: 0.0014035442787670841
Position 1565: 0.0011505727778996484
Position 542: 0.0008133603336566335
Position 348: 0.0007063105200021695
Position 1010: 0.0005831412771609674
Position 1723: 0.0005062953642648668
Position 489: 0.0003578172146371027
Position 939: 0.0002828918769987802
Position 1543: 0.00026477388357493283
Position 1176: 0.00022451567643482138
Position 981: 0.0002114182112442981
Position 709: 0.00019885978401991625
Position 1131: 0.00016892836899088347
Position 598: 0.00015984499555759922
Position 1574: 0.00015709604183865292
Position 153: 0.00012422627702504685
Position 505: 0.0001154851609119722
Position 1600: 0.00011322198636053088
Position 1529: 0.00010085673744309055
Position 1179: 9.766084392611197e-05
Position 1350: 8.889142383738767e-05
Position 235: 8.521583790601889e-05
Position 297: 8.08369666873427e-05
Position 1109: 7.682400297961912e-05
Position 500: 6.391041047015007e-05
Position 161: 6.389201955875894e-05
Position 1655: 6.119557233656911e-05
Position 950: 5.478334234568248e-05
Position 1608: 5.304716468179275e-05
Position 1034: 5.097248088995243e-05
Position 1134: 4.604843171266633e-05
Position 558: 4.288087080588129e-05
Position 1012: 3.837688846299154e-05
Position 191: 3.752508829203131e-05
Position 581: 3.428432598969299e-05
Position 1269: 3.0264444610708493e-05
Position 243: 2.820653917917167e-05
Position 307: 2.3344384071655205e-05
Position 417: 2.2621854402453683e-05
Position 238: 2.0521142263014766e-05
Position 301: 1.890120492458375e-05
Position 124: 1.6764104290360054e-05
Position 773: 1.605091615186782e-05
Position 1028: 1.4552823883897177e-05
Position 1152: 1.4272871919261038e-05
Position 315: 1.3726871501841522e-05
Position 769: 1.2973163810510442e-05
Position 776: 1.2696806162631881e-05
Position 586: 1.1340248180079874e-05
Position 610: 1.1254537140063903e-05
Position 741: 1.0353681136610965e-05
Position 1102: 1.0089959556146972e-05
Position 1368: 9.666327099720293e-06
Position 754: 9.148155485094454e-06
Position 164: 8.983637669728209e-06
Position 955: 8.354603994107367e-06
Position 1383: 8.196249254587958e-06
Position 176: 8.073116640747867e-06
Position 1364: 7.646734226851709e-06
Position 926: 6.527040232830949e-06
Position 1362: 6.4361902497486424e-06
Position 1628: 6.054320818430899e-06
Position 1281: 5.224000719196513e-06
Position 782: 4.996375257221119e-06
Position 1397: 4.82528677187132e-06
Position 786: 4.4570400601002174e-06
Position 379: 4.450477704232392e-06
Position 941: 4.407272604210958e-06
Position 1242: 3.9344899491504755e-06
Position 1474: 3.9167191596473626e-06
Position 107: 3.781152696596638e-06
Position 1143: 3.3499254463390187e-06
Position 766: 3.0437997127812763e-06
Position 915: 2.6995803838098423e-06
Position 386: 2.516567858770155e-06
Position 1616: 2.4563788400125825e-06
Position 198: 2.08924588822207e-06
Position 700: 1.8920417616862577e-06
Position 179: 1.745120774783306e-06
Position 196: 1.3376651468732439e-06
Position 512: 9.70429430065647e-07
Position 790: 8.783362271589169e-07
Position 808: 8.04684863602768e-07
Position 810: 7.753607560855037e-07
Position 717: 7.3462246419312e-07
Position 806: 7.121722230026626e-07
Position 833: 7.056804482571216e-07
Position 784: 6.545536717899799e-07
Position 812: 6.316710292703779e-07
Position 794: 6.126471623134944e-07
Position 792: 6.001397363084334e-07
Position 796: 5.957838380632655e-07
Position 804: 5.906085261248927e-07
Position 798: 5.832411253561645e-07
Position 800: 5.496305773278011e-07
Position 802: 5.436178700009602e-07
Position 814: 5.328305283350381e-07
Position 816: 4.112432450128454e-07
Position 168: 4.0400878388098463e-07
Position 517: 3.824629835762344e-07
Position 788: 3.4348154758725456e-07
Position 600: 3.406195736843399e-07
Position 778: 3.337820202664765e-07
Position 728: 2.878403763102233e-07
Position 819: 2.7108167875725695e-07
Position 780: 2.498653546660677e-07
Position 722: 2.3973517213156164e-07
Position 838: 2.152577231378916e-07
Position 828: 1.8041119882103292e-07
Position 566: 1.6484886270077264e-07
Position 96: 1.5244112311685246e-07
Position 1215: 1.3765959157603198e-07
Position 205: 1.3363722432976487e-07
Position 381: 1.0913915874099595e-07
Position 552: 8.58136350085514e-11
Position 563: 7.276924859019106e-11
Position 425: 2.2619627207470384e-11
