Gene = Df31
Position 2069: 0.00016564994342686102
Position 3349: 0.000155070341220662
Position 1268: 0.00015268507712442437
Position 1046: 0.00014969074900788654
Position 462: 0.00013823907376120034
Position 191: 0.00013299528105994825
Position 24: 0.00013124455916290422
Position 2321: 0.00012641144190917938
Position 270: 0.00012113428160650497
Position 2460: 0.00011407998332677827
Position 2667: 0.00011298411052995634
Position 1108: 0.00011138440030350806
Position 309: 0.00011082422490312466
Position 30: 0.0001044440457704085
Position 651: 9.79511377968161e-05
Position 1382: 8.50646688564229e-05
Position 2919: 8.233419535369537e-05
Position 208: 8.203724253591351e-05
Position 733: 7.827312919615245e-05
Position 3508: 6.897237974350552e-05
Position 3128: 5.650872560237776e-05
Position 1799: 4.315905326806064e-05
Position 38: 3.8147342399043044e-05
Position 3372: 3.813135336776601e-05
Position 1500: 3.5085157416074195e-05
Position 1148: 3.462650445924268e-05
Position 2904: 3.3283592907647735e-05
Position 2468: 3.249914807927567e-05
Position 3444: 3.0875335911753354e-05
Position 2783: 3.0712765439007615e-05
Position 3461: 2.757271869579019e-05
Position 3433: 2.48426754182301e-05
Position 3086: 2.012224369551889e-05
Position 397: 1.6306033570569074e-05
Position 124: 1.3634826388540625e-05
Position 2536: 9.115052273063951e-06
Position 2479: 8.142832456942073e-06
Position 1924: 6.305407442079209e-06
Position 2207: 6.264282486024534e-06
Position 2552: 6.023818437679419e-06
Position 395: 4.937863555887594e-06
Position 354: 4.73351463497447e-06
Position 1937: 3.8060987451159134e-06
Position 1722: 3.780593551423175e-06
Position 300: 3.5556747976609356e-06
Position 906: 2.2486403558561897e-06
Position 158: 1.8505929626841616e-06
Position 2755: 1.5809806170648657e-06
Position 2767: 1.5656857057107676e-06
Position 570: 1.2374505257374612e-06
Position 2491: 1.2179902070734434e-06
Position 2752: 1.200051091000554e-06
Position 183: 9.779285569390093e-07
Position 683: 6.866974579241278e-07
Position 3113: 4.815601391823162e-07
Position 141: 4.042033223352372e-07
Position 14: 3.7300359409410725e-07
Position 666: 3.4525534673130026e-07
Position 653: 3.3660928036188813e-07
Position 568: 2.717693572720876e-07
Position 2943: 2.6051328500452924e-07
Position 1853: 2.4201901255314916e-07
Position 2417: 1.1151507374654378e-07
Position 1833: 1.0521283674569544e-07
Position 706: 8.084627254050971e-08
Position 249: 8.046311679594133e-08
Position 32: 7.324340869643504e-08
Position 1745: 6.275540188389984e-08
Position 643: 3.7386008479460125e-08
Position 720: 2.351088850886825e-08
Position 2195: 2.3238945547142596e-08
Position 593: 2.144295224611925e-08
Position 286: 1.713528653795743e-08
Position 464: 1.1479869338168041e-08
Position 2967: 7.916941756107059e-09
Position 2441: 6.53400545267128e-09
Position 193: 4.511241774974519e-09
Position 2240: 2.162897794444605e-09
Position 485: 6.954615064868084e-10
Position 588: 5.124098639077554e-10
Position 502: 4.201894098456811e-10
Position 688: 2.945186537402684e-10
Position 418: 2.9025519111720115e-12
Position 433: 1.8669539088032326e-12
Position 441: 1.9634589354514834e-13
Position 436: 1.1088913844205983e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9993443403820548
Position 1722: 0.6509857218105778
Position 1618: 0.14628372611549673
Position 2429: 0.11258068992334996
Position 3578: 0.08083104318135474
Position 453: 0.05116377371904555
Position 922: 0.0292057318648516
Position 1083: 0.0216730347375653
Position 1198: 0.017352461495961532
Position 3431: 0.012474638671916819
Position 3394: 0.011456159083296903
Position 1439: 0.010494031838546875
Position 3136: 0.008478544672890284
Position 1635: 0.006488144269920418
Position 1044: 0.006116393107314454
Position 785: 0.004633738732835199
Position 987: 0.004235833671787004
Position 3196: 0.0034880086403091116
Position 329: 0.003420695626968186
Position 3184: 0.0032334593119687713
Position 958: 0.0027125233762533446
Position 2960: 0.0026065594204199693
Position 1620: 0.0022714431314338505
Position 1744: 0.002003626362043665
Position 1275: 0.0019694578763132654
Position 2943: 0.00183359963788719
Position 1579: 0.0017685054188444765
Position 2408: 0.0017198594392171722
Position 1585: 0.001615510471693967
Position 315: 0.0014313540920873305
Position 2662: 0.001397749353190753
Position 981: 0.001395722152324959
Position 3494: 0.0013188054475412557
Position 433: 0.0013046155722634325
Position 369: 0.0012463804087144803
Position 1100: 0.001003352740644212
Position 3407: 0.0007252346415778466
Position 2977: 0.0006974655466410351
Position 155: 0.0006912926346707387
Position 3474: 0.0006836426292520171
Position 906: 0.0006440241385130659
Position 3071: 0.0006187889509078748
Position 3250: 0.0005815152850618977
Position 1658: 0.0004402935895172697
Position 1653: 0.00043420476211009995
Position 1372: 0.00035259136727237893
Position 903: 0.00032740390739475415
Position 1632: 0.0003146084254594971
Position 183: 0.0003002411097400104
Position 1957: 0.00028545665917199077
Position 1321: 0.0002538344459226845
Position 1774: 0.00024204959609386008
Position 744: 0.00021264821913132055
Position 2744: 0.00020952824276439957
Position 1414: 0.00016147966830279376
Position 2398: 0.00011951066421110071
Position 2667: 0.00011612092003771858
Position 1778: 0.00011285003344778648
Position 230: 8.705675201351742e-05
Position 2919: 8.56727078184545e-05
Position 573: 7.909002981405784e-05
Position 2684: 7.858770383408765e-05
Position 813: 7.767757841566006e-05
Position 1237: 5.893173419380633e-05
Position 1686: 5.472202230005242e-05
Position 3037: 5.42791416485752e-05
Position 658: 5.419602199976512e-05
Position 2544: 5.3156895547483675e-05
Position 541: 5.113084771406815e-05
Position 2689: 4.233260803998608e-05
Position 2536: 3.2502910260763766e-05
Position 3410: 2.8779204441907983e-05
Position 2200: 2.5562296018572373e-05
Position 2765: 2.402695643959161e-05
Position 2720: 1.9731420827486798e-05
Position 3347: 1.8148525818240508e-05
Position 85: 1.4967295037577246e-05
Position 609: 1.3901318154936122e-05
Position 2996: 1.2840801947309371e-05
Position 792: 7.5804123352456885e-06
Position 1121: 6.974235650109864e-06
Position 2710: 5.710418463663682e-06
Position 101: 5.109449742548045e-06
Position 217: 6.253361848866321e-07
Position 2833: 5.835694414531518e-07
Position 2206: 1.010071725869307e-07
Position 625: 9.729743070516333e-08
Position 90: 9.623772915209246e-08
Position 99: 5.898680225376758e-08
Position 632: 5.336226605390045e-08
Position 263: 1.1553151005227445e-08
Position 266: 4.516543618979074e-09
Position 593: 2.6732877467302105e-09
Position 65: 9.39294601721833e-10
Position 73: 4.955349243505554e-11
Position 257: 4.0986393174167237e-13
Position 270: 2.3173142120042084e-16
