Gene = Strip
Position 3966: 8.506981095749344e-05
Position 4556: 7.596908447074242e-05
Position 1269: 6.502778860142419e-05
Position 4668: 6.070453072842592e-05
Position 944: 5.82142846376843e-05
Position 4532: 5.220256991305796e-05
Position 863: 5.1353725212459856e-05
Position 6614: 4.992766231315362e-05
Position 283: 3.281646357291128e-05
Position 850: 2.9753648586951603e-05
Position 793: 2.349753531817984e-05
Position 2104: 2.1936713128532183e-05
Position 1454: 2.16440117563509e-05
Position 956: 2.14664623265048e-05
Position 2679: 1.7085388799902026e-05
Position 1701: 1.6321504071218453e-05
Position 2144: 1.4112966734828092e-05
Position 1964: 1.116582190785269e-05
Position 2484: 1.105404300221013e-05
Position 5186: 1.0391454845464348e-05
Position 3510: 9.278316723899006e-06
Position 994: 9.101923325572671e-06
Position 1281: 8.981649467142643e-06
Position 1735: 8.681178295503714e-06
Position 985: 8.194648947410039e-06
Position 2052: 6.905017289689775e-06
Position 839: 6.745446992821049e-06
Position 2177: 6.534726898130369e-06
Position 629: 5.13565508330159e-06
Position 526: 5.121721542186253e-06
Position 1727: 4.1289428424640976e-06
Position 1706: 3.504762317063621e-06
Position 1720: 3.351330889919485e-06
Position 489: 3.1177924306507363e-06
Position 1950: 3.026290715512479e-06
Position 853: 2.931415004456132e-06
Position 638: 2.8414237170503777e-06
Position 368: 2.272039344101941e-06
Position 3362: 2.2101932010535217e-06
Position 3762: 2.19598352101771e-06
Position 248: 2.114514375841871e-06
Position 820: 1.8633698154228699e-06
Position 177: 1.8365638729618003e-06
Position 730: 1.684700131409889e-06
Position 2610: 1.3767191357173852e-06
Position 1867: 9.67610417338814e-07
Position 531: 9.379281773789933e-07
Position 1580: 8.767325728477565e-07
Position 856: 7.724402876596916e-07
Position 42: 6.924239635405222e-07
Position 1732: 5.923275418634839e-07
Position 224: 5.145897708473144e-07
Position 472: 4.778363923857966e-07
Position 246: 4.690152658297747e-07
Position 562: 4.629673326997663e-07
Position 913: 4.4450167388648104e-07
Position 556: 3.5608402145572514e-07
Position 1244: 2.581779513658194e-07
Position 416: 2.5407375757348685e-07
Position 4397: 2.4893130580088237e-07
Position 585: 2.1625903789705006e-07
Position 275: 2.1264862180052752e-07
Position 964: 2.0549537181555138e-07
Position 116: 1.6515478425064391e-07
Position 68: 1.302279983454241e-07
Position 192: 1.2928826371317354e-07
Position 329: 9.602978539991195e-08
Position 475: 9.59286186107966e-08
Position 52: 7.762895411976817e-08
Position 643: 7.656444133911296e-08
Position 1061: 6.738689345785011e-08
Position 306: 6.52586069704977e-08
Position 934: 6.5200993446868e-08
Position 1073: 4.962971395138906e-08
Position 164: 4.762719376465171e-08
Position 1079: 3.737746350548651e-08
Position 5015: 3.135123120806902e-08
Position 266: 2.461528706241829e-08
Position 1397: 1.3569405881511014e-08
Position 709: 2.075227134612669e-09
Position 510: 6.471083751927617e-10
Position 651: 8.583359189479761e-11
Position 215: 7.816897727299262e-11
Position 397: 6.952053021212697e-11
Position 681: 5.5228337716202393e-11
Position 459: 5.2846132699809416e-11
Position 94: 3.5267287497364996e-11
Position 447: 2.6863946194629848e-11
Position 60: 1.171172105164351e-11
Position 103: 7.743784221083351e-12
Position 335: 1.3953296436229873e-12
Position 357: 6.213240499628699e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4234: 0.9671197227284483
Position 6118: 0.24806025415316896
Position 6028: 0.24658680619210124
Position 3269: 0.24218359362159333
Position 4805: 0.2121871862711633
Position 3934: 0.14511719897611314
Position 3882: 0.13055471543984248
Position 2834: 0.11981851814104398
Position 2820: 0.0934425521683308
Position 3536: 0.08486216406409343
Position 2859: 0.07691984897367714
Position 6451: 0.06325951047369151
Position 2856: 0.04674294990088547
Position 3792: 0.03420801388612078
Position 3043: 0.031342848829590285
Position 4784: 0.028812634634493683
Position 5531: 0.028680439804367186
Position 924: 0.025053301321401884
Position 2609: 0.021249319751215908
Position 6780: 0.018055894843900026
Position 6534: 0.01757012330855775
Position 5084: 0.016148393112457193
Position 1984: 0.013431442611493899
Position 6634: 0.011122888337946196
Position 5015: 0.010825001984617538
Position 5462: 0.010673512079309467
Position 1921: 0.004435723658692942
Position 1867: 0.004245355251376515
Position 1885: 0.004072371234625301
Position 4988: 0.003816399434533892
Position 5072: 0.003608376277979988
Position 5033: 0.0035121266200468073
Position 3057: 0.00288364577055072
Position 2021: 0.0027777476319826933
Position 5879: 0.0027330849541538057
Position 3019: 0.0026694526126721037
Position 3812: 0.002422733641808341
Position 3962: 0.0023618767984374288
Position 3942: 0.0020639595981881867
Position 834: 0.0017912871933183176
Position 2479: 0.001739032155511294
Position 4128: 0.0015798915738674693
Position 3818: 0.0013216312342906077
Position 1162: 0.0012966516255346154
Position 4111: 0.0012839882373438345
Position 998: 0.0011930464183554739
Position 3033: 0.0011660210797061292
Position 2209: 0.0011475879274420583
Position 1181: 0.001089708119027904
Position 4997: 0.0010599640015856108
Position 4818: 0.001031813136040518
Position 1001: 0.0009033226701438616
Position 3567: 0.0008828186340255328
Position 1770: 0.0008402394406163543
Position 4253: 0.0008301895464166962
Position 3223: 0.0007363951275770503
Position 1188: 0.0006313857961759707
Position 2907: 0.0005496301998946927
Position 2950: 0.0005219624435537361
Position 3452: 0.0005019267056257828
Position 5855: 0.00044607022802836487
Position 6815: 0.0004182369066799083
Position 3083: 0.00040188343682713475
Position 6096: 0.00039489213504973126
Position 518: 0.00037205950155916453
Position 5336: 0.00035955922671717907
Position 3148: 0.00034485664750865004
Position 3077: 0.0003439588955670488
Position 4631: 0.0002906857513071664
Position 2188: 0.0002539255101734568
Position 4879: 0.00024986363763701173
Position 867: 0.00023383149843900374
Position 1322: 0.00020912234045162062
Position 5510: 0.00020605619452231875
Position 2032: 0.00020130655138760813
Position 1798: 0.00017600186645321076
Position 5315: 0.0001743888572851767
Position 2438: 0.0001697562117881544
Position 4748: 0.00016289833774363327
Position 6769: 0.00016154335077876015
Position 4441: 0.00015550992026237668
Position 6818: 0.00014882172833857705
Position 967: 0.00011983865129161546
Position 578: 0.00011933358355530646
Position 5267: 0.00011042555194127844
Position 713: 0.00010810655580206183
Position 729: 9.232462160605579e-05
Position 4436: 9.114929955978532e-05
Position 2556: 7.998947641909666e-05
Position 4478: 7.813397629438855e-05
Position 554: 7.804795947601687e-05
Position 1549: 7.56641695660676e-05
Position 5021: 6.422513129709584e-05
Position 1108: 6.325246793347961e-05
Position 364: 5.4353787088174835e-05
Position 4277: 5.3228688976803804e-05
Position 1620: 4.990367598077287e-05
Position 2008: 4.920474109547071e-05
Position 4250: 4.1366353948299635e-05
Position 4721: 4.028445680769736e-05
Position 1907: 3.838088898327596e-05
Position 672: 3.5854713701121686e-05
Position 239: 2.5866590032268608e-05
Position 397: 2.569649976852698e-05
Position 658: 2.4905056271741813e-05
Position 1378: 2.4403554907685018e-05
Position 590: 2.3023919584200247e-05
Position 4330: 2.181882527837212e-05
Position 4556: 2.0037642945369065e-05
Position 1564: 1.9655144634977156e-05
Position 410: 1.7672822014526905e-05
Position 4532: 1.640051512050301e-05
Position 4274: 1.6025512067341376e-05
Position 349: 1.2846647315190208e-05
Position 437: 1.154500142487427e-05
Position 897: 1.1178158940185854e-05
Position 1774: 1.0108002917280704e-05
Position 843: 8.715672422087909e-06
Position 1575: 5.02565704175405e-06
Position 1434: 4.833214338823692e-06
Position 853: 4.053241814424058e-06
Position 421: 3.869550342642183e-06
Position 434: 1.084212710161807e-06
Position 2040: 6.427832050202895e-07
Position 1055: 5.078729457432895e-07
Position 1285: 4.822916995550263e-07
Position 1307: 2.8080214810402876e-07
Position 299: 1.9891267683957857e-07
Position 681: 1.0818859689350685e-07
Position 1701: 1.0807022619201767e-07
Position 309: 1.0644433262364367e-07
Position 141: 9.520765490417577e-08
Position 103: 5.935139750333025e-08
Position 108: 5.881291695748416e-08
Position 1244: 5.10215323690728e-08
Position 94: 5.1005035141481125e-08
Position 303: 3.998192615509678e-08
Position 880: 3.3127035007662768e-09
Position 405: 2.2145129263376856e-09
Position 669: 1.1508804394928053e-09
Position 375: 9.044762808752122e-10
Position 381: 7.629008453708268e-10
Position 531: 6.760260308843278e-10
Position 246: 6.413723144960934e-10
Position 306: 2.151425028043534e-10
Position 407: 1.238676293542361e-10
Position 211: 4.10686398702458e-11
Position 145: 4.0131131024942024e-11
Position 192: 3.353939109940091e-11
Position 162: 2.861370676669398e-11
