Gene = Aatf
Position 1530: 5.3145463613595065e-05
Position 424: 5.2070186938334646e-05
Position 605: 4.539828339925826e-05
Position 612: 4.024973416265927e-05
Position 583: 3.9606455698190384e-05
Position 1638: 3.263707305715761e-05
Position 547: 2.570926615617885e-05
Position 430: 2.4558609798760686e-05
Position 295: 2.3703485030910418e-05
Position 327: 2.1173137963326295e-05
Position 647: 1.812892408067481e-05
Position 554: 1.688012104203553e-05
Position 814: 1.4398781422272494e-05
Position 168: 1.243551979916249e-05
Position 904: 1.2044702361895673e-05
Position 1230: 1.1276444674247463e-05
Position 267: 9.191917077546675e-06
Position 602: 8.258301591752079e-06
Position 1369: 8.150696124815455e-06
Position 855: 8.070620563161437e-06
Position 319: 7.992999060454239e-06
Position 1614: 5.652899348616014e-06
Position 806: 4.912831822572485e-06
Position 889: 4.534659973454228e-06
Position 314: 2.6952112116388947e-06
Position 598: 1.6496189446503417e-06
Position 868: 1.465476448869003e-06
Position 659: 1.1403165229568448e-06
Position 616: 1.0638692175063837e-06
Position 497: 5.427485607084284e-07
Position 1562: 4.679493258862084e-07
Position 373: 1.7150073217429935e-07
Position 386: 1.0676767995654164e-07
Position 324: 8.803094167464172e-08
Position 173: 8.607852245006499e-08
Position 232: 8.248922864029337e-08
Position 626: 3.0552716591108816e-08
Position 644: 2.7837508681889362e-08
Position 283: 4.10108920171085e-09
Position 135: 2.6481826874746846e-09
Position 358: 1.988660736345788e-09
Position 397: 1.9558655870140465e-09
Position 229: 1.7565796180581366e-09
Position 175: 9.002627780265506e-10
Position 390: 8.974133854520493e-10
Position 352: 8.758465548419554e-10
Position 1479: 3.3142431187590625e-10
Position 223: 2.1014692812134303e-10
Position 139: 1.5036589251936417e-10
Position 226: 4.5479691332954934e-11
Position 452: 3.9543325889282774e-11
Position 406: 3.071351281930701e-11
Position 371: 2.1492935675820942e-11
Position 255: 2.0482549932249173e-11
Position 127: 1.3865722557798054e-11
Position 271: 9.345316354500497e-12
Position 446: 8.674331590629207e-12
Position 300: 5.77548895707049e-12
Position 443: 3.295227380712609e-12
Position 334: 7.42217506743818e-13
Position 337: 7.105689989305989e-13
Position 162: 1.4012521824735997e-13
Position 273: 2.4583016089719185e-20
