Gene = D
Position 2187: 1.2540523077970785e-05
Position 933: 1.25202108185076e-05
Position 449: 9.29241168773746e-06
Position 849: 7.724160091460776e-06
Position 835: 5.2859307592331864e-06
Position 416: 2.733959233102264e-06
Position 853: 1.9946462645529605e-06
Position 879: 8.090437522990641e-07
Position 291: 6.006639956722851e-07
Position 51: 5.56986634790747e-07
Position 269: 4.6985261169634863e-07
Position 886: 3.2719895679240143e-07
Position 311: 2.4011797565418596e-07
Position 570: 1.0948772254450035e-07
Position 752: 1.0871416768960769e-07
Position 900: 2.36319509409924e-08
Position 690: 2.340479491914433e-08
Position 256: 1.3711116891299275e-08
Position 288: 1.1926175219037755e-08
Position 922: 9.00432927512844e-10
Position 259: 7.366005141098724e-10
Position 904: 6.255510687408478e-10
Position 579: 6.159399075832524e-10
Position 427: 2.8733731522211195e-10
Position 326: 6.202934580698706e-11
Position 339: 2.2603591150769425e-11
Position 319: 2.0280209404183883e-12
Position 348: 1.9746662512925084e-12
Position 337: 4.284165951436296e-14
Position 300: 1.1992438341423812e-15
Position 328: 1.9894506208066391e-19
