Gene = w-cup
Position 879: 9.292480925410918e-08
Position 704: 8.837969372076098e-08
Position 992: 8.005064665938892e-08
Position 305: 7.720198967474272e-08
Position 438: 7.718263824100207e-08
Position 1358: 6.8696121642962544e-09
Position 161: 7.232127575094205e-10
Position 132: 6.822952593467221e-10
Position 227: 3.754053216154889e-10
Position 374: 2.4598513232688017e-10
Position 447: 1.6005881081280976e-10
Position 451: 8.126101798552613e-11
Position 467: 6.828518014672956e-11
Position 794: 3.4311094606405216e-11
Position 699: 3.078751637543615e-11
Position 300: 9.209542501586918e-12
Position 220: 3.9533889357962674e-12
Position 83: 9.134127227582422e-13
Position 139: 3.2224405930121833e-13
